0	Index      	 *	Score 	Summary	Detail	
1	52352 11533	 * 	270.59	DCR|DCR|2VULN|2MLV|1CDMG	15VULN|2CDMG|3LWND|45MLV|5BPWR|6LEGI|7DUST|8aRCR|9BELT
2	53233 63263	 * 	258.39	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1VULN|2TLV|3BELT|4FEWX|5CDMG|6MLV|7LHND|8CGEN|9aRCR
3	42222 33533	   	256.44	DCR|DCR|2VULN|1DUR|1CDMG	15FEWX|2CDMG|3ERES|45VULN|5BPWR|6DUR|7LHND|8aRCR|9BELT
4	42222 31563	   	256.34	DCR|DCR|2VULN|1DUR|1CDMG	15FEWX|2CDMG|3ERES|45VULN|5BPWR|6DUR|7DUST|8aRCR|9BELT
5	52222 33533	   	256.34	DCR|DCR|2VULN|1DUR|1CDMG	14VULN|2CDMG|3ERES|5FEWX|6DUR|7LHND|8aRCR|9BELT
6	52222 31563	   	256.24	DCR|DCR|2VULN|1DUR|1CDMG	14VULN|2CDMG|3ERES|5FEWX|6DUR|7DUST|8aRCR|9BELT
7	13561 43115	 * 	254.04	DCR|DCR|2DMG|1VULN|1DUR	1LHND|2TBNT|3VULN|4aDMG|5MBVNT|6FEWX|7DUR|89RCR
8	25161 43115	   	254.04	DCR|DCR|2DMG|1VULN|1DUR	1TBNT|2VULN|3LHND|4aDMG|5MBVNT|6FEWX|7DUR|89RCR
9	25261 63114	   	251.85	DCR|DCR|1VULN|1DMG|1MLV|1DUR	1TBNT|2VULN|3DUR|4DMG|5MBVNT|6MDPS|7AEFBLL|89RCR|aMLV
10	13552 23114	   	250.20	DCR|DCR|1VULN|1DMG|1DUR|1CDMG	1LHND|2TBNT|3VULN|4CDMG|5BEXP|6DUR|7RPLT|89RCR|aDMG
11	25152 23114	   	250.20	DCR|DCR|1VULN|1DMG|1DUR|1CDMG	1TBNT|2VULN|3LHND|4CDMG|5BEXP|6DUR|7RPLT|89RCR|aDMG
12	25252 13114	   	250.20	DCR|DCR|1VULN|1DMG|1DUR|1CDMG	1TBNT|2VULN|3DUR|4CDMG|5BEXP|6LHND|7RPLT|89RCR|aDMG
13	52532 23114	   	250.20	DCR|DCR|1VULN|1DMG|1DUR|1CDMG	1VULN|2CDMG|3BBNT|4FEWX|5BEXP|6DUR|7RPLT|89RCR|aDMG
14	52551 31131	   	249.43	DCR|DCR|2VULN|1CDMG	1aVULN|2CDMG|3BBNT|4RMIN|5ASPD|68RCR|7MULARM|9AEFRZ
15	13561 43118	 * 	248.90	DCR|DCR|1VULN|2DUR|1DMG	1LHND|2TBNT|3VULN|4DMG|5MBVNT|6FEWX|7aDUR|89RCR
16	25161 43118	   	248.90	DCR|DCR|1VULN|2DUR|1DMG	1TBNT|2VULN|3LHND|4DMG|5MBVNT|6FEWX|7aDUR|89RCR
17	53263 32432	 * 	247.94	DCR|4VULN|2TLV|2DUR	1459VULN|29TLV|3BELT|69DUR|7MBVNT|8BBNT|9BPWR|aRCR
18	56233 24323	   	245.74	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1VULN|2MLV|3BELT|4FEWX|5CDMG|6BBNT|7BEXP|8DUR|9aRCR
19	56233 34323	   	245.74	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1VULN|2MLV|3BELT|4FEWX|5CDMG|6TBNT|7BEXP|8DUR|9aRCR
20	51132 33133	 * 	245.64	DCR|3VULN|3DMG|1TLV	167VULN|247DMG|3TBNT|57LWND|7BPWR|8MDPS|9TLV|aRCR
21	61641 31122	 * 	245.50	DCR|2VULN|3DUR|2DMG|1TLV	149DUR|24DMG|3LEGI|49BPWR|5BBNT|69VULN|79FEWX|8RCR|aTLV
22	52152 21613	 * 	245.46	DCR|2VULN|2MLV|1TLV|1DMG|1DUR|1CDMG	15VULN|2CDMG|3DUR|45MLV|5BPWR|6RAT|7ERES|8RCR|9DMG|aTLV
23	52152 21622	   	245.46	DCR|2VULN|2MLV|1TLV|1DMG|1DUR|1CDMG	15VULN|2CDMG|3DUR|45MLV|5BPWR|6RAT|7ERES|8RCR|9TLV|aDMG
24	63243 25112	 * 	243.64	DCR|2VULN|2FLTARM|3DUR|1AART	137DUR|2TBNT|4BOSS|57FLTARM|67VULN|7BPWR|8RPLT|9AART|aRCR
25	22251 53115	   	243.39	DCR|DCR|1VULN|1DMG|1DUR	1TBNT|2ASPD|3FEWX|4LWND|5MBVNT|6VULN|7DUR|89RCR|aDMG
26	12222 41533	   	242.69	DCR|DCR|2VULN|1CDMG	15LHND|2CDMG|3ERES|45VULN|5BPWR|6LWND|7DUST|8aRCR|9BELT
27	42222 11563	   	242.69	DCR|DCR|2VULN|1CDMG	15FEWX|2CDMG|3ERES|45VULN|5BPWR|6LHND|7DUST|8aRCR|9BELT
28	12224 31563	   	242.59	DCR|DCR|2VULN|1CDMG	1LHND|2CDMG|3ERES|46VULN|5FEWX|7DUST|8aRCR|9BELT
29	42223 31563	   	242.59	DCR|DCR|2VULN|1CDMG	1FEWX|2CDMG|3ERES|46VULN|5LHND|7DUST|8aRCR|9BELT
30	52222 11563	   	242.59	DCR|DCR|2VULN|1CDMG	14VULN|2CDMG|3ERES|5FEWX|6LHND|7DUST|8aRCR|9BELT
31	52252 11533	   	242.59	DCR|DCR|2VULN|1CDMG	15VULN|2CDMG|3ERES|45LWND|5BPWR|6LEGI|7DUST|8aRCR|9BELT
32	52253 31533	   	242.59	DCR|DCR|2VULN|1CDMG	16VULN|2CDMG|3ERES|4LWND|5LHND|7DUST|8aRCR|9BELT
33	62122 13114	 * 	242.11	DCR|DCR|3DUR|1DMG|1CDMG	134DUR|2CDMG|5BEXP|6LWND|7RPLT|89RCR|aDMG
34	46213 14132	 * 	241.22	ACR|DCR|2TLV|1VULN|1DMG|1MLV	1FEWX|2MLV|3RCVC|4aRCR|56TLV|7VULN|8DMG|9RAT
35	46313 14132	   	241.12	ACR|DCR|2TLV|1VULN|1DMG|1MLV	1FEWX|2MLV|3AEWIND|4aRCR|56TLV|7VULN|8DMG|9RAT
