0	Index      	 *	Score 	Summary	Detail	
1	42226 13343	 * 	262.90	DCR|4VULN|2DMG|2DUR|1AART	135aVULN|26DUR|4aLWND|7aDMG|8RCR|9AART|aBPWR
2	53411 26123	 * 	256.76	DCR|DCR|1TLV|1FLTARM|1DMG|1CDMG|1NUKE	1BELT|2DMG|3NUKE|4TLV|5ERES|6CDMG|7aRCR|8FLTARM|9BOSS
3	22253 52141	 * 	256.04	DCR|DCR|1VULN|1TLV|2CDMG	1ASPD|24LIT|36CDMG|5RCVC|7VULN|8TLV|9aRCR
4	42221 13343	 * 	255.09	DCR|3VULN|3DUR|2DMG|1AART	13aVULN|26aDUR|4LWND|5AEWIND|7aDMG|8RCR|9AART|aBPWR
5	42223 13343	   	255.09	DCR|3VULN|3DUR|2DMG|1AART	13aVULN|26aDUR|4LWND|5AEBURN|7aDMG|8RCR|9AART|aBPWR
6	42611 13343	   	255.09	DCR|3VULN|3DUR|2DMG|1AART	14aVULN|26aDUR|3LWND|5AEWIND|7aDMG|8RCR|9AART|aBPWR
7	42613 13343	   	255.09	DCR|3VULN|3DUR|2DMG|1AART	14aVULN|26aDUR|3LWND|5AEBURN|7aDMG|8RCR|9AART|aBPWR
8	42242 13123	 * 	253.38	DCR|3VULN|2MLV|2DUR|2AART	137VULN|27DUR|45AART|67MLV|7BPWR|8LWND|9ASPD|aRCR
9	42242 13623	   	253.38	DCR|3VULN|2MLV|2DUR|2AART	137VULN|27DUR|45AART|67MLV|7BPWR|8FEWX|9ASPD|aRCR
10	12216 13346	 * 	252.16	DCR|3VULN|2DUR|1TLV|1DMG|1AART	1LHND|26DUR|345VULN|7DMG|8RCR|9AART|aTLV
11	23532 33251	 * 	251.87	DCR|2VULN|2MLV|1TLV|2CDMG|1DMG|2ASPD	18ASPD|2RPLT|38VULN|4TLV|5aCDMG|6RCR|78MLV|8BPWR|9DMG
12	42226 23343	   	250.45	DCR|4VULN|2DMG|1DUR|1AART	135aVULN|2DUR|4aLWND|6RCVC|7aDMG|8RCR|9AART|aBPWR
13	25251 12413	   	250.45	DCR|4VULN|2DMG|1DUR|2ASPD	19ASPD|24CGEN|3489VULN|49BPWR|5BEXP|6DUR|79DMG|aRCR
14	25252 12413	   	250.45	DCR|4VULN|2DMG|2ASPD|1DUR	19ASPD|24CGEN|3489VULN|49BPWR|5LHND|6DUR|79DMG|aRCR
15	25216 12413	   	250.35	DCR|4VULN|2DMG|1DUR|2ASPD	19ASPD|2CGEN|3589VULN|4FEWX|6DUR|79DMG|9BPWR|aRCR
16	25226 12413	   	250.35	DCR|4VULN|2DMG|2ASPD|1DUR	19ASPD|2CGEN|3589VULN|4LWND|6DUR|79DMG|9BPWR|aRCR
17	23532 33265	   	250.15	DCR|2VULN|2MLV|1TLV|1CDMG|2ASPD|1DUR|1NUKE	18ASPD|2RPLT|38VULN|4TLV|5CDMG|6RCR|78MLV|8BPWR|9DUR|aNUKE
18	21523 64232	   	249.63	DCR|DCR|1VULN|1TLV|1CDMG	1ASPD|2RAT|3TLV|4VULN|5RPLT|6DUST|7RMIN|8CDMG|9aRCR
19	21523 61232	   	249.53	DCR|DCR|1VULN|1TLV|1CDMG	1ASPD|2RAT|3TLV|4VULN|5RPLT|6DUST|7ERES|8CDMG|9aRCR
20	21523 63232	   	249.53	DCR|DCR|1VULN|1TLV|1CDMG	1ASPD|2RAT|3TLV|4VULN|5RPLT|6DUST|7AME|8CDMG|9aRCR
21	23536 61232	   	249.53	DCR|DCR|1VULN|1TLV|1CDMG	1ASPD|2RPLT|3VULN|4TLV|5RAT|6DUST|7ERES|8CDMG|9aRCR
22	23536 63232	   	249.53	DCR|DCR|1VULN|1TLV|1CDMG	1ASPD|2RPLT|3VULN|4TLV|5RAT|6DUST|7AME|8CDMG|9aRCR
23	42215 52232	 * 	248.04	DCR|4VULN|2TLV|2DUR	137aVULN|2aDUR|4FEWX|5TBNT|6CGEN|8RCR|9aTLV|aBPWR
24	42225 52232	   	248.04	DCR|4VULN|2TLV|2DUR	137aVULN|2aDUR|4LWND|5TBNT|6CGEN|8RCR|9aTLV|aBPWR
25	23532 33213	 * 	247.54	DCR|3VULN|2MLV|1TLV|2ASPD|1CDMG	18ASPD|2RPLT|38aVULN|4TLV|5CDMG|6RCR|78MLV|8BPWR|9AEWIND
26	23532 33233	   	247.54	DCR|3VULN|2MLV|1TLV|2ASPD|1CDMG	18ASPD|2RPLT|38aVULN|4TLV|5CDMG|6RCR|78MLV|8BPWR|9AEFBLL
27	42242 13253	   	246.44	DCR|3VULN|2MLV|2DUR|2AART|1AAC	137VULN|27DUR|45AART|67MLV|7BPWR|8AAC|9FEWX|aRCR
28	42242 13223	   	246.34	DCR|3VULN|2MLV|2DUR|2AART|1AAC	137VULN|27DUR|45AART|67MLV|7BPWR|8AAC|9AETHUN|aRCR
29	42242 13243	   	246.34	DCR|3VULN|2MLV|2DUR|2AART|1AAC	137VULN|27DUR|45AART|67MLV|7BPWR|8AAC|9LEGI|aRCR
30	23532 33254	   	245.56	DCR|2VULN|2MLV|1TLV|1DMG|1CDMG|2ASPD	18ASPD|2RPLT|38VULN|4TLV|5CDMG|6RCR|78MLV|8BPWR|9DMG|aLHND
31	23532 33256	   	245.56	DCR|2VULN|2MLV|1TLV|1DMG|2ASPD|1CDMG	18ASPD|2RPLT|38VULN|4TLV|5CDMG|6RCR|78MLV|8BPWR|9DMG|aZMB
