0	Index      	 *	Score 	Summary	Detail	
1	12224 36322	 * 	277.28	ACR|DCR|3VULN|1TLV|1DMG|1DUR	18aVULN|2DMG|3BOSS|47RCR|5TLV|6BEXP|9DUR
2	15263 11213	 * 	273.63	DCR|DCR|2VULN|3DUR	13VULN|2RPLT|456DUR|7FEWX|8aRCR|9ASPD
3	13611 33616	 * 	273.09	DCR|4VULN|2DMG|2TLV|1DUR|1SELL	1279VULN|27BPWR|37DMG|4FEWX|5DUR|67TLV|8SELL|aRCR
4	13116 14622	 * 	270.74	DCR|DCR|4VULN	1257VULN|257BPWR|3RMIN|457FEWX|67CGEN|8aRCR|9LIT
5	12223 16324	   	270.74	ACR|DCR|2VULN|1TLV|1DMG|1MLV|1DUR	18VULN|2DMG|3BOSS|47RCR|5BEXP|6MLV|9DUR|aTLV
6	12226 36324	   	270.74	ACR|DCR|2VULN|1TLV|1DMG|1MLV|1DUR	18VULN|2DMG|3BOSS|47RCR|5MLV|6BEXP|9DUR|aTLV
7	12224 36325	   	268.79	ACR|DCR|2VULN|1TLV|1DMG|1DUR|1AAC	18VULN|2DMG|3BOSS|47RCR|5TLV|6BEXP|9DUR|aAAC
8	12224 16322	 * 	267.59	ACR|DCR|2VULN|2DUR|1TLV|1DMG	18VULN|2DMG|3BOSS|47RCR|5TLV|69DUR|aCGEN
9	12224 16324	   	267.59	ACR|DCR|2VULN|2DUR|1TLV|1DMG	18VULN|2DMG|3BOSS|47RCR|5TLV|69DUR|aRMIN
10	12224 16326	   	267.59	ACR|DCR|2VULN|2DUR|1TLV|1DMG	18VULN|2DMG|3BOSS|47RCR|5TLV|69DUR|aRPLT
11	12221 16323	   	267.59	ACR|DCR|2VULN|2DUR|1TLV|1DMG	18VULN|2DMG|3BOSS|47RCR|5CGEN|69DUR|aTLV
12	12224 16321	   	267.49	ACR|DCR|2VULN|2DUR|1TLV|1DMG	18VULN|2DMG|3BOSS|47RCR|5TLV|69DUR|aDUST
13	12224 16323	   	267.49	ACR|DCR|2VULN|2DUR|1TLV|1DMG	18VULN|2DMG|3BOSS|47RCR|5TLV|69DUR|aAME
14	12223 16322	   	266.68	ACR|DCR|3VULN|1DMG|1MLV|1DUR	18aVULN|2DMG|3BOSS|47RCR|5BEXP|6MLV|9DUR
