0	Index      	 *	Score 	Summary	Detail	
1	16243 37247	 * 	266.49	DCR|DCR|2VULN|3DUR	1RAT|2MBVNT|367DUR|4MDPS|59VULN|8aRCR
2	52114 53322	 * 	264.60	DCR|DCR|2MLV|2DUR|1TLV|1CDMG	1CDMG|2BELT|39DUR|45MLV|6BBNT|78RCR|aTLV
3	36112 64211	 * 	264.51	DCR|DCR|1VULN|1TLV|1DMG|1MLV	1TLV|2BBNT|3VULN|4BLASTR|5DMG|6MLV|7SPLARM|8aRCR|9LHND
4	36112 64221	   	264.51	DCR|DCR|1VULN|1TLV|1DMG|1MLV	1TLV|2BBNT|3VULN|4BLASTR|5DMG|6MLV|7SPLARM|8aRCR|9LWND
5	36112 64231	   	264.51	DCR|DCR|1VULN|1TLV|1DMG|1MLV	1TLV|2BBNT|3VULN|4BLASTR|5DMG|6MLV|7SPLARM|8aRCR|9FEWX
6	23335 14211	 * 	262.65	DCR|DCR|2VULN|1DMG|1DUR	1TBNT|2DUR|3MULHEA|4DMG|56VULN|7FRZICY|8aRCR|9LHND
7	23335 14221	   	262.65	DCR|DCR|2VULN|1DMG|1DUR	1TBNT|2DUR|3MULHEA|4DMG|56VULN|7FRZICY|8aRCR|9LWND
8	23335 14231	   	262.65	DCR|DCR|2VULN|1DMG|1DUR	1TBNT|2DUR|3MULHEA|4DMG|56VULN|7FRZICY|8aRCR|9FEWX
9	11262 23422	   	258.40	DCR|DCR|2VULN|1MLV|1CDMG|1AAC	12RAT|2BPWR|3RMIN|4MLV|5CDMG|6aVULN|78RCR|9AAC
10	14262 23422	   	258.40	DCR|DCR|2VULN|1MLV|1CDMG|1AAC	12RAT|3RMIN|4MLV|5CDMG|6aVULN|78RCR|9AAC
11	52113 53322	   	252.21	DCR|DCR|2DUR|1TLV|1MLV|1CDMG	1CDMG|2BELT|39DUR|4MLV|5AEBURN|6BBNT|78RCR|aTLV
12	24112 11535	   	249.00	DCR|DCR|1VULN|1TLV|1DMG	1TBNT|2CGEN|3VULN|4BLASTR|5DMG|6aRCR|7BEXP|8LIT|9TLV
13	21512 13535	   	248.90	DCR|DCR|1VULN|1TLV|1DMG	1TBNT|2BEXP|3ERES|4FRZFST|5DMG|6aRCR|7VULN|8LIT|9TLV
14	23335 54211	 * 	248.90	DCR|DCR|1VULN|2DUR|1DMG	1TBNT|26DUR|3MULHEA|4DMG|5VULN|7FRZICY|8aRCR|9LHND
15	23335 54221	   	248.90	DCR|DCR|1VULN|2DUR|1DMG	1TBNT|26DUR|3MULHEA|4DMG|5VULN|7FRZICY|8aRCR|9LWND
16	23335 54231	   	248.90	DCR|DCR|1VULN|2DUR|1DMG	1TBNT|26DUR|3MULHEA|4DMG|5VULN|7FRZICY|8aRCR|9FEWX
17	24112 13535	   	248.90	DCR|DCR|1VULN|1TLV|1DMG	1TBNT|2CGEN|3VULN|4BLASTR|5DMG|6aRCR|7DUST|8LIT|9TLV
18	24112 54211	   	248.90	DCR|DCR|1VULN|1TLV|1DMG	1TBNT|2CGEN|3VULN|4BLASTR|5DMG|6TLV|7SPLARM|8aRCR|9LHND
19	24112 54221	   	248.90	DCR|DCR|1VULN|1TLV|1DMG	1TBNT|2CGEN|3VULN|4BLASTR|5DMG|6TLV|7SPLARM|8aRCR|9LWND
20	24112 54231	   	248.90	DCR|DCR|1VULN|1TLV|1DMG	1TBNT|2CGEN|3VULN|4BLASTR|5DMG|6TLV|7SPLARM|8aRCR|9FEWX
21	36112 24211	   	248.90	DCR|DCR|1VULN|1TLV|1DMG	1TLV|2BBNT|3VULN|4BLASTR|5DMG|6CGEN|7SPLARM|8aRCR|9LHND
22	36112 24221	   	248.90	DCR|DCR|1VULN|1TLV|1DMG	1TLV|2BBNT|3VULN|4BLASTR|5DMG|6CGEN|7SPLARM|8aRCR|9LWND
23	36112 24231	   	248.90	DCR|DCR|1VULN|1TLV|1DMG	1TLV|2BBNT|3VULN|4BLASTR|5DMG|6CGEN|7SPLARM|8aRCR|9FEWX
