0	Index      	 *	Score 	Summary	Detail	
1	31344 33423	 * 	290.05	DCR|DCR|2VULN|1DMG|1DUR|1AART|1CDMG	1DUR|2BBNT|3AART|46VULN|5DMG|7LIT|8aRCR|9CDMG
2	31341 13423	   	276.93	DCR|DCR|2VULN|1DUR|1AART|1CDMG	1DUR|2BBNT|3AART|46VULN|5LIT|7ASPD|8aRCR|9CDMG
3	31353 13423	   	276.93	DCR|DCR|2VULN|1DUR|1AART|1CDMG	1DUR|2BBNT|3AART|4LIT|56VULN|7ASPD|8aRCR|9CDMG
4	31342 52313	   	269.99	DCR|DCR|2VULN|1DUR|1AART|1CDMG	1DUR|2BBNT|3AART|45VULN|6aRCR|7CDMG|8ZMB|9LIT
5	31342 52323	   	269.99	DCR|DCR|2VULN|1DUR|1AART|1CDMG	1DUR|2BBNT|3AART|45VULN|6aRCR|7CDMG|8ZMB|9BOSS
6	33141 82225	 * 	268.79	DCR|DCR|2VULN|2DUR|1AART	15DUR|2MBVNT|36VULN|4AART|7LWND|8aRCR|9BELT
7	33148 46225	   	268.79	DCR|DCR|2VULN|2DUR|1AART	16DUR|2MBVNT|37VULN|4AART|5LWND|8aRCR|9BELT
8	41141 46225	   	268.79	DCR|DCR|2VULN|2DUR|1AART	1MBVNT|2LWND|37VULN|4AART|56DUR|8aRCR|9BELT
9	43326 62443	 * 	266.39	DCR|DCR|3DUR|1VULN|3CDMG	1MBVNT|2MDPS|357CDMG|456DUR|57BPWR|8aRCR|9VULN
10	31312 26355	   	265.71	DCR|DCR|1VULN|1DMG|1MLV|1DUR|1AART	1DUR|2BBNT|3AART|4MDPS|5VULN|6BEXP|7aRCR|8DMG|9MLV
11	31341 43423	   	263.18	DCR|DCR|1VULN|2DUR|1AART|1CDMG	16DUR|2BBNT|3AART|4VULN|5LIT|7ASPD|8aRCR|9CDMG
12	31352 33423	 * 	263.18	DCR|DCR|1VULN|2AART|1DUR|1CDMG	1DUR|2BBNT|35AART|4LIT|6VULN|7ASPD|8aRCR|9CDMG
13	31353 43423	   	263.18	DCR|DCR|1VULN|2DUR|1AART|1CDMG	16DUR|2BBNT|3AART|4LIT|5VULN|7ASPD|8aRCR|9CDMG
