0	Index      	 *	Score 	Summary	Detail	
1	43251 11116	 * 	291.71	DCR|DCR|2VULN|1DMG|2CDMG|1MLV	16VULN|25CDMG|3RAT|4ASPD|7aRCR|8DMG|9MLV
2	42242 22118	 * 	282.15	DCR|DCR|2VULN|1TLV|1DMG	19VULN|2TBNT|3ASPD|4MBVNT|5DMG|6FEWX|7aRCR|8TLV
3	42242 22328	   	282.15	DCR|DCR|2VULN|1TLV|1DMG	18VULN|2TBNT|3ASPD|4MBVNT|5DMG|6FEWX|7aRCR|9TLV
4	42242 42118	   	282.15	DCR|DCR|2VULN|1TLV|1DMG	19VULN|2TBNT|3ASPD|4MBVNT|5DMG|6BEXP|7aRCR|8TLV
5	42242 42328	   	282.15	DCR|DCR|2VULN|1TLV|1DMG	18VULN|2TBNT|3ASPD|4MBVNT|5DMG|6BEXP|7aRCR|9TLV
6	43251 11136	   	276.11	DCR|DCR|2VULN|1DMG|2CDMG	16VULN|25CDMG|3RAT|4ASPD|7aRCR|8DMG|9CGEN
7	43251 11126	   	276.01	DCR|DCR|2VULN|1DMG|2CDMG	16VULN|25CDMG|3RAT|4ASPD|7aRCR|8DMG|9AME
8	41513 23283	 * 	275.11	DCR|DCR|2VULN|1FLTARM|1DMG	13VULN|2MDPS|4MBVNT|5ZMB|67RCR|8AME|9FLTARM|aDMG
9	41513 23611	   	270.75	DCR|DCR|2VULN|1TLV|1MLV	13VULN|2MDPS|4MBVNT|5ZMB|67RCR|8MLV|9FEWX|aTLV
10	41513 23621	   	270.65	DCR|DCR|2VULN|1TLV|1MLV	13VULN|2MDPS|4MBVNT|5ZMB|67RCR|8MLV|9LEGI|aTLV
11	41513 23641	   	270.65	DCR|DCR|2VULN|1TLV|1MLV	13VULN|2MDPS|4MBVNT|5ZMB|67RCR|8MLV|9DUST|aTLV
12	44153 23111	   	269.59	DCR|DCR|2VULN|1DMG|1DUR	18VULN|2DMG|3MDPS|4ASPD|5ZMB|67RCR|9DUR|aLSRICY
13	44153 23112	   	269.59	DCR|DCR|2VULN|1DMG|1DUR	18VULN|2DMG|3MDPS|4ASPD|5ZMB|67RCR|9DUR|aAEFRZ
14	44153 23113	   	269.59	DCR|DCR|2VULN|1DMG|1DUR	18VULN|2DMG|3MDPS|4ASPD|5ZMB|67RCR|9DUR|aSNIFST
15	41513 23613	 * 	266.68	DCR|DCR|3VULN|1MLV	13aVULN|2MDPS|4MBVNT|5ZMB|67RCR|8MLV|9FEWX
16	41513 23834	   	266.68	DCR|DCR|3VULN|1MLV	13aVULN|2MDPS|4MBVNT|5ZMB|67RCR|8CGEN|9MLV
17	41513 23134	   	266.58	DCR|DCR|3VULN|1MLV	138VULN|2MDPS|4MBVNT|5ZMB|67RCR|9TBNT|aMLV
18	41513 23234	   	266.58	DCR|DCR|3VULN|1MLV	13aVULN|2MDPS|4MBVNT|5ZMB|67RCR|8AME|9MLV
19	41513 23643	   	266.58	DCR|DCR|3VULN|1MLV	13aVULN|2MDPS|4MBVNT|5ZMB|67RCR|8MLV|9DUST
20	41513 23115	   	264.73	DCR|DCR|3VULN|1DUR	138VULN|2MDPS|4MBVNT|5ZMB|67RCR|9DUR|aBEXP
21	41513 23116	   	264.73	DCR|DCR|3VULN|1DUR	138VULN|2MDPS|4MBVNT|5ZMB|67RCR|9DUR|aCGEN
22	41513 23117	   	264.73	DCR|DCR|3VULN|1DUR	138VULN|2MDPS|4MBVNT|5ZMB|67RCR|9DUR|aRPLT
23	41513 23118	   	264.73	DCR|DCR|3VULN|1DUR	138VULN|2MDPS|4MBVNT|5ZMB|67RCR|9DUR|aLWND
24	41513 23128	   	264.73	DCR|DCR|3VULN|1AAC	138VULN|2MDPS|4MBVNT|5ZMB|67RCR|9BEXP|aAAC
25	44133 23513	   	264.71	DCR|DCR|2VULN|1DMG|1MLV|1AAC	1aVULN|2DMG|3MDPS|4AAC|5ZMB|67RCR|8MLV|9FEWX
26	44133 23511	   	264.71	DCR|DCR|1VULN|1TLV|1DMG|1MLV|1AAC	1VULN|2DMG|3MDPS|4AAC|5ZMB|67RCR|8MLV|9FEWX|aTLV
27	41513 23111	   	264.63	DCR|DCR|3VULN|1DUR	138VULN|2MDPS|4MBVNT|5ZMB|67RCR|9DUR|aLSRICY
28	41513 23112	   	264.63	DCR|DCR|3VULN|1DUR	138VULN|2MDPS|4MBVNT|5ZMB|67RCR|9DUR|aAEFRZ
29	41513 23113	   	264.63	DCR|DCR|3VULN|1DUR	138VULN|2MDPS|4MBVNT|5ZMB|67RCR|9DUR|aSNIFST
30	41513 23114	   	264.63	DCR|DCR|3VULN|1DUR	138VULN|2MDPS|4MBVNT|5ZMB|67RCR|9DUR|aDUST
31	44133 23521	   	264.61	DCR|DCR|1VULN|1TLV|1DMG|1MLV|1AAC	1VULN|2DMG|3MDPS|4AAC|5ZMB|67RCR|8MLV|9LEGI|aTLV
32	41513 23633	 * 	263.77	DCR|DCR|2VULN|2MLV	13VULN|2MDPS|4MBVNT|5ZMB|67RCR|89MLV|aASPD
33	44133 23114	   	262.75	DCR|DCR|2VULN|1DMG|1DUR|1AAC	18VULN|2DMG|3MDPS|4AAC|5ZMB|67RCR|9DUR|aBEXP
34	44133 23115	   	262.75	DCR|DCR|2VULN|1DMG|1DUR|1AAC	18VULN|2DMG|3MDPS|4AAC|5ZMB|67RCR|9DUR|aCGEN
