0	Index      	 *	Score 	Summary	Detail	
1	22633 41532	 * 	289.08	紫橙3易伤1等级1矿等	1掉矿2a核3金币生成459易伤6等级7基地爆炸8矿等
2	51633 13142	 * 	279.83	橙橙1易伤1矿等1技能1暴击1卖塔	1卖塔2易伤3暴击4矿等5最后敌人6随机技能7技能8火球减费9a核
3	51633 12142	 * 	279.18	橙橙1易伤1矿等1攻速1暴击1卖塔	1卖塔2易伤3暴击4矿等5最后敌人6随机技能7攻速8火球减费9a核
4	31153 63325	 * 	278.62	橙3易伤2矿等1等级1攻速	1双倍秒伤2敌人爆炸357易伤4a矿等6等级8核9攻速
5	62335 43123	 * 	276.95	橙橙1易伤1等级1伤害	14策反2双倍秒伤34雷电4序列升级5全技能6易伤7等级8a核9伤害
6	66611 33123	   	276.95	橙橙1易伤1等级1伤害	1策反2敌人爆炸3等级4全技能5最后敌人6雷电7易伤8a核9伤害
7	61611 33123	   	276.85	橙橙1易伤1等级1伤害	1策反2挖尘3等级4全技能5最后敌人6雷电7易伤8a核9伤害
8	61633 62123	   	276.85	橙橙1易伤1等级1伤害	1策反2挖尘3等级4易伤5雷电6低血量敌人7全技能8a核9伤害
9	61633 52123	   	276.75	橙橙1易伤1等级1伤害	1策反2挖尘3等级4易伤5雷电6挖青7全技能8a核9伤害
10	32623 53262	 * 	276.44	橙橙2矿等1伤害1攻速	1双倍秒伤2赏金塔3攻速4伤害5时间6低血量敌人79核8a矿等
11	32651 13262	   	276.44	橙橙2矿等1伤害1攻速	1双倍秒伤2赏金塔3攻速4最后敌人5时间6伤害79核8a矿等
12	31153 63321	 * 	274.50	橙3易伤1等级1矿等1伤害1攻速	1双倍秒伤2敌人爆炸357易伤4矿等6等级8核9攻速a伤害
13	33155 13326	   	274.40	橙3易伤1等级1矿等1伤害1攻速	1双倍秒伤2挖尘367易伤4矿等5伤害8核9攻速a等级
14	61611 33163	   	273.68	橙橙1易伤1等级1技能	1策反2挖尘3等级4全技能5最后敌人6雷电7易伤8a核9技能
15	32216 64313	   	273.58	橙橙1易伤1等级1技能	1双倍秒伤2赏金塔3狙击对黄4等级5时间6赏金邻近7技能8a核9易伤
16	51632 15312	   	272.80	橙3易伤1矿等1伤害1技能1攻速1暴击1卖塔	1卖塔28a易伤3暴击4矿等5技能6攻速7核9伤害
17	31152 13326	   	271.33	橙3易伤1等级1矿等1技能1攻速	1双倍秒伤2敌人爆炸367易伤4矿等5技能8核9攻速a等级
18	33152 13326	   	271.23	橙3易伤1等级1矿等1技能1攻速	1双倍秒伤2挖尘367易伤4矿等5技能8核9攻速a等级
19	32623 53261	   	269.15	橙橙1矿等1伤害1技能1攻速	1双倍秒伤2赏金塔3攻速4伤害5时间6低血量敌人79核8矿等a技能
20	32651 13261	   	269.15	橙橙1矿等1伤害1技能1攻速	1双倍秒伤2赏金塔3攻速4最后敌人5时间6伤害79核8矿等a技能
21	31153 63324	 * 	269.02	橙3易伤1等级2攻速1矿等	1双倍秒伤2敌人爆炸357易伤4矿等6等级8核9a攻速
22	61222 13642	 * 	268.09	橙橙2易伤1技能	1策反23挖尘48易伤5掉矿6随机技能7技能9a核
23	32652 13262	   	268.04	橙橙2矿等1伤害1攻速	1双倍秒伤2赏金塔3攻速4最后敌人5挖尘6伤害79核8a矿等
24	61222 12642	   	267.45	橙橙2易伤1攻速	1策反23挖尘48易伤5掉矿6随机技能7攻速9a核
25	33155 13325	 * 	266.49	橙3易伤2矿等1伤害1攻速	1双倍秒伤2挖尘367易伤4a矿等5伤害8核9攻速
26	31621 16132	   	266.32	橙橙2易伤1暴击	1双倍秒伤2敌人爆炸3额外掉落4挖尘57易伤6a核8暴击9全技能
27	31663 16132	   	266.32	橙橙2易伤1暴击	1双倍秒伤2敌人爆炸3额外掉落47易伤5挖尘6a核8暴击9全技能
28	22632 41532	   	265.52	紫橙2易伤1等级1矿等	1掉矿2a核3金币生成49易伤5火球减费6等级7基地爆炸8矿等
29	32212 64313	   	265.27	橙橙1易伤1等级1技能	1双倍秒伤2赏金塔3狙击对黄4等级5敌人爆炸6赏金邻近7技能8a核9易伤
30	32251 64313	   	265.27	橙橙1易伤1等级1技能	1双倍秒伤2赏金塔3狙击对黄4低血量敌人5等级6赏金邻近7技能8a核9易伤
31	32211 64313	   	265.17	橙橙1易伤1等级1技能	1双倍秒伤2赏金塔3狙击对黄4等级5挖尘6赏金邻近7技能8a核9易伤
32	36112 52613	 * 	264.55	橙橙1易伤1矿等1暴击	1双倍秒伤2最后敌人3易伤4金币生成5全技能68核7矿等9敌人爆炸a暴击
33	51632 15313	 * 	263.93	橙2易伤2攻速1矿等1伤害1技能1暴击1卖塔	1卖塔28易伤3暴击4矿等5技能6a攻速7核9伤害
34	33143 53316	   	263.62	橙橙1易伤1等级	1双倍秒伤2挖尘3易伤4雷电5时间6随机技能79核8金币生成a等级
35	31152 13325	   	263.42	橙3易伤2矿等1技能1攻速	1双倍秒伤2敌人爆炸367易伤4a矿等5技能8核9攻速
36	63366 32122	   	263.35	紫橙2易伤1等级1技能	1策反2金币生成3a核4技能5随机技能67易伤8等级9掉矿
37	33152 13325	   	263.32	橙3易伤2矿等1技能1攻速	1双倍秒伤2挖尘367易伤4a矿等5技能8核9攻速
38	22633 41132	   	262.88	紫橙3易伤1等级	1掉矿2a核3金币生成459易伤6等级7基地爆炸8技能点
39	22633 41432	   	262.88	紫橙3易伤1等级	1掉矿2a核3金币生成458易伤6等级7基地爆炸9随机矿
40	46312 12142	   	262.58	橙橙1矿等1技能1攻速2时间	1低血量敌人24时间3暴雪减费5技能6攻速7随机技能8矿等9a核
41	31166 21212	 * 	261.63	紫橙2矿等1易伤1等级	1双倍秒伤2敌人爆炸3易伤4a核56矿等7基地爆炸8等级9挖尘
42	36166 21212	   	261.63	紫橙2矿等1易伤1等级	1双倍秒伤2最后敌人3易伤4a核56矿等7基地爆炸8等级9挖尘
43	26433 22123	   	261.00	橙橙1易伤1伤害1攻速	1掉矿2敌人爆炸3易伤4攻速5雷电6全技能7最后敌人8a核9伤害
44	26433 62123	   	261.00	橙橙1易伤1伤害1攻速	1掉矿2敌人爆炸3易伤4攻速5雷电6低血量敌人7全技能8a核9伤害
45	31611 12341	   	261.00	橙橙1易伤1伤害1攻速	1双倍秒伤2敌人爆炸3额外掉落4时间5易伤6a核7伤害8平台9攻速
46	21433 22123	   	260.90	橙橙1易伤1伤害1攻速	1掉矿2挖尘3易伤4攻速5雷电6全技能7最后敌人8a核9伤害
47	21433 25123	   	260.90	橙橙1易伤1伤害1攻速	1掉矿2挖尘3易伤4攻速5雷电6全技能7敌人爆炸8a核9伤害
