0	Index      	 *	Score 	Summary	Detail	
1	12562 43741	 * 	274.05	橙橙2矿等1易伤1暴击1平台	1金币生成2a矿等3暴击4平台5加一6基地爆炸7易伤89核
2	24153 11141	 * 	268.21	紫橙3易伤1矿等1暴击	1防空对愈248易伤3金币生成59核6矿等7低血量敌人a暴击
3	26532 24222	 * 	264.96	橙橙1易伤1伤害1暴击1攻速	1防空对愈2伤害3最后敌人4暴击5攻速68核7技能9低血量敌人a易伤
4	26532 24233	   	264.96	橙橙1易伤1伤害1暴击1攻速	1防空对愈2伤害3最后敌人4暴击5攻速68核7技能9雷电a易伤
5	51131 13323	   	260.50	橙橙2矿等1易伤1全技能	1易伤24矿等3全技能5额外掉落6a核7低血量敌人8金币生成9赏金塔
6	51131 15423	   	260.40	橙橙2矿等1易伤1全技能	1易伤24矿等3全技能5额外掉落6a核7掉矿8敌人爆炸9赏金塔
7	51131 15223	   	260.30	橙橙2矿等1易伤1全技能	1易伤24矿等3全技能5额外掉落6a核7掉矿8挖尘9赏金塔
8	51132 62235	   	260.30	橙橙2矿等1易伤1全技能	1易伤24矿等3全技能5加一6基地爆炸7a核8双倍秒伤9随机矿
9	51132 62215	   	260.20	橙橙2矿等1易伤1全技能	1易伤24矿等3全技能5加一6基地爆炸7a核8双倍秒伤9掉矿
10	51132 72235	   	260.20	橙橙2矿等1易伤1全技能	1易伤24矿等3全技能5加一6挖尘7a核8双倍秒伤9随机矿
11	51132 72215	   	260.10	橙橙2矿等1易伤1全技能	1易伤24矿等3全技能5加一6挖尘7a核8双倍秒伤9掉矿
12	12562 43742	   	258.44	橙橙1易伤1矿等1暴击1平台	1金币生成2矿等3暴击4平台5加一6a基地爆炸7易伤89核
13	12562 43743	   	258.44	橙橙1易伤1矿等1暴击1平台	1金币生成2矿等3暴击4平台5加一6基地爆炸7易伤89核a赏金塔
14	12562 43744	   	258.34	橙橙1易伤1矿等1暴击1平台1挖怪	1金币生成2矿等3暴击4平台5加一6基地爆炸7易伤89核a挖怪
15	51421 16333	   	257.18	橙橙1易伤1矿等1暴击	1易伤2矿等3暴击4低血量敌人5额外掉落6赏金邻近7时间8最后敌人9a核
16	51431 11333	   	257.18	橙橙1易伤1矿等1暴击	1易伤2矿等3暴击4时间5额外掉落6赏金邻近7低血量敌人8最后敌人9a核
17	51431 21633	   	257.18	橙橙1易伤1矿等1暴击	1易伤2矿等3暴击4时间5额外掉落6最后敌人7敌人爆炸8赏金邻近9a核
18	51431 23633	   	257.18	橙橙1易伤1矿等1暴击	1易伤2矿等3暴击4时间5额外掉落6最后敌人7基地爆炸8赏金邻近9a核
19	31253 32133	 * 	255.74	橙2易伤3伤害2矿等1暴击	1赏金塔2a易伤3赏金邻近467伤害56矿等6序列升级8核9暴击
20	24153 11143	   	254.56	紫橙3易伤1矿等	1防空对愈248易伤3金币生成59核6矿等7低血量敌人a敌人爆炸
21	64321 52413	 * 	254.53	紫橙2易伤2暴击1伤害2策反	17策反2a核3防空对愈47易伤57暴击6加一7序列升级8伤害9赏金邻近
22	24153 11142	   	254.46	紫橙3易伤1矿等1策反	1防空对愈248易伤3金币生成59核6矿等7低血量敌人a策反
23	31253 32145	   	251.75	橙2易伤3伤害2矿等1平台	1赏金塔2a易伤3赏金邻近467伤害56矿等6序列升级8核9平台
24	31253 32235	   	251.75	橙2易伤3伤害2矿等1平台	1赏金塔2a易伤3赏金邻近467伤害56矿等6序列升级8平台9核
25	53143 32111	 * 	250.86	紫橙2易伤3暴击1全技能	18易伤28低血量敌人3a核478暴击5全技能6技能8序列升级9立即金币
26	26532 24211	   	250.40	橙橙1伤害1矿等1暴击1攻速	1防空对愈2伤害3最后敌人4暴击5攻速68核7技能9矿等a金币生成
27	26532 24212	   	250.40	橙橙1伤害1矿等1暴击1攻速	1防空对愈2伤害3最后敌人4暴击5攻速68核7技能9矿等a等级
28	26532 24213	   	250.40	橙橙1伤害1矿等1暴击1攻速	1防空对愈2伤害3最后敌人4暴击5攻速68核7a技能9矿等
29	51333 13541	 * 	250.15	橙4易伤2矿等1伤害	138a易伤28矿等4双倍秒伤5伤害6基地爆炸78金币生成8序列升级9核
30	51333 23541	   	250.15	橙4易伤2矿等1伤害	138a易伤28矿等4双倍秒伤5伤害6最后敌人78金币生成8序列升级9核
31	31654 23223	 * 	249.05	橙3易伤2伤害2暴击1攻速	1赏金塔269易伤3金币生成49伤害5挖尘7攻速89暴击9序列升级a核
32	51421 21333	   	248.88	橙橙1易伤1矿等1暴击	1易伤2矿等3暴击4低血量敌人5额外掉落6最后敌人7敌人爆炸8赏金邻近9a核
33	51421 23333	   	248.88	橙橙1易伤1矿等1暴击	1易伤2矿等3暴击4低血量敌人5额外掉落6最后敌人7基地爆炸8赏金邻近9a核
34	51461 11333	   	248.78	橙橙1易伤1矿等1暴击	1易伤2矿等3暴击4挖尘5额外掉落6赏金邻近7低血量敌人8最后敌人9a核
35	51461 21333	   	248.78	橙橙1易伤1矿等1暴击	1易伤2矿等3暴击4挖尘5额外掉落6最后敌人7敌人爆炸8赏金邻近9a核
36	51461 23333	   	248.78	橙橙1易伤1矿等1暴击	1易伤2矿等3暴击4挖尘5额外掉落6最后敌人7基地爆炸8赏金邻近9a核
37	64321 52113	   	248.12	紫橙2易伤2暴击1攻速2策反	17策反2a核3防空对愈47易伤57暴击6加一7序列升级8攻速9赏金邻近
38	52143 43211	   	246.61	紫橙2易伤1暴击1全技能	1a易伤2最后敌人37核4暴击5全技能6赏金邻近8雷电9时间
39	24153 12141	   	246.07	紫橙2易伤1矿等1暴击	1防空对愈24易伤37金币生成59核6矿等8低血量敌人a暴击
