0	Index      	 *	Score 	Summary	Detail	
1	11234 12335	 * 	284.64	橙橙2易伤1矿等1暴击1全技能	1狙击对毒24易伤3矿等5全技能6暴击7雷电8a核9随机矿
2	35232 33215	 * 	278.69	橙橙2伤害2攻速2暴击1全技能1策反1卖塔	1全技能2卖塔3赏金邻近48攻速58伤害6a核78暴击8序列升级9策反
3	11214 12335	 * 	274.05	橙橙2矿等1易伤1暴击1全技能	1狙击对毒2易伤34矿等5全技能6暴击7雷电8a核9随机矿
4	43613 23125	 * 	273.52	橙橙2易伤1伤害1平台	16易伤2平台3雷电4金币生成5伤害7立即金币8双倍物品9a核
5	43633 23125	   	273.42	橙橙2易伤1伤害1平台	16易伤2平台3雷电4技能点5伤害7立即金币8双倍物品9a核
6	51251 53122	 * 	270.36	橙4易伤3矿等2攻速	17a矿等2最后敌人3457易伤67攻速7序列升级8金币生成9核
7	52253 62212	   	269.53	橙橙2易伤1矿等	1矿等2敌人爆炸34易伤5双倍秒伤6时间7掉矿8a核9雷电
8	41261 25212	   	269.43	橙橙2易伤1矿等	13易伤2掉矿4矿等5时间6挖尘7双倍秒伤8a核9雷电
9	32151 25151	   	269.27	橙橙1易伤1伤害1暴击1全技能	1全技能2额外掉落3伤害4时间5机枪对壮68核7暴击9敌人爆炸a易伤
10	32151 25131	   	269.17	橙橙1易伤1伤害1暴击1全技能	1全技能2额外掉落3伤害4时间5机枪对壮68核7暴击9挖青a易伤
11	36233 42335	   	267.01	橙橙2易伤1暴击1全技能	1全技能2激光对绿3暴击4掉矿57易伤6雷电8a核9随机矿
12	32153 13324	 * 	266.67	紫橙2易伤1伤害1攻速1全技能	1全技能2额外掉落3伤害4时间57核6攻速8最后敌人9a易伤
13	32221 53224	   	266.67	紫橙2易伤1伤害1攻速1全技能	1全技能2额外掉落3低血量敌人4时间57核6攻速8伤害9a易伤
14	32331 53224	   	266.67	紫橙2易伤1伤害1攻速1全技能	1全技能2额外掉落3时间4基地爆炸57核6攻速8伤害9a易伤
15	32153 13424	   	266.57	紫橙2易伤1伤害1攻速1全技能	1全技能2额外掉落3伤害4时间57核6攻速8挖尘9a易伤
