0	Index      	 *	Score 	Summary	Detail	
1	21132 46352	 * 	302.52	橙橙2矿等1易伤1伤害1暴击	1敌人爆炸2伤害3时间4易伤5暴击67矿等8平台9a核
2	36433 11351	 * 	295.48	橙橙2易伤2暴击1攻速	15暴击2攻速3时间45易伤5序列升级6赏金邻近7基础对冰8全技能9a核
3	21233 11351	   	287.27	橙橙2易伤1伤害1暴击	15敌人爆炸2伤害3暴击45易伤5序列升级6赏金邻近7基础对冰8全技能9a核
4	21233 52352	   	287.27	橙橙2易伤1伤害1暴击	15敌人爆炸2伤害3暴击45易伤5序列升级6挖尘7金币生成8平台9a核
5	33142 33252	   	286.91	橙橙1易伤1伤害1矿等1暴击	1暴击2金币生成3等级4平台5易伤6矿等7时间8伤害9a核
6	54342 41714	 * 	285.90	橙橙3易伤1伤害	1双倍矿2加一3掉矿458易伤6伤害7a核9最后敌人
7	21136 22352	   	281.78	橙橙2易伤1伤害1卖塔	15敌人爆炸2伤害3时间45易伤5序列升级6卖塔7金币生成8平台9a核
8	33536 13352	   	280.76	橙橙2易伤1暴击1攻速	1暴击2金币生成34易伤5攻速6挖尘7低血量敌人8平台9a核
9	36532 11351	   	280.76	橙橙2易伤1暴击1攻速	1暴击2攻速34易伤5低血量敌人6赏金邻近7基础对冰8全技能9a核
10	32322 11446	 * 	280.38	紫橙2易伤3暴击1伤害	127暴击37喷火对黄48核57易伤6平台7序列升级9伤害a全技能
11	22222 34352	   	278.60	橙橙1易伤1伤害1矿等1暴击	1敌人爆炸2等级3伤害4金币生成5易伤6矿等7暴击8平台9a核
12	33142 31252	   	278.60	橙橙1易伤1伤害1矿等1暴击	1暴击2金币生成3等级4平台5易伤6矿等7基地爆炸8伤害9a核
13	33142 35252	   	278.60	橙橙1易伤1伤害1矿等1暴击	1暴击2金币生成3等级4平台5易伤6矿等7敌人爆炸8伤害9a核
14	21232 45352	   	278.40	橙橙1易伤1伤害1矿等1暴击	1敌人爆炸2伤害3暴击4易伤57挖尘6矿等8平台9a核
15	32322 11456	   	277.85	紫橙2易伤3暴击1矿等	127暴击37喷火对黄48核57易伤6平台7序列升级9矿等a全技能
16	21132 22352	   	275.92	橙橙1易伤1伤害2时间1暴击	1敌人爆炸2伤害36时间4易伤5暴击7金币生成8平台9a核
17	21234 22352	   	275.92	橙橙1易伤1伤害2时间1暴击	1敌人爆炸2伤害3暴击4易伤56时间7金币生成8平台9a核
18	21512 22352	   	275.92	橙橙1易伤1伤害2时间1暴击	1敌人爆炸2伤害3易伤46时间5暴击7金币生成8平台9a核
19	21132 32352	   	275.69	橙橙1易伤2暴击1伤害	1敌人爆炸2伤害3时间4易伤56暴击7金币生成8平台9a核
20	21234 32352	   	275.69	橙橙1易伤2暴击1伤害	1敌人爆炸2伤害36暴击4易伤5时间7金币生成8平台9a核
21	21512 32352	   	275.69	橙橙1易伤2暴击1伤害	1敌人爆炸2伤害3易伤4时间56暴击7金币生成8平台9a核
22	22512 16252	   	274.57	橙橙1易伤1伤害2平台1暴击	1敌人爆炸2等级3易伤4时间5暴击67平台8伤害9a核
23	33433 16252	   	274.57	橙橙1易伤1伤害2平台1暴击	1暴击2金币生成3时间4易伤5最后敌人67平台8伤害9a核
