0	Index      	 *	Score 	Summary	Detail	
1	36262 12441	 * 	260.83	橙橙2伤害1易伤1时间1卖塔	1攻速2双倍矿3卖塔4加一57伤害68核9易伤a时间
2	36262 12442	 * 	247.18	橙橙2伤害1易伤1卖塔	1攻速2双倍矿3卖塔4加一57伤害68核9易伤a随机技能
3	36262 12444	 * 	247.18	橙橙2伤害1易伤1卖塔	1攻速2双倍矿3卖塔4加一57伤害68核9易伤a基地爆炸
4	36262 12445	 * 	247.18	橙橙2伤害1易伤1卖塔	1攻速2双倍矿3卖塔4加一57伤害68核9易伤a敌人爆炸
5	36262 12446	 * 	247.18	橙橙2伤害1易伤1卖塔	1攻速2a双倍矿3卖塔4加一57伤害68核9易伤
6	36262 12447	 * 	247.18	橙橙2伤害1易伤1卖塔	1攻速2双倍矿3卖塔4加一57伤害68核9易伤a随机矿
7	36262 12443	 * 	247.08	橙橙2伤害1易伤1卖塔1挖怪	1攻速2双倍矿3卖塔4加一57伤害68核9易伤a挖怪
8	36262 12448	 * 	247.08	橙橙2伤害1易伤1卖塔	1攻速2双倍矿3卖塔4加一57伤害68核9易伤a掉矿
9	22435 11252	 * 	244.64	橙橙2易伤1矿等	12基地爆炸3赏金塔4最后敌人56易伤7矿等8a核9寒冰对甲
10	13656 12312	 * 	242.39	橙橙1易伤1等级1时间	1暴雪减费2随机矿3赏金塔4易伤5赏金邻近6时间7a核8基础对甲9等级
11	11516 12312	   	242.29	橙橙1易伤1等级1时间	1暴雪减费2易伤3技能点4赏金塔5赏金邻近6时间7a核8加农对毒9等级
12	41516 12312	   	242.29	橙橙1易伤1等级1时间	1火球减费2易伤3技能点4赏金塔5赏金邻近6时间7a核8加农对毒9等级
13	36262 12431	 * 	241.19	橙橙2伤害2时间1卖塔	1攻速2双倍矿3卖塔4加一57伤害68核9a时间
14	51232 21784	 * 	239.30	橙4易伤2矿等1等级	1雷电2赏金塔3加一46矿等5679易伤6序列升级8等级a核
15	11134 61252	   	231.99	橙橙1易伤1矿等1时间	1暴雪减费2易伤34基地爆炸5时间6赏金塔7矿等8a核9寒冰对甲
16	15131 61252	   	231.99	橙橙1易伤1矿等1时间	1暴雪减费2时间34基地爆炸5易伤6赏金塔7矿等8a核9寒冰对甲
17	25131 61252	   	231.99	橙橙1易伤1矿等1时间	13基地爆炸2烈焰减费4时间5易伤6赏金塔7矿等8a核9寒冰对甲
18	11215 66222	 * 	231.19	橙3易伤2伤害1时间1暴击	1暴雪减费27a易伤3暴击4敌人爆炸5a低血量敌人6时间8核9a伤害a序列升级
19	11252 66222	   	231.19	橙3易伤2伤害1时间1暴击	1暴雪减费27a易伤3暴击4低血量敌人5a敌人爆炸6时间8核9a伤害a序列升级
20	21164 71442	   	231.19	橙3易伤2伤害1时间1暴击	1a基地爆炸2加一3双倍矿49a易伤5暴击6时间7a伤害8核a序列升级
21	21764 71442	   	231.19	橙3易伤2伤害1时间1暴击	1a基地爆炸2加一3立即金币49a易伤5暴击6时间7a伤害8核a序列升级
