0	Index      	 *	Score 	Summary	Detail	
1	23215 33441	 * 	264.61	橙橙1易伤1等级1伤害1矿等	1挖青2矿等3等级4雷电5赏金邻近6额外掉落7易伤8a核9伤害
2	53222 11534	 * 	262.65	橙橙2易伤1伤害1暴击	13易伤2暴击4毒液对毒5伤害6赏金塔7a核8防空对甲9雷电
3	52332 23143	   	262.65	橙橙1易伤1等级1伤害2攻速	1易伤2基地爆炸3等级4雷电58攻速6a核7赏金塔9伤害
4	55332 23143	   	262.55	橙橙1易伤1等级1伤害2攻速	1易伤2挖尘3等级4雷电58攻速6a核7赏金塔9伤害
5	52332 23243	   	256.04	橙橙1易伤1等级1伤害	1易伤2基地爆炸3等级48雷电5攻速6a核7赏金塔9伤害
6	55332 23243	   	255.94	橙橙1易伤1等级1伤害	1易伤2挖尘3等级48雷电5攻速6a核7赏金塔9伤害
7	52232 23143	   	252.05	橙橙1易伤1伤害1矿等2攻速	1易伤2基地爆炸3矿等4雷电58攻速6a核7赏金塔9伤害
8	55232 23143	   	251.95	橙橙1易伤1伤害1矿等2攻速	1易伤2挖尘3矿等4雷电58攻速6a核7赏金塔9伤害
9	23215 33461	   	251.48	橙橙1易伤1等级1矿等	1挖青2矿等3等级4雷电5赏金邻近6额外掉落7易伤8a核9攻速
10	21321 65362	   	249.63	橙橙1易伤1等级1暴击	1挖青2敌人爆炸3等级4最后敌人5金币生成69核7暴击8易伤a攻速
11	21322 65362	   	249.53	橙橙1易伤1等级1暴击	1挖青2敌人爆炸3等级4最后敌人5掉矿69核7暴击8易伤a攻速
12	52232 23243	   	245.44	橙橙1易伤1伤害1矿等	1易伤2基地爆炸3矿等48雷电5攻速6a核7赏金塔9伤害
13	55232 23243	   	245.34	橙橙1易伤1伤害1矿等	1易伤2挖尘3矿等48雷电5攻速6a核7赏金塔9伤害
14	23234 23126	 * 	244.93	橙2易伤3矿等2等级2攻速1全技能1技能	1挖青24a矿等34等级4a序列升级5a攻速6技能7核8全技能9a易伤
15	23234 33126	 * 	244.78	橙2易伤3等级3矿等1全技能	1挖青24a矿等34a等级4a序列升级5攻速6策反7核8全技能9a易伤
16	22326 63333	   	244.54	橙橙1易伤1等级1矿等	1挖青2低血量敌人3等级4最后敌人5矿等6a核7雷电8易伤9赏金塔
17	25326 63333	   	244.54	橙橙1易伤1等级1矿等	1挖青2基地爆炸3等级4最后敌人5矿等6a核7雷电8易伤9赏金塔
18	23145 23136	   	244.44	橙橙1易伤1等级1矿等	1挖青2矿等3头目4易伤5赏金塔6等级7策反8a核9加一
19	14322 33435	   	242.69	橙橙1易伤1等级1时间	1额外掉落2等级3随机技能4时间5平台6双倍矿7易伤8狙击对毒9a核
20	21321 65361	   	242.69	橙橙1易伤1等级1暴击	1挖青2敌人爆炸3等级4最后敌人5金币生成69核7暴击8易伤a平台
21	21321 65363	   	242.69	橙橙1易伤1等级1暴击	1挖青2敌人爆炸3等级4最后敌人5金币生成69核7暴击8易伤a随机矿
22	21322 65361	   	242.59	橙橙1易伤1等级1暴击	1挖青2敌人爆炸3等级4最后敌人5掉矿69核7暴击8易伤a平台
23	21322 65363	   	242.59	橙橙1易伤1等级1暴击	1挖青2敌人爆炸3等级4最后敌人5掉矿69核7暴击8易伤a随机矿
24	21221 65362	   	239.03	橙橙1易伤1矿等1暴击	1挖青2敌人爆炸3矿等4最后敌人5金币生成69核7暴击8易伤a攻速
25	21222 65362	   	238.93	橙橙1易伤1矿等1暴击	1挖青2敌人爆炸3矿等4最后敌人5掉矿69核7暴击8易伤a攻速
26	32122 64521	   	237.80	橙橙1等级1时间1全技能1技能	1基地爆炸2敌人爆炸3挖尘4等级5掉矿69核7时间8全技能a技能
27	23231 11324	 * 	237.79	橙2易伤3矿等2等级1伤害	1挖青248矿等34等级48序列升级58易伤68金币生成7双倍矿9核a伤害
28	14152 42213	 * 	237.75	橙2易伤2伤害1等级1导弹对毒1暴击	1额外掉落2等级3导弹对毒49伤害5基地爆炸6暴击78易伤a核
29	23231 31324	   	237.59	橙2易伤3矿等2等级1伤害	1挖青248矿等34等级48序列升级58易伤68掉矿7双倍矿9核a伤害
30	51215 11134	 * 	237.16	橙2易伤3伤害1等级1全技能	15易伤2寒冰对甲3金币生成45a伤害5序列升级6加农对壮7全技能8核9等级
31	23323 61416	 * 	236.94	橙2易伤2伤害2矿等1全技能1暴击	1挖青28矿等34立即金币5暴击68易伤78伤害8序列升级9全技能a核
32	26423 21361	   	236.45	橙橙1易伤1伤害1暴击	1挖青2随机技能3加农对甲4易伤5最后敌人69核7暴击8金币生成a伤害
33	32641 25222	   	236.45	橙橙1易伤1伤害1时间	16基地爆炸2敌人爆炸3赏金邻近4伤害5赏金塔78核9时间a易伤
34	34342 23143	   	236.45	橙橙1易伤1伤害2攻速	1基地爆炸2雷电3随机矿4易伤58攻速6a核7赏金塔9伤害
35	33321 62324	   	236.35	橙橙1易伤1伤害1暴击	1基地爆炸2暴击3伤害4雷电5机枪对头目6a核7加农对毒8双倍秒伤9易伤
36	33323 62324	   	236.35	橙橙1易伤1伤害1暴击	1基地爆炸2暴击3伤害4雷电5散射对甲6a核7加农对毒8双倍秒伤9易伤
37	34252 23143	   	236.35	橙橙1易伤1伤害2攻速	1基地爆炸2雷电3易伤4技能点58攻速6a核7赏金塔9伤害
38	34542 31133	   	235.98	橙橙1易伤1等级1技能	19基地爆炸2雷电3技能4易伤5攻速6等级7赏金邻近8a核
39	34542 33133	   	235.98	橙橙1易伤1等级1技能	19基地爆炸2雷电3技能4易伤5攻速6等级7赏金塔8a核
40	52335 23133	   	235.98	橙橙1易伤1等级1技能	1易伤29基地爆炸3等级4雷电5技能6a核7赏金塔8攻速
41	52335 23163	   	235.88	橙橙1易伤1等级1技能	1易伤2基地爆炸3等级4雷电5技能6a核7赏金塔8攻速9暴雪减费
