0	Index      	 *	Score 	Summary	Detail	
1	26123 15513	 * 	300.58	橙橙2易伤1伤害1暴击1攻速1策反	1核弹24易伤3全技能5暴击6策反7攻速8a核9伤害
2	33215 22135	 * 	291.05	橙橙1易伤2攻速1伤害1矿等	1敌人爆炸28攻速3伤害4平台5赏金邻近69核7易伤a矿等
3	21215 22535	 * 	290.74	橙橙2伤害1易伤1矿等	1核弹2时间38伤害4平台5赏金邻近69核7易伤a矿等
4	26123 12513	 * 	286.93	橙橙2易伤1伤害1暴击1策反	1核弹24易伤3全技能5暴击6策反7技能8a核9伤害
5	26265 22131	 * 	283.18	橙橙2易伤1伤害	1核弹27易伤3平台4伤害5赏金塔69核8基地爆炸a全技能
6	26415 22131	   	283.18	橙橙2易伤1伤害	1核弹27易伤3伤害4平台5赏金塔69核8基地爆炸a全技能
7	33215 22131	   	283.18	橙橙1易伤2攻速1伤害	1敌人爆炸28攻速3伤害4平台5赏金邻近69核7易伤a全技能
8	21215 22531	   	282.87	橙橙2伤害1易伤	1核弹2时间38伤害4平台5赏金邻近69核7易伤a全技能
9	26265 22132	   	281.83	橙橙2易伤1伤害	1核弹27易伤3平台4伤害5赏金塔69核8基地爆炸a时间
10	26415 22132	   	281.83	橙橙2易伤1伤害	1核弹27易伤3伤害4平台5赏金塔69核8基地爆炸a时间
11	33215 22132	   	281.83	橙橙1易伤2攻速1伤害	1敌人爆炸28攻速3伤害4平台5赏金邻近69核7易伤a时间
12	21215 22532	   	279.76	橙橙2伤害1易伤2时间	1核弹2a时间38伤害4平台5赏金邻近69核7易伤
13	21215 22435	   	279.71	橙橙1易伤1伤害1矿等2时间	1核弹28时间3伤害4平台5赏金邻近69核7易伤a矿等
14	33536 43122	   	277.51	橙橙2易伤1伤害1攻速	1敌人爆炸2攻速3赏金邻近48易伤5双倍秒伤69核7金币生成a伤害
15	26265 22133	   	273.52	橙橙2易伤1伤害	1核弹27易伤3平台4伤害5赏金塔69核8基地爆炸a敌人爆炸
16	26415 22133	   	273.52	橙橙2易伤1伤害	1核弹27易伤3伤害4平台5赏金塔69核8基地爆炸a敌人爆炸
17	33215 22133	   	273.52	橙橙1易伤2攻速1伤害	1敌人爆炸28攻速3伤害4平台5赏金邻近69核7易伤a基地爆炸
18	33215 22134	   	273.52	橙橙1易伤2攻速1伤害	1敌人爆炸28攻速3伤害4平台5赏金邻近69核7易伤a雷电
19	21215 22534	   	273.21	橙橙2伤害1易伤	1核弹2时间38伤害4平台5赏金邻近69核7易伤a雷电
20	21215 22536	   	273.21	橙橙2伤害1易伤	1核弹2时间38伤害4平台5赏金邻近69核7易伤a基地爆炸
21	21215 22533	   	273.11	橙橙2伤害1易伤	1核弹2时间38伤害4平台5赏金邻近69核7易伤a挖尘
22	26125 12513	   	273.03	橙橙2易伤1伤害1策反1卖塔	1核弹24易伤3全技能5卖塔6策反7技能8a核9伤害
23	21536 43122	   	272.07	橙橙2易伤1伤害	1核弹2时间3赏金邻近48易伤5双倍秒伤69核7金币生成a伤害
24	21215 22431	   	271.83	橙橙1易伤1伤害2时间	1核弹28时间3伤害4平台5赏金邻近69核7易伤a全技能
