0	Index      	 *	Score 	Summary	Detail	
1	36121 42522	 * 	296.87	橙橙3易伤1矿等1攻速1卖塔	1卖塔2矿等3挖尘4攻速568易伤7赏金塔9a核
2	32151 42522	 * 	285.75	橙橙3易伤1伤害1卖塔	1卖塔2挖尘3金币生成4伤害568易伤7赏金塔9a核
3	32431 42522	 * 	285.65	橙橙3易伤1伤害1卖塔	1卖塔2挖尘3伤害4掉矿568易伤7赏金塔9a核
4	32431 62522	 * 	285.65	橙橙3易伤1伤害1卖塔	1卖塔26挖尘3伤害4掉矿568易伤6序列升级7赏金塔9a核
5	11742 47345	 * 	284.64	橙橙2易伤1矿等1攻速	1赏金邻近2加一36易伤4攻速5矿等7平台8雷电9a核
6	26121 42522	 * 	279.34	橙橙3易伤1攻速1卖塔	1金币生成2卖塔3挖尘4攻速568易伤7赏金塔9a核
7	32121 42522	 * 	279.34	橙橙3易伤1攻速1卖塔	1卖塔2挖尘3金币生成4攻速568易伤7赏金塔9a核
8	34121 42522	 * 	279.34	橙橙3易伤1攻速1卖塔	1卖塔2等级3挖尘4攻速568易伤7赏金塔9a核
9	32521 42522	 * 	279.24	橙橙3易伤1攻速1卖塔	1卖塔2挖尘3掉矿4攻速568易伤7赏金塔9a核
10	32521 62522	 * 	279.24	橙橙3易伤1攻速1卖塔	1卖塔26挖尘3掉矿4攻速568易伤6序列升级7赏金塔9a核
11	11382 47345	   	270.99	橙橙2易伤1矿等	1赏金邻近2加一3技能46易伤5矿等7平台8雷电9a核
12	52213 42222	   	270.73	橙橙1易伤1矿等1暴击1攻速	1低血量敌人2易伤3攻速4最后敌人5矿等6挖尘7暴击8时间9a核
13	32464 32222	 * 	269.70	橙橙1易伤1伤害1矿等2时间1卖塔	1卖塔26挖尘3伤害4易伤56时间6序列升级7矿等8双倍秒伤9a核
