0	Index      	 *	Score 	Summary	Detail	
1	36162 52133	 * 	291.21	橙橙2易伤2伤害1平台	16伤害2技能3平台4赏金塔57易伤8a核9赏金邻近
2	32316 35114	   	281.65	橙橙2易伤2伤害	1a伤害2双倍矿3掉矿4a雷电5赏金塔6a易伤79核8技能a序列升级
3	11438 23582	   	279.30	橙橙2易伤1矿等1平台	1加一2随机矿3技能4矿等5时间68核7平台9a易伤
4	11742 63534	 * 	276.05	紫橙2易伤2伤害1暴击1平台	1加一2随机矿38核49易伤59金币生成69伤害7平台9序列升级a暴击
5	17384 16421	 * 	275.60	橙橙3易伤1平台	1加一26雷电346易伤5双倍秒伤6序列升级79核8平台a额外掉落
6	17384 16424	   	275.60	橙橙3易伤1平台	1加一26雷电346易伤5双倍秒伤6序列升级79核8平台a金币生成
7	17384 16422	   	275.50	橙橙3易伤1平台1挖怪	1加一26雷电346易伤5双倍秒伤6序列升级79核8平台a挖怪
8	17384 16423	   	275.50	橙橙3易伤1平台	1加一26雷电346易伤5双倍秒伤6序列升级79核8平台a加农对壮
9	17384 16312	   	274.24	橙橙3易伤	1加一26雷电346易伤5双倍秒伤6序列升级7a核8赏金塔9时间
10	36112 11133	   	273.62	橙橙2易伤1伤害1平台	1伤害2技能3平台46低血量敌人56易伤6序列升级7双倍秒伤8a核9赏金邻近
11	36142 11133	   	273.62	橙橙2易伤1伤害1平台	1伤害2技能3平台46敌人爆炸56易伤6序列升级7双倍秒伤8a核9赏金邻近
12	31241 23582	   	273.52	橙橙2易伤1伤害1平台	1伤害2基地爆炸3双倍矿4加一5低血量敌人68核7平台9a易伤
13	36112 31133	   	273.52	橙橙2易伤1伤害1平台	1伤害2技能3平台4低血量敌人56易伤7双倍秒伤8a核9赏金邻近
14	11742 23537	 * 	273.00	紫橙3易伤2攻速1平台	1加一2随机矿38核49a易伤59金币生成69攻速7平台9序列升级
15	11431 23582	   	270.99	橙橙2易伤1矿等1平台	1加一2随机矿3技能4矿等5低血量敌人68核7平台9a易伤
16	11432 23582	   	270.99	橙橙2易伤1矿等1平台	1加一2随机矿3技能4矿等5最后敌人68核7平台9a易伤
17	17344 16427	   	270.99	橙橙2易伤1矿等1平台	1加一26雷电36易伤4双倍矿5双倍秒伤6序列升级79核8平台a矿等
18	17344 16426	   	267.11	橙橙2易伤1暴击1平台	1加一26雷电36易伤4双倍矿5双倍秒伤6序列升级79核8平台a暴击
19	17384 16242	   	265.94	橙橙3易伤	1加一26雷电346易伤5双倍秒伤6序列升级7a核8敌人爆炸9赏金塔
20	17384 16342	   	265.94	橙橙3易伤	1加一26雷电346易伤5双倍秒伤6序列升级7a核8赏金塔9敌人爆炸
21	11431 23586	   	264.85	橙橙1易伤1伤害1矿等1平台	1加一2随机矿3技能4矿等5低血量敌人68核7平台9易伤a伤害
22	11432 23586	   	264.85	橙橙1易伤1伤害1矿等1平台	1加一2随机矿3技能4矿等5最后敌人68核7平台9易伤a伤害
23	12132 64245	 * 	264.80	橙橙3攻速1易伤1全技能	1加一2技能345攻速6全技能7a核8金币生成9易伤
24	11742 23534	   	264.51	紫橙2易伤2攻速1暴击1平台	1加一2随机矿38核49易伤59金币生成69攻速7平台9序列升级a暴击
25	15142 45283	   	263.15	橙橙1易伤1伤害1矿等1卖塔	1加一2矿等3时间4卖塔5易伤6掉矿79核8低血量敌人a伤害
26	11742 63531	   	262.40	紫橙2易伤2伤害1平台	1加一2随机矿38核49易伤59金币生成69伤害7平台9序列升级a等级
27	11742 63532	   	262.40	紫橙2易伤2伤害1平台	1加一2随机矿38核49易伤59金币生成69伤害7平台9序列升级a雷电
28	11742 63533	   	262.40	紫橙2易伤2伤害1平台	1加一2随机矿38核49易伤59金币生成69伤害7平台9序列升级a最后敌人
29	11764 33312	 * 	262.10	紫橙2易伤3攻速1全技能	1加一2随机矿3a核4全技能569攻速79加农对甲89易伤9序列升级
30	16248 12133	   	261.76	橙橙2易伤1平台	1加一2低血量敌人3敌人爆炸46易伤5平台7时间8a核9赏金邻近
31	16248 18133	   	261.76	橙橙2易伤1平台	1加一2低血量敌人3敌人爆炸46易伤5平台7a核8时间9赏金邻近
32	11428 23582	   	261.66	橙橙2易伤1平台	1加一2随机矿3技能4掉矿5时间68核7平台9a易伤
33	14648 12133	   	261.66	橙橙2易伤1平台	1加一2挖尘3低血量敌人46易伤5平台7时间8a核9赏金邻近
34	14648 18133	   	261.66	橙橙2易伤1平台	1加一2挖尘3低血量敌人46易伤5平台7a核8时间9赏金邻近
35	14848 12133	   	261.66	橙橙2易伤1平台	1加一2挖尘3最后敌人46易伤5平台7时间8a核9赏金邻近
36	14848 18133	   	261.66	橙橙2易伤1平台	1加一2挖尘3最后敌人46易伤5平台7a核8时间9赏金邻近
37	16548 12133	   	261.66	橙橙2易伤1平台	1加一2低血量敌人3挖尘46易伤5平台7时间8a核9赏金邻近
38	16625 12133	   	261.66	橙橙2易伤1平台	1加一2低血量敌人3平台4挖尘56易伤7时间8a核9赏金邻近
39	18625 12133	   	261.66	橙橙2易伤1平台	1加一2基地爆炸3平台4挖尘56易伤7时间8a核9赏金邻近
40	14514 23564	   	261.32	橙橙2易伤1平台1策反	1加一23挖尘4a易伤5策反68核7平台9时间
