0	Index      	 *	Score 	Summary	Detail	
1	13334 35152	 * 	310.08	DCR|3LIT|2MLV|2VULN|1DMG	19VULN|2LWND|346LIT|59CANARM|7RCR|89MLV|9BPWR|aDMG
2	11131 46343	 * 	299.75	DCR|2LIT|3VULN|1FLTARM|1MLV	16aVULN|2TLV|3LHND|46LIT|5RMIN|6BPWR|7MLV|8FLTARM|9RCR
3	13333 54231	 * 	298.33	DCR|3LIT|2VULN|1FLTARM|2CDMG|1ASPD	17VULN|25LWND|347LIT|67CDMG|7BPWR|8RCR|9FLTARM|aASPD
4	23363 54231	   	298.23	DCR|3LIT|2VULN|1FLTARM|2CDMG|1ASPD	1LEGI|2RCVC|347LIT|57VULN|67CDMG|7BPWR|8RCR|9FLTARM|aASPD
5	24113 54231	   	298.23	DCR|3LIT|2VULN|1FLTARM|2CDMG|1ASPD	1LEGI|237LIT|4DMSP|57VULN|67CDMG|7BPWR|8RCR|9FLTARM|aASPD
6	13331 34312	   	295.62	DCR|2LIT|3VULN|1MLV|1DMG|1CDMG	17aVULN|2LWND|34LIT|5DMG|6CDMG|8MLV|9RCR
7	33432 13265	 * 	294.82	DCR|2LIT|2VULN|3ASPD|2DMG|1CDMG	168ASPD|28LIT|3LSRREG|45VULN|78DMG|8BPWR|9CDMG|aRCR
8	15441 32112	 * 	291.91	DCR|4VULN|1LIT|1MLV|1DMG|1CDMG	128aVULN|2BPWR|3LIT|4MLV|5LWND|6CDMG|7DMG|9RCR
9	15663 32112	   	291.91	DCR|4VULN|1LIT|1MLV|1DMG|1CDMG	128aVULN|2BPWR|3MLV|4LWND|5LIT|6CDMG|7DMG|9RCR
10	13331 32312	 * 	291.07	DCR|2LIT|2VULN|2DMG|1MLV|1CDMG	1aVULN|2LWND|34LIT|57DMG|6CDMG|8MLV|9RCR
11	33255 34312	   	289.20	DCR|2LIT|3VULN|1MLV|1CDMG|1ASPD	1ASPD|24LIT|3LWND|57aVULN|6CDMG|8MLV|9RCR
12	35342 32114	 * 	286.15	DCR|1LIT|2VULN|2DMG|1MLV|2ASPD	13ASPD|23DMG|3BPWR|4AART|5LIT|6RCR|7CGEN|8aVULN|9MLV
13	35342 33114	   	286.05	DCR|1LIT|2VULN|2DMG|1MLV|2ASPD	13ASPD|23DMG|3BPWR|4AART|5LIT|6RCR|7ERES|8aVULN|9MLV
14	15434 13312	   	285.50	DCR|4VULN|1LIT|1MLV|1CDMG|1ASPD	124aVULN|2BPWR|3LIT|5CDMG|6LWND|7ASPD|8MLV|9RCR
15	15421 34312	   	285.50	DCR|4VULN|1LIT|1MLV|1CDMG|1ASPD	127aVULN|2BPWR|3LIT|4ASPD|5LWND|6CDMG|8MLV|9RCR
16	24131 63126	 * 	284.86	DCR|3LIT|3VULN|2DMG	1LEGI|237LIT|47aVULN|57DMG|6AART|7BPWR|8LHND|9RCR
17	26331 63126	   	284.86	DCR|3LIT|3VULN|2DMG	1LEGI|27aVULN|347LIT|57DMG|6AART|7BPWR|8LHND|9RCR
18	13333 54232	   	284.68	DCR|3LIT|2VULN|1FLTARM|2CDMG	17VULN|25LWND|347LIT|67CDMG|7BPWR|8RCR|9FLTARM|aBEXP
19	13333 54233	   	284.68	DCR|3LIT|2VULN|1FLTARM|2CDMG	17VULN|25LWND|347LIT|67CDMG|7BPWR|8RCR|9FLTARM|aCGEN
20	13333 54234	   	284.68	DCR|3LIT|2VULN|1FLTARM|2CDMG	17VULN|25LWND|347LIT|67CDMG|7BPWR|8RCR|9FLTARM|aRMIN
21	13333 54235	   	284.68	DCR|3LIT|2VULN|1FLTARM|2CDMG	17VULN|25LWND|347LIT|67CDMG|7BPWR|8RCR|9FLTARM|aLHND
22	23363 54232	   	284.58	DCR|3LIT|2VULN|1FLTARM|2CDMG	1LEGI|2RCVC|347LIT|57VULN|67CDMG|7BPWR|8RCR|9FLTARM|aBEXP
23	23363 54233	   	284.58	DCR|3LIT|2VULN|1FLTARM|2CDMG	1LEGI|2RCVC|347LIT|57VULN|67CDMG|7BPWR|8RCR|9FLTARM|aCGEN
24	24113 54232	   	284.58	DCR|3LIT|2VULN|1FLTARM|2CDMG	1LEGI|237LIT|4DMSP|57VULN|67CDMG|7BPWR|8RCR|9FLTARM|aBEXP
25	24113 54233	   	284.58	DCR|3LIT|2VULN|1FLTARM|2CDMG	1LEGI|237LIT|4DMSP|57VULN|67CDMG|7BPWR|8RCR|9FLTARM|aCGEN
