0	Index      	 *	Score 	Summary	Detail	
1	45113 33161	 * 	307.96	DCR|2LIT|2MLV|2VULN|2DMG	1BLAICY|2aMLV|39VULN|4LHND|5aLIT|6BEXP|7aDMG|8RCR|aBPWR
2	45113 33111	 * 	294.60	DCR|3LIT|2MLV|2DMG|1VULN	1BLAICY|2aMLV|3VULN|4LHND|59aLIT|6BEXP|7aDMG|8RCR|aBPWR
3	45153 33111	   	294.60	DCR|3LIT|2MLV|2DMG|1VULN	1BLAICY|2aMLV|3VULN|4LWND|59aLIT|6BEXP|7aDMG|8RCR|aBPWR
4	45113 13111	   	294.45	DCR|3LIT|2MLV|2DMG|1VULN	1BLAICY|2aMLV|3VULN|4LHND|59aLIT|6DUST|7aDMG|8RCR|aBPWR
5	45153 13111	   	294.45	DCR|3LIT|2MLV|2DMG|1VULN	1BLAICY|2aMLV|3VULN|4LWND|59aLIT|6DUST|7aDMG|8RCR|aBPWR
6	12666 21321	 * 	289.29	DCR|2LIT|2VULN|1MLV|3CDMG|1DMG|1SELL	129CDMG|3SELL|46VULN|56LIT|6BPWR|7RCR|8MLV|aDMG
7	33331 33262	 * 	286.45	DCR|1LIT|2VULN|2DMG|1FLTARM|1MLV	1BEXP|23VULN|4MLV|5ERES|68DMG|7FLTARM|9LIT|aRCR
8	12666 21311	 * 	285.32	DCR|2LIT|3VULN|1MLV|2CDMG|1SELL	12CDMG|3SELL|469VULN|56LIT|6BPWR|7RCR|8MLV|aFEWX
9	12666 21313	 * 	285.32	DCR|2LIT|3VULN|1MLV|2CDMG|1SELL	12CDMG|3SELL|469VULN|56LIT|6BPWR|7RCR|8MLV|aCRUSTR
10	12666 21312	 * 	285.22	DCR|2LIT|3VULN|1MLV|2CDMG|1SELL	12CDMG|3SELL|469VULN|56LIT|6BPWR|7RCR|8MLV|aERES
11	33315 21412	 * 	283.40	DCR|2LIT|3VULN|1FLTARM|2ZMB	18BEXP|238VULN|4LWND|5FLTARM|6RCR|78ZMB|8BPWR|9aLIT
12	33365 21412	   	283.40	DCR|2LIT|3VULN|1FLTARM|2ZMB	18BEXP|238VULN|4LHND|5FLTARM|6RCR|78ZMB|8BPWR|9aLIT
13	33345 21412	   	283.30	DCR|2LIT|3VULN|1FLTARM|2ZMB	18BEXP|238VULN|4DUR|5FLTARM|6RCR|78ZMB|8BPWR|9aLIT
14	63611 33124	 * 	283.26	DCR|3LIT|3VULN|2DMG	124LWND|3RCVC|579VULN|679LIT|79BPWR|89DMG|aRCR
15	32256 21353	   	281.22	DCR|2LIT|2VULN|2DMG|1MLV	1BEXP|2DMSP|3aLIT|4CGEN|5MLV|6aVULN|7RCR|8LWND|9aDMG|aBPWR
16	34243 34323	 * 	280.13	DCR|3LIT|2MLV|2VULN	14BEXP|2RPLT|34aLIT|4BPWR|59VULN|68MLV|7RCR
17	33325 21412	 * 	280.08	DCR|2LIT|2FLTARM|2VULN|2ZMB	18BEXP|23VULN|4LEGI|58FLTARM|6RCR|78ZMB|8BPWR|9aLIT
18	33315 21112	   	279.90	DCR|2LIT|3VULN|1FLTARM	1BEXP|238VULN|4LWND|5FLTARM|6RCR|7ZMB|9aLIT
19	33365 21112	   	279.90	DCR|2LIT|3VULN|1FLTARM	1BEXP|238VULN|4LHND|5FLTARM|6RCR|7ZMB|9aLIT
20	33325 21112	   	279.80	DCR|2LIT|3VULN|1FLTARM	1BEXP|238VULN|4LEGI|5FLTARM|6RCR|7ZMB|9aLIT
21	33345 21112	   	279.80	DCR|2LIT|3VULN|1FLTARM	1BEXP|238VULN|4DUR|5FLTARM|6RCR|7ZMB|9aLIT
22	45113 63111	   	279.12	DCR|2LIT|2VULN|2DMG|1MLV	1aBLAICY|2MLV|3aVULN|4LHND|59LIT|6LEGI|7aDMG|8RCR|aBPWR
23	33334 34313	 * 	279.05	DCR|2LIT|3VULN|1MLV|1CDMG	1BEXP|238VULN|4MLV|5MBVNT|6aLIT|7RCR|9CDMG
24	33334 34423	   	279.05	DCR|2LIT|3VULN|1MLV|1CDMG	1BEXP|239VULN|4MLV|5MBVNT|6aLIT|7RCR|8CDMG
25	33315 24323	 * 	278.24	DCR|3VULN|1LIT|1FLTARM|1MLV	17BEXP|238VULN|4LWND|5FLTARM|6RCR|9LIT|aMLV
26	33325 24523	   	278.14	DCR|3VULN|1LIT|1FLTARM|1MLV	17BEXP|238VULN|4LEGI|5FLTARM|6RCR|9LIT|aMLV
