0	Index      	 *	Score 	Summary	Detail	
1	52141 34828	 * 	310.49	DCR|3LIT|2MLV|3VULN	19aVULN|246LIT|3MBVNT|56MLV|6BPWR|7RPLT|8RCR
2	61221 43243	 * 	309.10	DCR|2LIT|2MLV|3DMG|3ASPD|2CDMG	127ASPD|27aBPWR|37aDMG|4aCDMG|5FEWX|67LIT|8aMLV|9RCR
3	52141 34826	   	307.38	DCR|3LIT|2MLV|2VULN|1DMG	19VULN|246LIT|3MBVNT|56MLV|6BPWR|7RPLT|8RCR|aDMG
4	52182 33425	   	298.25	DCR|3LIT|3VULN|1MLV|1ASPD	178VULN|278LIT|3MBVNT|4AART|578ERES|6RCR|78BPWR|9ASPD|aMLV
5	52131 35543	   	298.15	DCR|2LIT|2MLV|3VULN|1ASPD	14aVULN|26LIT|3MBVNT|56MLV|6BPWR|7ASPD|8RCR|9FEWX
6	52131 35513	   	298.00	DCR|2LIT|2MLV|3VULN|1ASPD	14aVULN|26LIT|3MBVNT|56MLV|6BPWR|7ASPD|8RCR|9DUST
7	52131 35542	   	295.03	DCR|2LIT|2MLV|2VULN|1DMG|1ASPD	14VULN|26LIT|3MBVNT|56MLV|6BPWR|7ASPD|8RCR|9FEWX|aDMG
8	52131 34543	   	294.95	DCR|2LIT|2MLV|3VULN	14aVULN|26LIT|3MBVNT|56MLV|6BPWR|7ZMB|8RCR|9FEWX
9	52131 34583	   	294.95	DCR|2LIT|2MLV|3VULN	14aVULN|26LIT|3MBVNT|56MLV|6BPWR|7ZMB|8RCR|9LWND
10	52131 35512	   	294.88	DCR|2LIT|2MLV|2VULN|1DMG|1ASPD	14VULN|26LIT|3MBVNT|56MLV|6BPWR|7ASPD|8RCR|9DUST|aDMG
11	52131 34513	   	294.80	DCR|2LIT|2MLV|3VULN	14aVULN|26LIT|3MBVNT|56MLV|6BPWR|7ZMB|8RCR|9DUST
12	52131 34535	   	291.84	DCR|2LIT|2MLV|2VULN|1NUKE	14VULN|26LIT|3MBVNT|56MLV|6BPWR|7ZMB|8RCR|9MGNSTR|aNUKE
13	52131 34542	   	291.84	DCR|2LIT|2MLV|2VULN|1DMG	14VULN|26LIT|3MBVNT|56MLV|6BPWR|7ZMB|8RCR|9FEWX|aDMG
14	52131 34582	   	291.84	DCR|2LIT|2MLV|2VULN|1DMG	14VULN|26LIT|3MBVNT|56MLV|6BPWR|7ZMB|8RCR|9LWND|aDMG
15	52131 34512	   	291.69	DCR|2LIT|2MLV|2VULN|1DMG	14VULN|26LIT|3MBVNT|56MLV|6BPWR|7ZMB|8RCR|9DUST|aDMG
16	52141 33427	   	290.88	DCR|3LIT|2MLV|2VULN|1ASPD	1aVULN|246LIT|3MBVNT|56MLV|6BPWR|7ASPD|8RCR|9FEWX
17	52141 33431	   	290.73	DCR|3LIT|2MLV|2VULN|1ASPD	1aVULN|246LIT|3MBVNT|56MLV|6BPWR|7ASPD|8RCR|9ERES
18	52182 37424	   	289.75	DCR|2LIT|2MLV|3VULN	178VULN|28LIT|3MBVNT|4AART|58ERES|6RCR|8BPWR|9aMLV
19	52131 34536	   	287.69	DCR|3LIT|2MLV|2VULN	14VULN|26aLIT|3MBVNT|56MLV|6BPWR|7ZMB|8RCR|9MGNSTR
20	52131 34546	   	287.69	DCR|3LIT|2MLV|2VULN	14VULN|26aLIT|3MBVNT|56MLV|6BPWR|7ZMB|8RCR|9FEWX
21	52131 34516	   	287.54	DCR|3LIT|2MLV|2VULN	14VULN|26aLIT|3MBVNT|56MLV|6BPWR|7ZMB|8RCR|9DUST
22	52182 37421	   	287.27	DCR|2LIT|3VULN|1MLV|1DMG	178VULN|28LIT|3MBVNT|4AART|58ERES|6RCR|8BPWR|9MLV|aDMG
23	52182 33423	   	286.22	DCR|3LIT|3VULN|1NUKE|1ASPD	178VULN|278LIT|3MBVNT|4AART|578ERES|6RCR|78BPWR|9ASPD|aNUKE
24	31231 25613	   	285.57	DCR|2LIT|3VULN|1MLV|2CDMG	1RCVC|25aVULN|3LHND|4aCDMG|6MLV|7RCR|8BASARM|9aLIT|aBPWR
25	51231 25613	   	285.57	DCR|2LIT|3VULN|1MLV|2CDMG	15aVULN|2DMSP|3LHND|4aCDMG|6MLV|7RCR|8BASARM|9aLIT|aBPWR
26	52141 33274	   	285.48	DCR|3LIT|2MLV|2VULN|1ASPD	19VULN|246LIT|3MBVNT|56MLV|6BPWR|7ASPD|8RPLT|aRCR
27	52131 31543	   	284.40	DCR|2LIT|2MLV|3VULN	14aVULN|26LIT|3MBVNT|56MLV|6BPWR|7NUKE|8RCR|9FEWX
