0	Index      	 *	Score 	Summary	Detail	
1	26212 43316	 * 	334.29	DCR|2LIT|2MLV|2VULN|3DMG	1aMLV|2CGEN|36aDMG|45LIT|7RCR|8BEXP|9aVULN|aBPWR
2	21621 22221	 * 	329.64	DCR|3MLV|3VULN|1LIT|2DMG|1ASPD	129MLV|359VULN|4LWND|6RCR|7ASPD|89DMG|9BPWR|aLIT
3	21661 12126	 * 	325.46	DCR|2LIT|3MLV|3VULN|1DMG	12aMLV|39aVULN|4RPLT|5DMG|6RCR|7SPLREG|8aLIT|aBPWR
4	21621 23233	 * 	324.26	DCR|2LIT|3MLV|4VULN	129MLV|359aVULN|4LWND|6RCR|7LHND|89LIT|9BPWR
5	21651 23233	   	324.26	DCR|2LIT|3MLV|4VULN	129MLV|359aVULN|4FEWX|6RCR|7LHND|89LIT|9BPWR
6	21651 25233	   	324.26	DCR|2LIT|3MLV|4VULN	129MLV|359aVULN|4FEWX|6RCR|7LWND|89LIT|9BPWR
7	25611 24231	   	324.11	DCR|2LIT|3MLV|4VULN	19aMLV|2LHND|3459VULN|6RCR|7LEGI|89LIT|9BPWR
8	21621 23234	 * 	321.46	DCR|3LIT|3MLV|3VULN	129MLV|359VULN|4LWND|6RCR|7LHND|89aLIT|9BPWR
9	21651 23234	   	321.46	DCR|3LIT|3MLV|3VULN	129MLV|359VULN|4FEWX|6RCR|7LHND|89aLIT|9BPWR
10	22661 12126	   	320.19	DCR|2LIT|2MLV|3VULN|1DMG	1aMLV|2DMSP|39aVULN|4RPLT|5DMG|6RCR|7SPLREG|8aLIT|aBPWR
11	23212 62113	   	320.04	DCR|2LIT|2MLV|3VULN|1DMG	17MLV|2TLV|3DMG|45LIT|6RCR|89aVULN
12	25611 24232	   	318.84	DCR|2LIT|4VULN|2MLV	19MLV|2LHND|3459VULN|6RCR|7LEGI|89LIT|9BPWR|aRPLT
13	25611 24233	   	318.84	DCR|2LIT|4VULN|2MLV	19MLV|2LHND|3459VULN|6RCR|7LEGI|89LIT|9BPWR|aRCVC
14	26212 62316	 * 	318.78	DCR|2LIT|3MLV|2VULN|2DMG	17aMLV|2CGEN|3aDMG|45LIT|6RCR|8BEXP|9aVULN|aBPWR
15	25611 24222	   	318.48	DCR|2LIT|4VULN|2MLV|1SELL	1aMLV|2LHND|345aVULN|6RCR|7LEGI|8aLIT|9SELL|aBPWR
16	23212 23113	   	317.34	DCR|2LIT|2MLV|3VULN|1DMG	16MLV|2TLV|3DMG|45LIT|7RCR|89aVULN
17	26212 23316	   	316.08	DCR|2LIT|3MLV|2VULN|2DMG	16aMLV|2CGEN|3aDMG|45LIT|7RCR|8BEXP|9aVULN|aBPWR
18	44316 23231	   	313.51	DCR|2LIT|2MLV|2VULN|2DMG	1RMIN|2DMSP|39DMG|49VULN|5aMLV|6RCR|7LHND|89LIT|9BPWR
19	23212 63453	   	313.21	DCR|2LIT|2MLV|2VULN|2DMG	19MLV|2TLV|38DMG|45LIT|6RCR|7aVULN
20	26212 62123	   	313.21	DCR|2LIT|2MLV|2VULN|2DMG	17MLV|2CGEN|39DMG|45LIT|6RCR|8aVULN
21	21621 23231	   	311.72	DCR|2LIT|3MLV|3VULN|1AART	129MLV|359VULN|4LWND|6RCR|7LHND|89LIT|9BPWR|aAART
22	21651 23231	   	311.72	DCR|2LIT|3MLV|3VULN|1AART	129MLV|359VULN|4FEWX|6RCR|7LHND|89LIT|9BPWR|aAART
23	21651 25231	   	311.72	DCR|2LIT|3MLV|3VULN|1AART	129MLV|359VULN|4FEWX|6RCR|7LWND|89LIT|9BPWR|aAART
24	23212 43153	   	310.51	DCR|2LIT|2MLV|2VULN|2DMG	19MLV|2TLV|36DMG|45LIT|7RCR|8aVULN
25	26212 23123	   	310.51	DCR|2LIT|2MLV|2VULN|2DMG	16MLV|2CGEN|39DMG|45LIT|7RCR|8aVULN
26	26212 43153	   	310.51	DCR|2LIT|2MLV|2VULN|2DMG	19MLV|2CGEN|36DMG|45LIT|7RCR|8aVULN
27	21226 13113	   	309.41	DCR|2MLV|3VULN|1LIT|2DMG	12MLV|34DMG|5TLV|6LIT|7RCR|89aVULN
28	23212 63413	 * 	304.95	DCR|2LIT|3VULN|2DMG|1MLV	1MLV|2TLV|38DMG|45LIT|6RCR|79aVULN
