0	Index      	 *	Score 	Summary	Detail	
1	55321 11321	 * 	310.84	DCR|3LIT|4VULN|2ASPD|1DMG	1568VULN|2DMG|38ASPD|4RPLT|789LIT|8BPWR|aRCR
2	55333 31316	 * 	310.47	DCR|2LIT|3VULN|3ASPD|2DMG|1SELL	18aVULN|24DMG|348ASPD|48BPWR|5SELL|6RCR|78LIT|9LHND
3	55322 11321	 * 	309.26	DCR|3LIT|3VULN|2DMG|2ASPD	168VULN|25DMG|38ASPD|4RPLT|789LIT|8BPWR|aRCR
4	55221 13263	 * 	306.86	DCR|3LIT|2VULN|2DMG|1MLV|1CDMG	17VULN|25DMG|357LIT|4RMIN|57BPWR|67FRZICY|8MLV|9CDMG|aRCR
5	55221 23263	   	306.66	DCR|3LIT|2VULN|2DMG|1MLV|1CDMG	17VULN|25DMG|357LIT|4RMIN|57BPWR|67LSRHEA|8MLV|9CDMG|aRCR
6	55333 31321	 * 	303.98	DCR|2LIT|2VULN|3DMG|3ASPD|1SELL	18VULN|24aDMG|348ASPD|48BPWR|5SELL|6RCR|78LIT|9RMIN
7	55333 31331	 * 	303.88	DCR|2LIT|2VULN|3DMG|3ASPD|1SELL	18VULN|24aDMG|348ASPD|48BPWR|5SELL|6RCR|78LIT|9ERES
8	55333 31325	 * 	295.27	DCR|2LIT|2VULN|3ASPD|2DMG|1SELL	18VULN|24DMG|348ASPD|48BPWR|5SELL|6RCR|78LIT|9RMIN|aZMB
9	55333 31335	 * 	295.17	DCR|2LIT|2VULN|3ASPD|2DMG|1SELL	18VULN|24DMG|348ASPD|48BPWR|5SELL|6RCR|78LIT|9ERES|aZMB
10	55363 31311	 * 	292.78	DCR|2LIT|3VULN|3ASPD|1DMG|1SELL	189VULN|2DMG|38aASPD|4RCVC|5SELL|6RCR|78LIT|8BPWR
11	55333 32413	 * 	292.54	DCR|2LIT|2VULN|3DMG|2ASPD|1SELL	1aVULN|24aDMG|34ASPD|4aBPWR|5SELL|6RCR|7BEXP|8BELT|9aLIT
12	55323 21133	 * 	290.98	DCR|2LIT|2VULN|3DMG|2ASPD	1aVULN|25aDMG|35ASPD|4RPLT|5aBPWR|6LHND|7RCR|8aLIT|9BELT
13	15541 33112	 * 	288.63	DCR|3VULN|1LIT|2DMG|1MLV|1CDMG	1CDMG|24DMG|346VULN|4BPWR|5CGEN|7LIT|8MLV|9LHND|aRCR
14	15543 13112	   	288.53	DCR|3VULN|1LIT|2DMG|1MLV|1CDMG	1CDMG|24DMG|345VULN|4BPWR|6ERES|7LIT|8MLV|9LHND|aRCR
15	55333 31311	 * 	288.33	DCR|2LIT|2VULN|3ASPD|2DMG|1SELL	18VULN|24DMG|348ASPD|48BPWR|5SELL|6RCR|78LIT|9LHND|aRMIN
16	55333 31314	 * 	288.33	DCR|2LIT|2VULN|3ASPD|2DMG|1SELL	18VULN|24DMG|348ASPD|48BPWR|5SELL|6RCR|78LIT|9LHND|aCGEN
17	55333 31322	 * 	288.33	DCR|2LIT|2VULN|3ASPD|2DMG|1SELL	18VULN|24DMG|348ASPD|48BPWR|5SELL|6RCR|78LIT|9RMIN|aCGEN
18	55333 31323	 * 	288.33	DCR|2LIT|2VULN|3ASPD|2DMG|1SELL	18VULN|24DMG|348ASPD|48BPWR|5SELL|6RCR|78LIT|9RMIN|aBEXP
19	55333 31324	 * 	288.33	DCR|2LIT|2VULN|3ASPD|2DMG|1SELL	18VULN|24DMG|348ASPD|48BPWR|5SELL|6RCR|78LIT|9RMIN|aDMSP
20	55333 31326	 * 	288.33	DCR|2LIT|2VULN|3ASPD|2DMG|1SELL	18VULN|24DMG|348ASPD|48BPWR|5SELL|6RCR|78LIT|9RMIN|aLWND
21	55333 31312	 * 	288.23	DCR|2LIT|2VULN|3ASPD|2DMG|1SELL	18VULN|24DMG|348ASPD|48BPWR|5SELL|6RCR|78LIT|9LHND|aDUST
22	55333 31315	 * 	288.23	DCR|2LIT|2VULN|3ASPD|2DMG|1SELL	18VULN|24DMG|348ASPD|48BPWR|5SELL|6RCR|78LIT|9LHND|aSNITOX
23	55333 31332	 * 	288.23	DCR|2LIT|2VULN|3ASPD|2DMG|1SELL	18VULN|24DMG|348ASPD|48BPWR|5SELL|6RCR|78LIT|9ERES|aCGEN
24	55333 31333	 * 	288.23	DCR|2LIT|2VULN|3ASPD|2DMG|1SELL	18VULN|24DMG|348ASPD|48BPWR|5SELL|6RCR|78LIT|9ERES|aBEXP
25	55333 31334	 * 	288.23	DCR|2LIT|2VULN|3ASPD|2DMG|1SELL	18VULN|24DMG|348ASPD|48BPWR|5SELL|6RCR|78LIT|9ERES|aDMSP
26	55333 31336	 * 	288.23	DCR|2LIT|2VULN|3ASPD|2DMG|1SELL	18VULN|24DMG|348ASPD|48BPWR|5SELL|6RCR|78LIT|9ERES|aLWND
27	55333 31313	 * 	288.09	DCR|2LIT|2VULN|3ASPD|2DMG|2SELL	18VULN|24DMG|348ASPD|48BPWR|5aSELL|6RCR|78LIT|9LHND
28	55221 13411	   	286.86	DCR|3LIT|3VULN|2DMG	179VULN|25DMG|357LIT|4RMIN|57BPWR|67FRZICY|8RCR|aRPLT
29	55221 13412	   	286.86	DCR|3LIT|3VULN|2DMG	179VULN|25DMG|357LIT|4RMIN|57BPWR|67FRZICY|8RCR|aLHND
30	55221 13421	   	286.76	DCR|3LIT|3VULN|2DMG	17aVULN|25DMG|357LIT|4RMIN|57BPWR|67FRZICY|8RCR|9ERES
31	55221 23411	   	286.66	DCR|3LIT|3VULN|2DMG	179VULN|25DMG|357LIT|4RMIN|57BPWR|67LSRHEA|8RCR|aRPLT
32	55221 23412	   	286.66	DCR|3LIT|3VULN|2DMG	179VULN|25DMG|357LIT|4RMIN|57BPWR|67LSRHEA|8RCR|aLHND
33	55221 23421	   	286.56	DCR|3LIT|3VULN|2DMG	17aVULN|25DMG|357LIT|4RMIN|57BPWR|67LSRHEA|8RCR|9ERES
34	55321 21133	   	284.91	DCR|2LIT|3VULN|2DMG|1ASPD	15aVULN|2aDMG|3ASPD|4RPLT|6LHND|7RCR|8aLIT|9BELT|aBPWR
35	52162 22431	   	284.49	DCR|2LIT|4VULN|1DMG|1ASPD	157aVULN|2FEWX|3ASPD|45LIT|5BPWR|6ERES|8RCR|9DMG
36	55221 62112	 * 	283.73	DCR|2LIT|2MLV|2DMG|1VULN|1CDMG	1VULN|25DMG|35LIT|4RMIN|5BPWR|68MLV|7CDMG|9LHND|aRCR
37	55221 62132	   	283.58	DCR|2LIT|2MLV|2DMG|1VULN|1CDMG	1VULN|25DMG|35LIT|4RMIN|5BPWR|68MLV|7CDMG|9DUST|aRCR
38	55363 31321	   	283.43	DCR|3LIT|2VULN|2ASPD|1DMG|1SELL	18VULN|2DMG|38ASPD|4RCVC|5SELL|6RCR|789LIT|8BPWR|aZMB
39	55221 15232	 * 	283.42	DCR|2LIT|3VULN|3DMG	18aVULN|258DMG|35LIT|4RMIN|58BPWR|6FRZICY|78CGEN|9RCR
40	55221 25232	   	283.32	DCR|2LIT|3VULN|3DMG	18aVULN|258DMG|35LIT|4RMIN|58BPWR|6LSRHEA|78CGEN|9RCR
41	52162 22432	   	282.91	DCR|2LIT|3VULN|2DMG|1ASPD	157VULN|2FEWX|3ASPD|45LIT|5BPWR|6ERES|8RCR|9aDMG
42	52121 64131	 * 	282.82	DCR|2LIT|2VULN|3ASPD|1MLV	19VULN|2FEWX|39aASPD|4MLV|5BEXP|6RCR|7LEGI|89LIT|9BPWR
43	35341 51111	   	281.48	DCR|3VULN|1LIT|1MLV|1DMG|1ASPD	1BEXP|2DMG|3ASPD|4ZMB|59aVULN|6MLV|7LIT|8RCR
44	55363 31312	   	281.33	DCR|2LIT|3VULN|2ASPD|1DMG|1SELL	189VULN|2DMG|38ASPD|4RCVC|5SELL|6RCR|78LIT|8BPWR|aBEXP
45	55363 31313	   	281.33	DCR|2LIT|3VULN|2ASPD|1DMG|1SELL	189VULN|2DMG|38ASPD|4RCVC|5SELL|6RCR|78LIT|8BPWR|aFEWX
46	52164 23211	 * 	280.95	DCR|2LIT|3VULN|1MLV|1ASPD	19aVULN|2FEWX|3ASPD|48LIT|5BEXP|6RCR|7MLV
47	52166 23211	   	280.85	DCR|2LIT|3VULN|1MLV|1ASPD	19aVULN|2FEWX|3ASPD|48LIT|5DUST|6RCR|7MLV
