0	Index      	 *	Score 	Summary	Detail	
1	15234 25332	 * 	323.14	DCR|2LIT|2MLV|3VULN|1DMG|1ASPD	19LIT|2ASPD|359VULN|4BEXP|6DMG|79MLV|8BELT|9BPWR|aRCR
2	52322 22542	 * 	308.69	DCR|3VULN|1LIT|2FLTARM|2DMG|1MLV	19FLTARM|269VULN|3LEGI|4MLV|5RPLT|7LIT|89DMG|9BPWR|aRCR
3	52321 12511	 * 	308.00	DCR|2LIT|2FLTARM|2VULN|1MLV	19FLTARM|29VULN|3LEGI|4MLV|5FEWX|6RPLT|79LIT|8RCR|9BPWR|aDUR
4	55123 15123	 * 	302.93	DCR|3LIT|2MLV|2FLTARM|1VULN	17FLTARM|267LIT|3CGEN|4DUST|57MLV|7BPWR|8RPLT|9RCR|aVULN
5	15262 35332	 * 	302.33	DCR|2LIT|2MLV|2VULN|2ASPD|1DMG	19LIT|25ASPD|39VULN|4DMG|6BEXP|79MLV|8BELT|9BPWR|aRCR
6	52125 33363	   	302.05	DCR|3VULN|1LIT|1FLTARM|1MLV|1DMG	1FLTARM|27aVULN|3DUST|4MLV|5DUR|6RCR|8LIT|9DMG
7	52325 33363	   	302.05	DCR|3VULN|1LIT|1FLTARM|1MLV|1DMG	1FLTARM|27aVULN|3LEGI|4MLV|5DUR|6RCR|8LIT|9DMG
8	52321 12512	   	298.34	DCR|2LIT|2FLTARM|2VULN|1MLV	19FLTARM|29VULN|3LEGI|4MLV|5FEWX|6RPLT|79LIT|8RCR|9BPWR|aCGEN
9	52321 12513	   	298.34	DCR|2LIT|2FLTARM|2VULN|1MLV	19FLTARM|29VULN|3LEGI|4MLV|5FEWX|6RPLT|79LIT|8RCR|9BPWR|aRMIN
10	52321 12516	   	298.34	DCR|2LIT|2FLTARM|2VULN|1MLV	19FLTARM|29VULN|3LEGI|4MLV|5FEWX|6aRPLT|79LIT|8RCR|9BPWR
11	52321 12514	   	298.24	DCR|2LIT|2FLTARM|2VULN|1MLV	19FLTARM|29VULN|3LEGI|4MLV|5FEWX|6RPLT|79LIT|8RCR|9BPWR|aERES
12	52321 33363	   	298.20	DCR|3VULN|1LIT|1FLTARM|1MLV|1DMG	1FLTARM|27aVULN|3LEGI|4MLV|5FEWX|6RCR|8LIT|9DMG
13	52125 34321	   	296.84	DCR|3VULN|1LIT|2FLTARM|1MLV|2DUR	18FLTARM|289VULN|3DUST|4MLV|58DUR|6RCR|7AART|8BPWR|aLIT
