0	Index      	 *	Score 	Summary	Detail	
1	16211 13615	 * 	270.09	DCR|DCR|1VULN|1TLV|1DUR|1AART|1CDMG	1CDMG|2RPLT|3AART|4TLV|5LIT|6LHND|7VULN|8aRCR|9DUR
2	41612 13233	 * 	266.49	DCR|DCR|2VULN|2DMG	1BEXP|2TBNT|35VULN|45DMG|5BPWR|6DUST|7aRCR|8AME|9FRZFST
3	46612 13233	   	266.49	DCR|DCR|2VULN|2DMG	1BEXP|2BBNT|35VULN|45DMG|5BPWR|6DUST|7aRCR|8AME|9FRZFST
4	51612 13233	   	266.49	DCR|DCR|2VULN|2DMG	1FEWX|2TBNT|35VULN|45DMG|5BPWR|6DUST|7aRCR|8AME|9FRZFST
5	56612 13233	   	266.49	DCR|DCR|2VULN|2DMG	1FEWX|2BBNT|35VULN|45DMG|5BPWR|6DUST|7aRCR|8AME|9FRZFST
6	11332 25532	   	256.44	DCR|DCR|2VULN|1DUR|1CDMG	1CDMG|2LHND|3FEWX|4DUR|5aVULN|68RCR|7LWND|9CGEN
7	11332 25552	   	256.44	DCR|DCR|2VULN|1DUR|1CDMG|1AAC	1CDMG|2LHND|3FEWX|4DUR|5aVULN|68RCR|7LWND|9AAC
8	11222 43532	   	256.34	DCR|DCR|2VULN|1DUR|1CDMG	1CDMG|2LHND|3DUR|4DUST|5aVULN|6LWND|78RCR|9CGEN
9	11222 43552	   	256.34	DCR|DCR|2VULN|1DUR|1CDMG|1AAC	1CDMG|2LHND|3DUR|4DUST|5aVULN|6LWND|78RCR|9AAC
10	11322 53523	   	256.34	DCR|DCR|2VULN|1DUR|1CDMG	1CDMG|2LHND|3FEWX|4DUST|5aVULN|6DUR|78RCR|9RCVC
11	11322 53532	   	256.34	DCR|DCR|2VULN|1DUR|1CDMG	1CDMG|2LHND|3FEWX|4DUST|5aVULN|6DUR|78RCR|9CGEN
12	11322 53552	   	256.34	DCR|DCR|2VULN|1DUR|1CDMG|1AAC	1CDMG|2LHND|3FEWX|4DUST|5aVULN|6DUR|78RCR|9AAC
13	11332 13523	   	256.34	DCR|DCR|2VULN|1DUR|1CDMG	1CDMG|2LHND|3FEWX|4DUR|5aVULN|6DUST|78RCR|9RCVC
14	11332 13532	   	256.34	DCR|DCR|2VULN|1DUR|1CDMG	1CDMG|2LHND|3FEWX|4DUR|5aVULN|6DUST|78RCR|9CGEN
15	11332 13552	   	256.34	DCR|DCR|2VULN|1DUR|1CDMG|1AAC	1CDMG|2LHND|3FEWX|4DUR|5aVULN|6DUST|78RCR|9AAC
16	11332 23523	   	256.34	DCR|DCR|2VULN|1DUR|1CDMG	1CDMG|2LHND|3FEWX|4DUR|5aVULN|68RCR|7DUST|9RCVC
17	11332 23532	   	256.34	DCR|DCR|2VULN|1DUR|1CDMG	1CDMG|2LHND|3FEWX|4DUR|5aVULN|68RCR|7DUST|9CGEN
18	11332 23552	   	256.34	DCR|DCR|2VULN|1DUR|1CDMG|1AAC	1CDMG|2LHND|3FEWX|4DUR|5aVULN|68RCR|7DUST|9AAC
19	13232 43523	   	256.34	DCR|DCR|2VULN|1DUR|1CDMG	1CDMG|2DUST|3DUR|4BEXP|5aVULN|6LWND|78RCR|9RCVC
20	13232 43532	   	256.34	DCR|DCR|2VULN|1DUR|1CDMG	1CDMG|2DUST|3DUR|4BEXP|5aVULN|6LWND|78RCR|9CGEN
21	13232 43552	   	256.34	DCR|DCR|2VULN|1DUR|1CDMG|1AAC	1CDMG|2DUST|3DUR|4BEXP|5aVULN|6LWND|78RCR|9AAC
22	13632 53523	   	256.34	DCR|DCR|2VULN|1DUR|1CDMG	1CDMG|2DUST|3LHND|4BEXP|5aVULN|6DUR|78RCR|9RCVC
23	13632 53532	   	256.34	DCR|DCR|2VULN|1DUR|1CDMG	1CDMG|2DUST|3LHND|4BEXP|5aVULN|6DUR|78RCR|9CGEN
24	14332 25523	   	256.34	DCR|DCR|2VULN|1DUR|1CDMG	1CDMG|2AETHUN|3FEWX|4DUR|5aVULN|68RCR|7LWND|9RCVC
25	14332 25532	   	256.34	DCR|DCR|2VULN|1DUR|1CDMG	1CDMG|2AETHUN|3FEWX|4DUR|5aVULN|68RCR|7LWND|9CGEN
26	11322 53563	   	256.24	DCR|DCR|2VULN|1DUR|1CDMG	1CDMG|2LHND|3FEWX|4DUST|5aVULN|6DUR|78RCR|9AEBURN
27	11332 13563	   	256.24	DCR|DCR|2VULN|1DUR|1CDMG	1CDMG|2LHND|3FEWX|4DUR|5aVULN|6DUST|78RCR|9AEBURN
28	11332 23563	   	256.24	DCR|DCR|2VULN|1DUR|1CDMG	1CDMG|2LHND|3FEWX|4DUR|5aVULN|68RCR|7DUST|9AEBURN
29	13232 43563	   	256.24	DCR|DCR|2VULN|1DUR|1CDMG	1CDMG|2DUST|3DUR|4BEXP|5aVULN|6LWND|78RCR|9AEBURN
30	14222 43532	   	256.24	DCR|DCR|2VULN|1DUR|1CDMG	1CDMG|2AETHUN|3DUR|4DUST|5aVULN|6LHND|78RCR|9CGEN
31	14322 53523	   	256.24	DCR|DCR|2VULN|1DUR|1CDMG	1CDMG|2AETHUN|3FEWX|4DUST|5aVULN|6DUR|78RCR|9RCVC
32	14322 53532	   	256.24	DCR|DCR|2VULN|1DUR|1CDMG	1CDMG|2AETHUN|3FEWX|4DUST|5aVULN|6DUR|78RCR|9CGEN
33	14332 13523	   	256.24	DCR|DCR|2VULN|1DUR|1CDMG	1CDMG|2AETHUN|3FEWX|4DUR|5aVULN|6DUST|78RCR|9RCVC
34	14332 13532	   	256.24	DCR|DCR|2VULN|1DUR|1CDMG	1CDMG|2AETHUN|3FEWX|4DUR|5aVULN|6DUST|78RCR|9CGEN
35	14332 13552	   	256.24	DCR|DCR|2VULN|1DUR|1CDMG|1AAC	1CDMG|2AETHUN|3FEWX|4DUR|5aVULN|6DUST|78RCR|9AAC
36	14332 23523	   	256.24	DCR|DCR|2VULN|1DUR|1CDMG	1CDMG|2AETHUN|3FEWX|4DUR|5aVULN|68RCR|7DUST|9RCVC
37	14332 23532	   	256.24	DCR|DCR|2VULN|1DUR|1CDMG	1CDMG|2AETHUN|3FEWX|4DUR|5aVULN|68RCR|7DUST|9CGEN
38	14332 23552	   	256.24	DCR|DCR|2VULN|1DUR|1CDMG|1AAC	1CDMG|2AETHUN|3FEWX|4DUR|5aVULN|68RCR|7DUST|9AAC
39	14632 13532	   	256.24	DCR|DCR|2VULN|1DUR|1CDMG	1CDMG|2AETHUN|3LHND|4DUR|5aVULN|6DUST|78RCR|9CGEN
40	14632 23532	   	256.24	DCR|DCR|2VULN|1DUR|1CDMG	1CDMG|2AETHUN|3LHND|4DUR|5aVULN|68RCR|7DUST|9CGEN
41	22335 25523	   	256.24	DCR|DCR|2VULN|1DUR|1CDMG	1AEFRZ|2MDPS|3BEXP|4DUR|5CDMG|68RCR|7aVULN|9RCVC
42	22335 25532	   	256.24	DCR|DCR|2VULN|1DUR|1CDMG	1AEFRZ|2MDPS|3BEXP|4DUR|5CDMG|68RCR|7aVULN|9CGEN
43	11332 25522	   	250.30	DCR|DCR|1VULN|1DMG|1DUR|1CDMG	1CDMG|2LHND|3FEWX|4DUR|5VULN|68RCR|7LWND|9RCVC|aDMG
44	11222 43522	   	250.20	DCR|DCR|1VULN|1DMG|1DUR|1CDMG	1CDMG|2LHND|3DUR|4DUST|5VULN|6LWND|78RCR|9RCVC|aDMG
45	11332 25562	   	250.20	DCR|DCR|1VULN|1DMG|1DUR|1CDMG	1CDMG|2LHND|3FEWX|4DUR|5VULN|68RCR|7LWND|9AEBURN|aDMG
46	11222 43562	   	250.10	DCR|DCR|1VULN|1DMG|1DUR|1CDMG	1CDMG|2LHND|3DUR|4DUST|5VULN|6LWND|78RCR|9AEBURN|aDMG
47	14222 43522	   	250.10	DCR|DCR|1VULN|1DMG|1DUR|1CDMG	1CDMG|2AETHUN|3DUR|4DUST|5VULN|6LHND|78RCR|9RCVC|aDMG
48	14632 13522	   	250.10	DCR|DCR|1VULN|1DMG|1DUR|1CDMG	1CDMG|2AETHUN|3LHND|4DUR|5VULN|6DUST|78RCR|9RCVC|aDMG
49	14632 23522	   	250.10	DCR|DCR|1VULN|1DMG|1DUR|1CDMG	1CDMG|2AETHUN|3LHND|4DUR|5VULN|68RCR|7DUST|9RCVC|aDMG
50	12226 25234	 * 	249.33	DCR|DCR|1VULN|2DUR|1CDMG	1CDMG|2AEPOI|3ASPD|4DLOT|5AEWIND|69RCR|78DUR|aVULN
51	43216 31324	 * 	249.09	DCR|DCR|2TLV|2AART|1MLV	1BEXP|24TLV|36AART|5MLV|7CGEN|8aRCR|9RPLT
52	53216 31324	   	249.09	DCR|DCR|2TLV|2AART|1MLV	1FEWX|24TLV|36AART|5MLV|7CGEN|8aRCR|9RPLT
53	41616 13233	   	248.80	DCR|DCR|2VULN|1DMG	1BEXP|2TBNT|35VULN|4DMG|6DUST|7aRCR|8AME|9FRZFST
54	51616 13233	   	248.80	DCR|DCR|2VULN|1DMG	1FEWX|2TBNT|35VULN|4DMG|6DUST|7aRCR|8AME|9FRZFST
55	43213 13624	   	247.13	DCR|DCR|2TLV|2AART|1DUR	15BEXP|24TLV|38AART|6aRCR|7DUR|9RPLT
56	43211 13624	   	247.03	DCR|DCR|2TLV|2AART|1DUR	1BEXP|24TLV|38AART|5AEFBLL|6aRCR|7DUR|9RPLT
57	43212 13624	   	247.03	DCR|DCR|2TLV|2AART|1DUR	1BEXP|24TLV|38AART|5AEFRZ|6aRCR|7DUR|9RPLT
58	53211 13624	   	247.03	DCR|DCR|2TLV|2AART|1DUR	1FEWX|24TLV|38AART|5AEFBLL|6aRCR|7DUR|9RPLT
59	53212 13624	   	247.03	DCR|DCR|2TLV|2AART|1DUR	1FEWX|24TLV|38AART|5AEFRZ|6aRCR|7DUR|9RPLT
60	11332 25515	   	245.84	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1CDMG|2LHND|3FEWX|4DUR|5VULN|68RCR|7LWND|9RPLT|aMLV
61	11222 43515	   	245.74	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1CDMG|2LHND|3DUR|4DUST|5VULN|6LWND|78RCR|9RPLT|aMLV
62	11322 53515	   	245.74	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1CDMG|2LHND|3FEWX|4DUST|5VULN|6DUR|78RCR|9RPLT|aMLV
63	11332 13515	   	245.74	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1CDMG|2LHND|3FEWX|4DUR|5VULN|6DUST|78RCR|9RPLT|aMLV
64	11332 23515	   	245.74	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1CDMG|2LHND|3FEWX|4DUR|5VULN|68RCR|7DUST|9RPLT|aMLV
65	13232 43515	   	245.74	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1CDMG|2DUST|3DUR|4BEXP|5VULN|6LWND|78RCR|9RPLT|aMLV
66	11332 25512	   	243.89	DCR|DCR|1VULN|1DUR|1CDMG|1AAC	1CDMG|2LHND|3FEWX|4DUR|5VULN|68RCR|7LWND|9RPLT|aAAC
67	11222 43512	   	243.79	DCR|DCR|1VULN|1DUR|1CDMG|1AAC	1CDMG|2LHND|3DUR|4DUST|5VULN|6LWND|78RCR|9RPLT|aAAC
68	11322 53513	   	243.79	DCR|DCR|1VULN|1DUR|1CDMG|1AAC	1CDMG|2LHND|3FEWX|4DUST|5VULN|6DUR|78RCR|9RPLT|aAAC
69	11332 13513	   	243.79	DCR|DCR|1VULN|1DUR|1CDMG|1AAC	1CDMG|2LHND|3FEWX|4DUR|5VULN|6DUST|78RCR|9RPLT|aAAC
70	11332 23513	   	243.79	DCR|DCR|1VULN|1DUR|1CDMG|1AAC	1CDMG|2LHND|3FEWX|4DUR|5VULN|68RCR|7DUST|9RPLT|aAAC
71	11332 25551	   	243.79	DCR|DCR|1VULN|1DUR|1CDMG|1AAC	1CDMG|2LHND|3FEWX|4DUR|5VULN|68RCR|7LWND|9AAC|aFRZARM
