0	Index      	 *	Score 	Summary	Detail	
1	16254 43631	 * 	278.08	DCR|DCR|3VULN|1DMG	1RCVC|2ASPD|3AME|4MBVNT|568VULN|79RCR|aDMG
2	11552 23531	 * 	269.59	DCR|DCR|1VULN|1TLV|1DMG|1CDMG|1NUKE	1RCVC|2AETHUN|3NUKE|4ASPD|5DMG|6TLV|79RCR|8VULN|aCDMG
3	11552 23533	   	269.59	DCR|DCR|1VULN|1TLV|1DMG|1AART|1NUKE	1RCVC|2AETHUN|3NUKE|4ASPD|5DMG|6TLV|79RCR|8VULN|aAART
4	43242 34232	 * 	268.79	ACR|DCR|2VULN|1TLV|1DMG|1DUR|1AART	1DUR|27RCR|3aVULN|4DMG|5TLV|6AART|8RAT|9CGEN
5	43242 34121	   	268.69	ACR|DCR|2VULN|1TLV|1DMG|1DUR|1AART	1DUR|27RCR|3aVULN|4DMG|5TLV|6AART|8TBNT|9LHND
6	43242 34332	   	268.69	ACR|DCR|2VULN|1TLV|1DMG|1DUR|1AART	1DUR|27RCR|3aVULN|4DMG|5TLV|6AART|8DUST|9BEXP
7	43242 34132	   	268.44	ACR|DCR|2VULN|1TLV|1DMG|1DUR|1AART|1SELL	1DUR|27RCR|3aVULN|4DMG|5TLV|6AART|8TBNT|9SELL
8	32123 16623	 * 	266.49	DCR|DCR|2VULN|3DUR	1DUST|237DUR|4BEXP|5TBNT|68VULN|9aRCR
9	32523 16623	   	266.49	DCR|DCR|2VULN|3DUR	13DUST|237DUR|3BPWR|4BEXP|5TBNT|68VULN|9aRCR
10	41513 42112	   	263.38	DCR|DCR|1VULN|1TLV|1AART|1DUR	1DUR|2ASPD|3VULN|4CGEN|5AART|69RCR|7BEXP|8LIT|aTLV
11	31513 45112	   	263.28	DCR|DCR|1VULN|1TLV|1DUR|1AART	1DUST|2ASPD|3VULN|4CGEN|5AART|69RCR|7DUR|8LIT|aTLV
12	41533 42112	   	263.28	DCR|DCR|1VULN|1TLV|1DUR|1AART	1DUR|2ASPD|3VULN|4ERES|5AART|69RCR|7BEXP|8LIT|aTLV
13	16254 43731	   	263.18	DCR|DCR|2VULN|1DUR|1CDMG	1RCVC|2ASPD|3AME|4MBVNT|56VULN|79RCR|8DUR|aCDMG
14	31533 45112	   	263.18	DCR|DCR|1VULN|1TLV|1DUR|1AART	1DUST|2ASPD|3VULN|4ERES|5AART|69RCR|7DUR|8LIT|aTLV
15	43243 13613	 * 	262.28	ACR|DCR|2VULN|3DMG|1DUR|1AAC	1DUR|2aRCR|35VULN|457DMG|5BPWR|6LIT|8AAC|9BELT
16	43222 34513	 * 	261.98	ACR|DCR|1VULN|2DUR|1TLV|1DMG|1AART	1aDUR|27RCR|3VULN|4ASPD|5TLV|6AART|8RCVC|9DMG
17	43242 34231	   	258.19	ACR|DCR|1VULN|1TLV|1DMG|1MLV|1DUR|1AART	1DUR|27RCR|3VULN|4DMG|5TLV|6AART|8RAT|9CGEN|aMLV
18	43246 32112	   	258.19	ACR|DCR|1VULN|1TLV|1DMG|1MLV|1DUR|1AART	1DUR|29RCR|3VULN|4DMG|5AART|6MLV|7BEXP|8LIT|aTLV
19	16254 43633	   	258.02	DCR|DCR|3VULN	1RCVC|2ASPD|3AME|4MBVNT|568VULN|79RCR|aCGEN
20	16254 43634	   	258.02	DCR|DCR|3VULN	1RCVC|2ASPD|3AME|4MBVNT|568VULN|79RCR|aRAT
21	16254 43632	   	257.92	DCR|DCR|3VULN	1RCVC|2ASPD|3AME|4MBVNT|568VULN|79RCR|aTBNT
22	45213 42112	   	256.44	DCR|DCR|1VULN|1TLV|1AART|1DUR	1DUR|2ZMB|3VULN|4CGEN|5AART|69RCR|7BEXP|8LIT|aTLV
23	35213 45112	   	256.34	DCR|DCR|1VULN|1TLV|1DUR|1AART	1DUST|2ZMB|3VULN|4CGEN|5AART|69RCR|7DUR|8LIT|aTLV
24	45233 42112	   	256.34	DCR|DCR|1VULN|1TLV|1DUR|1AART	1DUR|2ZMB|3VULN|4ERES|5AART|69RCR|7BEXP|8LIT|aTLV
25	35233 45112	   	256.24	DCR|DCR|1VULN|1TLV|1DUR|1AART	1DUST|2ZMB|3VULN|4ERES|5AART|69RCR|7DUR|8LIT|aTLV
26	16254 43231	   	255.94	DCR|DCR|2VULN|1DMG	1RCVC|2ASPD|3AME|4MBVNT|56VULN|79RCR|8DMSP|aDMG
27	16254 33631	   	255.94	DCR|DCR|2VULN|1DMG	1RCVC|2ASPD|3AME|4MBVNT|58VULN|6DMSP|79RCR|aDMG
28	16254 23631	   	255.84	DCR|DCR|2VULN|1DMG	1RCVC|2ASPD|36AME|4MBVNT|58VULN|79RCR|aDMG
29	16254 43133	   	255.84	DCR|DCR|2VULN|1DMG	1RCVC|2ASPD|3AME|4MBVNT|56VULN|79RCR|8DUST|aDMG
30	11552 23532	   	255.84	DCR|DCR|1VULN|1TLV|1DMG|1NUKE	1RCVC|2AETHUN|3NUKE|4ASPD|5DMG|6TLV|79RCR|8VULN|aDUST
31	43222 34232	   	255.66	ACR|DCR|2VULN|1TLV|1DUR|1AART	1DUR|27RCR|3aVULN|4ASPD|5TLV|6AART|8RAT|9CGEN
32	43222 34261	   	255.66	ACR|DCR|2VULN|1TLV|1DUR|1AART	1DUR|27RCR|39VULN|4ASPD|5TLV|6AART|8RAT|aRCVC
33	43222 34116	   	255.56	ACR|DCR|2VULN|1TLV|1DUR|1AART	1DUR|27RCR|3aVULN|4ASPD|5TLV|6AART|8TBNT|9LIT
34	43222 34121	   	255.56	ACR|DCR|2VULN|1TLV|1DUR|1AART	1DUR|27RCR|3aVULN|4ASPD|5TLV|6AART|8TBNT|9LHND
35	43222 34262	   	255.56	ACR|DCR|2VULN|1TLV|1DUR|1AART	1DUR|27RCR|39VULN|4ASPD|5TLV|6AART|8RAT|aAETHUN
36	43222 34263	   	255.56	ACR|DCR|2VULN|1TLV|1DUR|1AART	1DUR|27RCR|39VULN|4ASPD|5TLV|6AART|8RAT|aBASARM
37	43222 34332	   	255.56	ACR|DCR|2VULN|1TLV|1DUR|1AART	1DUR|27RCR|3aVULN|4ASPD|5TLV|6AART|8DUST|9BEXP
38	43222 34132	   	255.32	ACR|DCR|2VULN|1TLV|1DUR|1AART|1SELL	1DUR|27RCR|3aVULN|4ASPD|5TLV|6AART|8TBNT|9SELL
