0	Index      	 *	Score 	Summary	Detail	
1	24315 51213	 * 	299.14	DCR|DCR|3VULN|2MLV|1DMG	12aVULN|38MLV|4LSRHEA|5BEXP|69RCR|7DMG
2	33351 51413	 * 	297.35	DCR|DCR|3VULN|1TLV|1DMG	1CGEN|2TSLARM|38aVULN|4AME|5TLV|69RCR|7DMG
3	61413 41213	 * 	284.17	ACR|DCR|3VULN|2DMG|1MLV|1DUR	19RCR|2DUR|36aVULN|4BASICY|57DMG|8MLV
4	63612 14213	 * 	278.87	ACR|DCR|3VULN|2MLV|1DMG|1DUR	19RCR|28MLV|3DMG|46aVULN|5SPLREG|7DUR
5	63613 14213	   	278.87	ACR|DCR|3VULN|2MLV|1DMG|1DUR	19RCR|28MLV|3DMG|46aVULN|5MSLREG|7DUR
6	24315 51211	   	277.00	DCR|DCR|2VULN|2MLV|1DMG	12VULN|38MLV|4LSRHEA|5BEXP|69RCR|7DMG|aRAT
7	24315 51212	   	276.90	DCR|DCR|2VULN|2MLV|1DMG	12VULN|38MLV|4LSRHEA|5BEXP|69RCR|7DMG|aAEFBLL
8	33351 51313	   	275.21	DCR|DCR|2VULN|1TLV|1DMG	18CGEN|2TSLARM|3aVULN|4AME|5TLV|69RCR|7DMG
9	33351 51411	   	275.21	DCR|DCR|2VULN|1TLV|1DMG	1CGEN|2TSLARM|38VULN|4AME|5TLV|69RCR|7DMG|aRAT
10	33351 51412	   	275.11	DCR|DCR|2VULN|1TLV|1DMG	1CGEN|2TSLARM|38VULN|4AME|5TLV|69RCR|7DMG|aAEFRZ
11	63612 13313	 * 	272.09	ACR|DCR|4VULN|1DMG|1MLV	19RCR|2MLV|3DMG|467aVULN|5SPLREG|8LHND
12	63612 13413	   	272.09	ACR|DCR|4VULN|1DMG|1MLV	19RCR|2MLV|3DMG|467aVULN|5SPLREG|8LWND
13	63613 13313	   	272.09	ACR|DCR|4VULN|1DMG|1MLV	19RCR|2MLV|3DMG|467aVULN|5MSLREG|8LHND
14	63613 13413	   	272.09	ACR|DCR|4VULN|1DMG|1MLV	19RCR|2MLV|3DMG|467aVULN|5MSLREG|8LWND
15	64512 13313	   	272.09	ACR|DCR|4VULN|1DMG|1MLV	19RCR|2DMG|3MLV|467aVULN|5SPLREG|8LHND
16	64513 13313	   	272.09	ACR|DCR|4VULN|1DMG|1MLV	19RCR|2DMG|3MLV|467aVULN|5MSLREG|8LHND
17	63612 13213	   	271.99	ACR|DCR|4VULN|1DMG|1MLV	19RCR|2MLV|3DMG|467aVULN|5SPLREG|8DUST
18	63613 13213	   	271.99	ACR|DCR|4VULN|1DMG|1MLV	19RCR|2MLV|3DMG|467aVULN|5MSLREG|8DUST
19	64512 13213	   	271.99	ACR|DCR|4VULN|1DMG|1MLV	19RCR|2DMG|3MLV|467aVULN|5SPLREG|8DUST
20	64513 13213	   	271.99	ACR|DCR|4VULN|1DMG|1MLV	19RCR|2DMG|3MLV|467aVULN|5MSLREG|8DUST
21	23115 51413	   	271.04	DCR|DCR|3VULN|1DMG	18aVULN|2AME|3AEBURN|4LSRHEA|5BEXP|69RCR|7DMG
22	21621 65213	   	270.59	DCR|DCR|2VULN|2MLV|1DUR|1AAC	1aVULN|2DUR|38MLV|4RCVC|5AAC|69RCR|7FLTFST
23	61252 12413	 * 	269.57	ACR|DCR|3VULN|2DUR|1TLV|1AAC	19RCR|27DUR|3TLV|4AAC|5CANARM|68aVULN
24	61253 12413	   	269.57	ACR|DCR|3VULN|2DUR|1TLV|1AAC	19RCR|27DUR|3TLV|4AAC|5MGNBOS|68aVULN
25	63612 62213	 * 	269.28	ACR|DCR|2VULN|2MLV|1TLV|1DMG	19RCR|28MLV|3DMG|4aVULN|5SPLREG|6TLV|7RMIN
26	63613 62213	   	269.28	ACR|DCR|2VULN|2MLV|1TLV|1DMG	19RCR|28MLV|3DMG|4aVULN|5MSLREG|6TLV|7RMIN
27	63662 12213	 * 	269.18	ACR|DCR|2VULN|2MLV|2DUR|1DMG	19RCR|28MLV|3DMG|47DUR|5CANARM|6aVULN
28	63663 12213	   	269.18	ACR|DCR|2VULN|2MLV|2DUR|1DMG	19RCR|28MLV|3DMG|47DUR|5MGNBOS|6aVULN
