0	Index      	 *	Score 	Summary	Detail	
1	61212 22355	 * 	284.99	DCR|DCR|3VULN|1DMG|1DUR	17aVULN|2MGNSTR|35FEWX|4DMG|69RCR|8DUR
2	61212 22351	 * 	280.44	DCR|DCR|2VULN|2DMG|1DUR	17VULN|2MGNSTR|35FEWX|4aDMG|69RCR|8DUR
3	23216 52333	 * 	276.83	DCR|DCR|1VULN|1TLV|1DUR|1AART|1CDMG	1CDMG|2TLV|3TBNT|4CANSTR|5ASPD|68RCR|7AART|9DUR|aVULN
4	23266 52333	   	276.83	DCR|DCR|1VULN|1TLV|1DUR|1AART|1CDMG	1CDMG|2TLV|3TBNT|4SPLREG|5ASPD|68RCR|7AART|9DUR|aVULN
5	23362 43241	 * 	276.50	DCR|DCR|1VULN|1TLV|1DMG|1DUR|1CDMG|1AAC	1CDMG|2TLV|3LHND|4VULN|5DMG|6FEWX|7aRCR|8DUR|9AAC
6	23362 63241	   	276.40	DCR|DCR|1VULN|1TLV|1DMG|1DUR|1CDMG|1AAC	1CDMG|2TLV|3LHND|4VULN|5DMG|6DUST|7aRCR|8DUR|9AAC
7	23615 52411	   	271.75	DCR|DCR|1VULN|1TLV|1MLV|1DUR|1CDMG	1CDMG|2TLV|3AME|4MLV|5DUR|6aRCR|7MBVNT|8VULN|9DUST
8	23422 52231	 * 	268.79	DCR|DCR|2VULN|1TLV|1CDMG	1CDMG|2TLV|39VULN|4CGEN|5RMIN|6aRCR|7MBVNT|8MDPS
9	23442 52231	   	268.69	DCR|DCR|2VULN|1TLV|1CDMG	1CDMG|2TLV|39VULN|4AME|5RMIN|6aRCR|7MBVNT|8MDPS
10	65421 13212	 * 	267.59	ACR|DCR|2VULN|2DUR|1FLTARM|1DMG	14VULN|2aDUR|38RCR|5DMG|6BEXP|7LWND|9FLTARM
11	23145 32461	 * 	266.67	DCR|DCR|2TLV|1VULN|1DUR|1CDMG	1CDMG|24TLV|3LWND|5DUR|6aRCR|7MBVNT|8VULN|9FEWX
12	23345 32461	   	266.67	DCR|DCR|2TLV|1VULN|1DUR|1CDMG	1CDMG|24TLV|3LHND|5DUR|6aRCR|7MBVNT|8VULN|9FEWX
13	23145 32411	   	266.57	DCR|DCR|2TLV|1VULN|1DUR|1CDMG	1CDMG|24TLV|3LWND|5DUR|6aRCR|7MBVNT|8VULN|9DUST
14	23345 32411	   	266.57	DCR|DCR|2TLV|1VULN|1DUR|1CDMG	1CDMG|24TLV|3LHND|5DUR|6aRCR|7MBVNT|8VULN|9DUST
15	23216 52313	   	263.18	DCR|DCR|1VULN|1TLV|1AART|1CDMG	1CDMG|2TLV|3TBNT|4CANSTR|5ASPD|68RCR|7AART|9BEXP|aVULN
16	23216 52343	   	263.18	DCR|DCR|1VULN|1TLV|1AART|1CDMG	1CDMG|2TLV|3TBNT|4CANSTR|5ASPD|68RCR|7AART|9FEWX|aVULN
17	23266 52313	   	263.18	DCR|DCR|1VULN|1TLV|1AART|1CDMG	1CDMG|2TLV|3TBNT|4SPLREG|5ASPD|68RCR|7AART|9BEXP|aVULN
18	61212 22352	   	262.85	DCR|DCR|2VULN|1DMG|1DUR	17VULN|2MGNSTR|35aFEWX|4DMG|69RCR|8DUR
19	61212 22356	   	262.85	DCR|DCR|2VULN|1DMG|1DUR	17VULN|2MGNSTR|35FEWX|4DMG|69RCR|8DUR|aRMIN
20	61212 22353	   	262.75	DCR|DCR|2VULN|1DMG|1DUR	17VULN|2MGNSTR|35FEWX|4DMG|69RCR|8DUR|aDUST
21	61212 22354	   	262.75	DCR|DCR|2VULN|1DMG|1DUR	17VULN|2MGNSTR|35FEWX|4DMG|69RCR|8DUR|aAEFRZ
22	23116 65314	   	262.75	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1CDMG|2TLV|3LWND|4MBVNT|5RAT|6aRCR|7DMG|8LHND|9VULN
23	23362 43341	   	262.75	DCR|DCR|1VULN|1TLV|1DMG|1CDMG|1AAC	1CDMG|2TLV|3LHND|4VULN|5DMG|6FEWX|7aRCR|8AETHUN|9AAC
24	23362 63341	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1CDMG|1AAC	1CDMG|2TLV|3LHND|4VULN|5DMG|6DUST|7aRCR|8AETHUN|9AAC
25	15422 34212	 * 	259.11	ACR|DCR|3VULN|2MLV|1DUR	19LHND|2DUR|38RCR|49aVULN|5ZMB|6CGEN|79MLV|9BPWR
26	65323 33224	   	258.29	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1VULN|2DUR|36RAT|4RMIN|5ERES|7aRCR|8TLV|9MLV
27	61332 12345	   	256.34	DCR|DCR|2VULN|1DUR|1CDMG	17VULN|2MGNSTR|3CDMG|4LWND|5RPLT|6DUR|8aRCR|9AME
