0	Index      	 *	Score 	Summary	Detail	
1	21215 52433	 * 	288.86	DCR|DCR|2VULN|1TLV|1DMG|1CDMG	13VULN|2DMG|4FEWX|5BBNT|6aRCR|7AME|8CDMG|9TLV
2	21216 52433	   	288.86	DCR|DCR|2VULN|1TLV|1DMG|1CDMG	13VULN|2DMG|4FEWX|5TBNT|6aRCR|7AME|8CDMG|9TLV
3	21232 64115	   	288.86	DCR|DCR|2VULN|1TLV|1DMG|2ASPD	13VULN|2DMG|4ERES|5BOSS|6aRCR|79ASPD|8TLV
4	23231 24533	   	275.83	DCR|DCR|2VULN|1TLV|1DUR	13VULN|2CGEN|4ERES|5RAT|6aRCR|7ASPD|8DUR|9TLV
5	21261 32353	   	275.21	DCR|DCR|2VULN|1TLV|1DMG	13VULN|2DMG|4CGEN|5RAT|6aRCR|7CANARM|8TLV|9TSLARM
6	21231 32353	   	275.11	DCR|DCR|2VULN|1TLV|1DMG	13VULN|2DMG|4ERES|5RAT|6aRCR|7CANARM|8TLV|9TSLARM
7	23231 26533	   	268.89	DCR|DCR|2VULN|1TLV|1DUR	13VULN|2CGEN|4ERES|5RAT|6aRCR|7ZMB|8DUR|9TLV
8	23222 13424	 * 	266.59	DCR|DCR|2VULN|2DMG	13VULN|2CGEN|4BELT|5MDPS|69RCR|7TBNT|8aDMG
9	22422 13424	 * 	266.49	DCR|DCR|2DMG|1VULN|1TLV	1VULN|2AEFBLL|3TLV|4BELT|5MDPS|69RCR|7TBNT|8aDMG
10	21352 33443	   	264.71	DCR|DCR|1VULN|1TLV|1DMG|1MLV	1VULN|2DMG|3MLV|4BEXP|5ERES|6FRZICY|7LIT|8aRCR|9TLV
11	21312 53443	   	264.61	DCR|DCR|1VULN|1TLV|1DMG|1MLV	1VULN|2DMG|3MLV|4ERES|5BASICY|6FEWX|7LIT|8aRCR|9TLV
12	21362 33443	   	264.51	DCR|DCR|1VULN|1TLV|1DMG|1MLV	1VULN|2DMG|3MLV|4AETHUN|5ERES|6SPLJET|7LIT|8aRCR|9TLV
13	21115 52433	   	262.55	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1VULN|2DMG|3AEFRZ|4FEWX|5BBNT|6aRCR|7AME|8CDMG|9TLV
14	21116 52433	   	262.55	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1VULN|2DMG|3AEFRZ|4FEWX|5TBNT|6aRCR|7AME|8CDMG|9TLV
15	21132 64115	   	262.55	DCR|DCR|1VULN|1TLV|1DMG|2ASPD	1VULN|2DMG|3AEFRZ|4ERES|5BOSS|6aRCR|79ASPD|8TLV
