0	Index      	 *	Score 	Summary	Detail	
1	54222 14812	 * 	282.54	DCR|DCR|2VULN|1TLV|1DUR|1CDMG|1AAC	1aVULN|2MBVNT|3FEWX|4AAC|5CDMG|6DUR|79RCR|8TLV
2	14512 54312	   	278.88	DCR|DCR|2VULN|1MLV|1DUR|1CDMG	1BEXP|2MBVNT|3ASPD|4DUR|5CDMG|6aVULN|79RCR|8MLV
3	54512 34312	   	278.88	DCR|DCR|2VULN|1MLV|1DUR|1CDMG	1aVULN|2MBVNT|3ASPD|4DUR|5CDMG|6FEWX|79RCR|8MLV
4	54522 14312	   	278.88	DCR|DCR|2VULN|1MLV|1DUR|1CDMG	1aVULN|2MBVNT|3ASPD|4FEWX|5CDMG|6DUR|79RCR|8MLV
5	54512 24312	   	278.78	DCR|DCR|2VULN|1MLV|1DUR|1CDMG	1aVULN|2MBVNT|3ASPD|4DUR|5CDMG|6DUST|79RCR|8MLV
6	42353 21334	 * 	272.96	ACR|DCR|4VULN|2TLV|1AAC	17SNITOX|27TLV|367aVULN|4TBNT|58RCR|7BPWR|9AAC
7	42353 21342	   	272.96	ACR|DCR|4VULN|2TLV	17SNITOX|27TLV|367aVULN|4TBNT|58RCR|7BPWR|9RCVC
8	54222 14312	   	271.95	DCR|DCR|2VULN|1MLV|1DUR|1CDMG|1AAC	1aVULN|2MBVNT|3FEWX|4AAC|5CDMG|6DUR|79RCR|8MLV
9	54222 14813	   	271.95	DCR|DCR|1VULN|1TLV|1MLV|1DUR|1CDMG|1AAC	1VULN|2MBVNT|3FEWX|4AAC|5CDMG|6DUR|79RCR|8TLV|aMLV
10	54272 14312	   	271.95	DCR|DCR|2VULN|1MLV|1DUR|1CDMG	1aVULN|2MBVNT|3FEWX|4ZMB|5CDMG|6DUR|79RCR|8MLV
11	54422 14312	   	271.95	DCR|DCR|2VULN|1MLV|1DUR|1CDMG|1AAC	1aVULN|2MBVNT|3BEXP|4AAC|5CDMG|6DUR|79RCR|8MLV
12	54822 14312	   	271.95	DCR|DCR|2VULN|1MLV|1DUR|1CDMG|1AAC	1aVULN|2MBVNT|3LWND|4AAC|5CDMG|6DUR|79RCR|8MLV
13	54422 14318	   	271.95	DCR|DCR|1VULN|1TLV|1MLV|1DUR|1CDMG|1AAC	1VULN|2MBVNT|3BEXP|4AAC|5CDMG|6DUR|79RCR|8MLV|aTLV
14	54322 14312	   	271.85	DCR|DCR|2VULN|1MLV|1DUR|1CDMG|1AAC	1aVULN|2MBVNT|3DUST|4AAC|5CDMG|6DUR|79RCR|8MLV
15	54372 14312	   	271.85	DCR|DCR|2VULN|1MLV|1DUR|1CDMG	1aVULN|2MBVNT|3DUST|4ZMB|5CDMG|6DUR|79RCR|8MLV
16	45335 21321	 * 	269.79	DCR|DCR|3DMG|1VULN|1DUR	1SNITOX|257DMG|3VULN|4CGEN|6aRCR|8BEXP|9DUR
17	42353 21313	   	267.45	ACR|DCR|3VULN|2TLV|1DUR	17SNITOX|27TLV|367VULN|4TBNT|58RCR|7BPWR|9FEWX|aDUR
18	42353 21323	   	267.45	ACR|DCR|3VULN|2TLV|1DUR	17SNITOX|27TLV|367VULN|4TBNT|58RCR|7BPWR|9LHND|aDUR
19	42353 21353	   	267.45	ACR|DCR|3VULN|2TLV|1DUR	17SNITOX|27TLV|367VULN|4TBNT|58RCR|7BPWR|9LWND|aDUR
20	42353 21363	   	267.45	ACR|DCR|3VULN|2TLV|1DUR	17SNITOX|27TLV|367VULN|4TBNT|58RCR|7BPWR|9BEXP|aDUR
21	42353 21331	   	267.35	ACR|DCR|3VULN|2TLV|1AAC	17SNITOX|27TLV|367VULN|4TBNT|58RCR|7BPWR|9AAC|aRCVC
22	42353 21332	   	267.35	ACR|DCR|3VULN|2TLV|1AAC	17SNITOX|27TLV|367VULN|4TBNT|58RCR|7BPWR|9AAC|aLWND
23	42353 21333	   	267.35	ACR|DCR|3VULN|2TLV|1AAC	17SNITOX|27TLV|367VULN|4TBNT|58RCR|7BPWR|9AAC|aBASICY
24	42353 21335	 * 	267.35	ACR|DCR|3VULN|3TLV|1AAC	17SNITOX|27aTLV|367VULN|4TBNT|58RCR|7BPWR|9AAC
25	42353 21336	   	267.35	ACR|DCR|3VULN|2TLV|1AAC	17SNITOX|27TLV|367VULN|4TBNT|58RCR|7BPWR|9AAC|aBBNT
26	14745 14312	   	264.99	DCR|DCR|2VULN|1MLV|1DUR|1SELL	1BEXP|2MBVNT|3SELL|4ASPD|5aVULN|6DUR|79RCR|8MLV
27	54743 14312	   	264.99	DCR|DCR|2VULN|1MLV|1DUR|1SELL	1aVULN|2MBVNT|3SELL|4ASPD|5LWND|6DUR|79RCR|8MLV
28	42353 21326	   	260.26	ACR|DCR|3VULN|3TLV	17SNITOX|27aTLV|367VULN|4TBNT|58RCR|7BPWR|9LHND
