0	Index      	 *	Score 	Summary	Detail	
1	14135 15211	 * 	258.19	DCR|DCR|1VULN|2DUR|1MLV|1CDMG	1MLV|2CGEN|3AEWIND|45DUR|6LHND|7aRCR|8CDMG|9VULN
2	14223 65211	 * 	258.19	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1MLV|2CGEN|3ERES|4LWND|5AEPOI|6TLV|7aRCR|8CDMG|9VULN
3	32322 71255	 * 	258.09	DCR|DCR|2VULN|1MLV|1DUR	1DUST|2BEXP|3MBVNT|4DUR|59VULN|6MLV|7BLAICY|8aRCR
4	13231 52313	 * 	252.15	DCR|DCR|1VULN|1DMG|1MLV|1DUR	1MLV|2RAT|3ERES|4DMG|5BOSS|6aRCR|7DUR|8VULN|9BEXP
5	13231 52333	   	252.15	DCR|DCR|1VULN|1DMG|1MLV|1DUR	1MLV|2RAT|3ERES|4DMG|5BOSS|6aRCR|7DUR|8VULN|9LWND
6	13231 52363	   	252.15	DCR|DCR|1VULN|1DMG|1MLV|1DUR	1MLV|2RAT|3ERES|4DMG|5BOSS|6aRCR|7DUR|8VULN|9LHND
7	13236 52313	   	252.15	DCR|DCR|1VULN|1DMG|1MLV|1DUR	1MLV|2RAT|3ERES|4DMG|5LIT|6aRCR|7DUR|8VULN|9BEXP
8	13236 52333	   	252.15	DCR|DCR|1VULN|1DMG|1MLV|1DUR	1MLV|2RAT|3ERES|4DMG|5LIT|6aRCR|7DUR|8VULN|9LWND
9	13236 52363	   	252.15	DCR|DCR|1VULN|1DMG|1MLV|1DUR	1MLV|2RAT|3ERES|4DMG|5LIT|6aRCR|7DUR|8VULN|9LHND
10	13151 55313	   	251.68	DCR|DCR|1VULN|1TLV|1MLV	1MLV|2RAT|3TLV|4ASPD|5BOSS|6aRCR|7BEXP|8VULN|9FEWX
11	13151 55333	   	251.68	DCR|DCR|1VULN|1TLV|1MLV	1MLV|2RAT|3TLV|4ASPD|5BOSS|6aRCR|7BEXP|8VULN|9LWND
12	63211 52313	   	249.63	DCR|DCR|1VULN|1TLV|1DUR	1ASPD|2RAT|3ERES|4TLV|5BOSS|6aRCR|7DUR|8VULN|9BEXP
13	63211 52333	   	249.63	DCR|DCR|1VULN|1TLV|1DUR	1ASPD|2RAT|3ERES|4TLV|5BOSS|6aRCR|7DUR|8VULN|9LWND
14	63211 52363	   	249.63	DCR|DCR|1VULN|1TLV|1DUR	1ASPD|2RAT|3ERES|4TLV|5BOSS|6aRCR|7DUR|8VULN|9LHND
15	63216 52313	   	249.63	DCR|DCR|1VULN|1TLV|1DUR	1ASPD|2RAT|3ERES|4TLV|5LIT|6aRCR|7DUR|8VULN|9BEXP
16	63216 52333	   	249.63	DCR|DCR|1VULN|1TLV|1DUR	1ASPD|2RAT|3ERES|4TLV|5LIT|6aRCR|7DUR|8VULN|9LWND
17	14132 35211	   	245.74	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1MLV|2CGEN|3AEWIND|4DUR|56LHND|7aRCR|8CDMG|9VULN
18	23364 43648	   	244.64	DCR|DCR|2VULN|1MLV	1LWND|2RCVC|3MBVNT|4RAT|57VULN|6LHND|89RCR|aMLV
19	14344 64512	   	244.64	DCR|DCR|1VULN|1TLV|1MLV	1MLV|2CGEN|3MBVNT|4LIT|5VULN|69RCR|7BEXP|8LHND|aTLV
20	32362 16345	   	244.44	DCR|DCR|2VULN|1MLV	1DUST|2BEXP|3MBVNT|4BASARM|5MLV|6FEWX|7aRCR|89VULN
21	33322 16444	   	244.44	DCR|DCR|1VULN|1TLV|1MLV	15DUST|2RCVC|3MBVNT|4TLV|6RAT|79RCR|8VULN|aMLV
22	32322 71215	   	244.34	DCR|DCR|1VULN|2DUR|1MLV	1DUST|2BEXP|3MBVNT|49DUR|5VULN|6MLV|7BLAICY|8aRCR
23	12134 64313	 * 	244.26	DCR|2VULN|2MLV|2DUR|1TLV|2CDMG|1AAC	17MLV|2AAC|3AEFRZ|47DUR|57CDMG|6RCR|7BPWR|89VULN|aTLV
24	14151 15211	 * 	244.18	DCR|DCR|1VULN|2MLV|1CDMG	15MLV|2CGEN|34AEWIND|6LEGI|7aRCR|8CDMG|9VULN
25	32322 21255	   	242.49	DCR|DCR|2VULN|1DUR	1DUST|2BEXP|3MBVNT|4DUR|59VULN|6CGEN|7BLAICY|8aRCR
26	33322 16442	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	15DUST|2RCVC|3MBVNT|4TLV|6RAT|79RCR|8VULN|aDUR
27	32322 61255	   	242.39	DCR|DCR|2VULN|1DUR	1DUST|2BEXP|3MBVNT|4DUR|59VULN|6ERES|7BLAICY|8aRCR
28	63111 35263	 * 	240.42	DCR|DCR|2TLV|2DUR	1ASPD|2RAT|34TLV|5LWND|6LIT|79DUR|8aRCR
29	12134 64311	 * 	240.20	DCR|3VULN|2MLV|2DUR|2CDMG|1AAC	17MLV|2AAC|3AEFRZ|47DUR|57CDMG|6RCR|7BPWR|89aVULN
30	13251 52313	   	239.03	DCR|DCR|1VULN|1MLV|1DUR	1MLV|2RAT|3ERES|4ASPD|5BOSS|6aRCR|7DUR|8VULN|9BEXP
31	13251 52333	   	239.03	DCR|DCR|1VULN|1MLV|1DUR	1MLV|2RAT|3ERES|4ASPD|5BOSS|6aRCR|7DUR|8VULN|9LWND
32	13251 52363	   	239.03	DCR|DCR|1VULN|1MLV|1DUR	1MLV|2RAT|3ERES|4ASPD|5BOSS|6aRCR|7DUR|8VULN|9LHND
