0	Index      	 *	Score 	Summary	Detail	
1	31153 13236	 * 	281.25	DCR|DCR|2VULN|2DUR|1TLV	1RPLT|23DUR|3BPWR|4TLV|5MSLFST|67VULN|8MBVNT|9aRCR
2	26135 11522	 * 	273.53	DCR|DCR|2VULN|2DMG	1AME|28VULN|3LHND|46DMG|5BBNT|79RCR|aASPD
3	26335 11522	   	273.53	DCR|DCR|2VULN|2DMG	1AME|28VULN|3FEWX|46DMG|5BBNT|79RCR|aASPD
4	31453 13236	   	268.79	DCR|DCR|2VULN|1TLV|1DUR	13RPLT|2DUR|4TLV|5MSLFST|67VULN|8MBVNT|9aRCR
5	12422 11123	   	267.79	DCR|DCR|2DMG|1VULN|1AART|1CDMG	13LIT|2MULARM|4VULN|5CDMG|69DMG|7AART|8aRCR
6	12622 11123	   	267.69	DCR|DCR|2DMG|1VULN|1AART|1CDMG	1LIT|2MULARM|3AEFRZ|4VULN|5CDMG|69DMG|7AART|8aRCR
7	26135 11523	   	266.59	DCR|DCR|2VULN|2DMG	1AME|28VULN|3LHND|46DMG|5BBNT|79RCR|aLWND
8	26335 11523	   	266.59	DCR|DCR|2VULN|2DMG	1AME|28VULN|3FEWX|46DMG|5BBNT|79RCR|aLWND
9	26135 11521	   	266.49	DCR|DCR|2VULN|2DMG	1AME|28VULN|3LHND|46DMG|5BBNT|79RCR|aTSLFST
10	26335 11521	   	266.49	DCR|DCR|2VULN|2DMG	1AME|28VULN|3FEWX|46DMG|5BBNT|79RCR|aTSLFST
11	12422 11133	 * 	256.51	DCR|DCR|1VULN|1DMG|2CDMG|1AART	13LIT|2MULARM|4VULN|59CDMG|6DMG|7AART|8aRCR
12	12622 11133	   	256.41	DCR|DCR|1VULN|1DMG|2CDMG|1AART	1LIT|2MULARM|3AEFRZ|4VULN|59CDMG|6DMG|7AART|8aRCR
13	31113 13236	   	255.04	DCR|DCR|2VULN|2DUR	1RPLT|23DUR|3BPWR|4CGEN|5MSLFST|67VULN|8MBVNT|9aRCR
14	34153 13236	   	254.94	DCR|DCR|2VULN|1TLV	1RPLT|23DUST|3BPWR|4TLV|5MSLFST|67VULN|8MBVNT|9aRCR
15	34353 13236	   	254.94	DCR|DCR|2VULN|1TLV	1RPLT|2DUST|3AEPOI|4TLV|5MSLFST|67VULN|8MBVNT|9aRCR
16	31153 16236	   	254.94	DCR|DCR|1VULN|2DUR|1TLV	1RPLT|23DUR|3BPWR|4TLV|5MSLFST|6VULN|7AEBURN|8MBVNT|9aRCR
