0	Index      	 *	Score 	Summary	Detail	
1	21363 41314	 * 	284.50	DCR|DCR|2VULN|1TLV|1MLV|1DUR	15VULN|2LWND|3TLV|4AEWIND|67RCR|8ZMB|9MLV|aDUR
2	21363 41315	 * 	283.14	DCR|DCR|2VULN|2MLV|1TLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8ZMB|9aMLV
3	21363 41214	   	277.79	DCR|DCR|2VULN|1TLV|1MLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8LHND|9ASPD|aMLV
4	21363 41162	 * 	277.58	DCR|DCR|3VULN|1TLV	159VULN|29LWND|3TLV|4AEWIND|67RCR|89RAT|9BPWR|aBOSS
5	21363 41161	   	277.48	DCR|DCR|3VULN|1TLV	159VULN|29LWND|3TLV|4AEWIND|67RCR|89RAT|9BPWR|aAEBURN
6	21363 41163	   	277.48	DCR|DCR|3VULN|1TLV	159VULN|29LWND|3TLV|4AEWIND|67RCR|89RAT|9BPWR|aERES
7	21363 41153	   	277.38	DCR|DCR|3VULN|1TLV	15aVULN|2LWND|3TLV|4AEWIND|67RCR|8RAT|9CGEN
8	21363 41241	   	277.38	DCR|DCR|3VULN|1TLV	159VULN|2LWND|3TLV|4AEWIND|67RCR|8aLHND
9	21363 41242	   	277.38	DCR|DCR|3VULN|1TLV	159VULN|2LWND|3TLV|4AEWIND|67RCR|8LHND|aRMIN
10	21363 41243	   	277.38	DCR|DCR|3VULN|1TLV	159VULN|2LWND|3TLV|4AEWIND|67RCR|8LHND|aLIT
11	21363 41136	   	277.28	DCR|DCR|3VULN|1TLV	15aVULN|2LWND|3TLV|4AEWIND|67RCR|8RAT|9SPLARM
12	21363 41114	 * 	275.21	DCR|DCR|2VULN|1TLV|1DMG	15VULN|2LWND|3TLV|4AEWIND|67RCR|8RAT|9DUST|aDMG
13	21363 41125	   	275.21	DCR|DCR|2VULN|1TLV|1DMG	15VULN|2LWND|3TLV|4AEWIND|67RCR|8RAT|9MBVNT|aDMG
14	21363 41223	   	275.21	DCR|DCR|2VULN|1TLV|1DMG	15VULN|2LWND|3TLV|4AEWIND|67RCR|8LHND|9TBNT|aDMG
15	21363 41233	   	275.21	DCR|DCR|2VULN|1TLV|1DMG	15VULN|2LWND|3TLV|4AEWIND|67RCR|8LHND|9BBNT|aDMG
16	21363 41513	   	275.21	DCR|DCR|2VULN|1TLV|1DMG	15VULN|2LWND|3TLV|4AEWIND|67RCR|8MDPS|9BEXP|aDMG
17	21363 41311	   	270.85	DCR|DCR|2VULN|1TLV|1MLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8ZMB|9MLV|aLHND
18	21363 41326	   	270.85	DCR|DCR|2VULN|1TLV|1MLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8ZMB|9LIT|aMLV
19	44133 41124	   	270.85	DCR|DCR|2VULN|1TLV|1MLV	1RCVC|2MLV|35VULN|4LHND|67RCR|8RAT|9MBVNT|aTLV
20	21363 41134	   	270.75	DCR|DCR|2VULN|1TLV|1MLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8RAT|9SPLARM|aMLV
21	21363 41312	   	270.75	DCR|DCR|2VULN|1TLV|1MLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8ZMB|9MLV|aBBNT
22	21363 41313	   	270.75	DCR|DCR|2VULN|1TLV|1MLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8ZMB|9MLV|aMDPS
23	21363 41316	   	270.75	DCR|DCR|2VULN|1TLV|1MLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8ZMB|9MLV|aDUST
24	21363 41152	   	268.89	DCR|DCR|2VULN|1TLV|1DUR	15VULN|2LWND|3TLV|4AEWIND|67RCR|8RAT|9CGEN|aDUR
25	21363 41252	   	268.79	DCR|DCR|2VULN|1TLV|1AAC	15VULN|2LWND|3TLV|4AEWIND|67RCR|8LHND|9DUST|aAAC
26	21363 41331	   	268.79	DCR|DCR|2VULN|1TLV|1AAC	15VULN|2LWND|3TLV|4AEWIND|67RCR|8ZMB|9BBNT|aAAC
27	21363 41522	   	268.79	DCR|DCR|2VULN|1TLV|1AAC	15VULN|2LWND|3TLV|4AEWIND|67RCR|8MDPS|9RCVC|aAAC
28	23143 42511	   	266.78	DCR|DCR|3VULN|1MLV	19aVULN|2RPLT|3AME|4CGEN|5BELT|67RCR|8MLV
29	21363 41222	   	266.15	DCR|DCR|2VULN|1TLV|1NUKE	15VULN|2LWND|3TLV|4AEWIND|67RCR|8LHND|9TBNT|aNUKE
30	21363 41232	   	266.15	DCR|DCR|2VULN|1TLV|1NUKE	15VULN|2LWND|3TLV|4AEWIND|67RCR|8LHND|9BBNT|aNUKE
31	21363 41351	   	266.15	DCR|DCR|2VULN|1TLV|1NUKE	15VULN|2LWND|3TLV|4AEWIND|67RCR|8ZMB|9NUKE|aLHND
32	21363 41352	   	266.15	DCR|DCR|2VULN|1TLV|1NUKE	15VULN|2LWND|3TLV|4AEWIND|67RCR|8ZMB|9NUKE|aBBNT
33	21363 41353	   	266.15	DCR|DCR|2VULN|1TLV|1NUKE	15VULN|2LWND|3TLV|4AEWIND|67RCR|8ZMB|9NUKE|aRMIN
34	21363 41512	   	266.15	DCR|DCR|2VULN|1TLV|1NUKE	15VULN|2LWND|3TLV|4AEWIND|67RCR|8MDPS|9BEXP|aNUKE
35	21363 41532	   	266.05	DCR|DCR|2VULN|1TLV|1NUKE|1MSE	15VULN|2LWND|3TLV|4AEWIND|67RCR|8MDPS|9MSE|aNUKE
36	21363 41411	 * 	265.58	DCR|DCR|2VULN|2TLV	15VULN|28LWND|39TLV|4AEWIND|67RCR|aCGEN
37	21363 41412	   	265.58	DCR|DCR|2VULN|2TLV	15VULN|28LWND|39TLV|4AEWIND|67RCR|aRMIN
38	21363 41413	   	265.58	DCR|DCR|2VULN|2TLV	15VULN|28LWND|39TLV|4AEWIND|67RCR|aLIT
39	44133 41223	   	264.71	DCR|DCR|2VULN|1DMG|1MLV	1RCVC|2MLV|35VULN|4LHND|67RCR|8LWND|9TBNT|aDMG
40	44133 41233	   	264.71	DCR|DCR|2VULN|1DMG|1MLV	1RCVC|2MLV|35VULN|4LHND|67RCR|8LWND|9BBNT|aDMG
41	26234 22312	 * 	264.38	DCR|3VULN|2TLV|2MLV|2CDMG|1AART	158VULN|28CDMG|3LSRHEA|45MLV|58BPWR|68TLV|7BELT|9RCR|aAART
42	26234 22316	   	264.38	DCR|3VULN|2TLV|2MLV|2CDMG|1DUR	158VULN|28CDMG|3LSRHEA|45MLV|58BPWR|68TLV|7BELT|9RCR|aDUR
43	21363 41212	   	262.18	DCR|DCR|2VULN|1TLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8LHND|9ASPD|aRPLT
44	21363 41213	   	262.18	DCR|DCR|2VULN|1TLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8LHND|9ASPD|aRMIN
45	21363 41211	   	262.08	DCR|DCR|2VULN|1TLV|1MSE	15VULN|2LWND|3TLV|4AEWIND|67RCR|8LHND|9ASPD|aMSE
46	21363 41215	   	262.08	DCR|DCR|2VULN|1TLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8LHND|9ASPD|aERES
47	44123 32211	 * 	260.82	DCR|4VULN|1TLV|1DMG|1MLV|1AART	1RCVC|2MLV|359aVULN|4AART|6RCR|7DMG|8TLV
48	44123 32214	 * 	259.24	DCR|3VULN|2DMG|1TLV|1MLV|1AART	1RCVC|2MLV|359VULN|4AART|6RCR|7aDMG|8TLV
49	23323 12126	 * 	258.19	DCR|DCR|1VULN|1FLTARM|1MLV|1CDMG	1VULN|2RPLT|3LIT|4FLTARM|5MBVNT|69RCR|7AME|8CDMG|aMLV
50	26234 22313	   	257.67	DCR|3VULN|2TLV|2MLV|2CDMG	158VULN|28CDMG|3LSRHEA|45MLV|58BPWR|68TLV|7BELT|9RCR|aASPD
51	44133 41311	   	256.94	DCR|DCR|2VULN|2MLV	1RCVC|29MLV|35VULN|4LHND|67RCR|8ZMB|aDUST
52	44133 41312	   	256.94	DCR|DCR|2VULN|2MLV	1RCVC|29MLV|35VULN|4LHND|67RCR|8ZMB|aAEWIND
53	44133 41313	   	256.94	DCR|DCR|2VULN|2MLV	1RCVC|29MLV|35VULN|4LHND|67RCR|8ZMB|aERES
54	42332 41242	   	256.44	DCR|DCR|1VULN|1TLV|1DUR|1AAC	1RCVC|2DMSP|3LHND|4TLV|5DUR|67RCR|8LWND|9VULN|aAAC
55	26562 22132	   	256.34	DCR|DCR|2VULN|1DUR|1CDMG	19VULN|2CDMG|3AEFRZ|4FEWX|5BOSS|6DUR|7LIT|8aRCR
56	23323 12121	   	256.24	DCR|DCR|1VULN|1FLTARM|1DUR|1CDMG	1VULN|2RPLT|3LIT|4FLTARM|5MBVNT|69RCR|7AME|8CDMG|aDUR
57	44133 41222	   	255.65	DCR|DCR|2VULN|1MLV|1NUKE	1RCVC|2MLV|35VULN|4LHND|67RCR|8LWND|9TBNT|aNUKE
58	44133 41232	   	255.65	DCR|DCR|2VULN|1MLV|1NUKE	1RCVC|2MLV|35VULN|4LHND|67RCR|8LWND|9BBNT|aNUKE
59	42333 41341	   	255.34	DCR|DCR|2VULN|1TLV	1RCVC|2DMSP|3aLHND|4TLV|5LWND|67RCR|89VULN
60	42333 41342	   	255.34	DCR|DCR|2VULN|1TLV	1RCVC|2DMSP|3LHND|4TLV|5LWND|67RCR|89VULN|aRMIN
61	42333 41343	   	255.34	DCR|DCR|2VULN|1TLV	1RCVC|2DMSP|3LHND|4TLV|5LWND|67RCR|89VULN|aLIT
