0	Index      	 *	Score 	Summary	Detail	
1	15131 42822	 * 	276.40	DCR|DCR|2VULN|1DMG|1DUR|1CDMG	1CGEN|2CDMG|3aVULN|4RPLT|5DMG|6MBVNT|7DUR|89RCR
2	22115 31226	 * 	274.38	ACR|DCR|4VULN|2DMG|1NUKE	145aVULN|25BEXP|36RCR|5aBPWR|7NUKE|8aDMG|9aCGEN
3	24115 31226	   	274.38	ACR|DCR|4VULN|2DMG|1NUKE	145aVULN|25LWND|36RCR|5aBPWR|7NUKE|8aDMG|9aCGEN
4	22115 36217	 * 	273.06	ACR|DCR|4VULN|2TLV	145aVULN|25BEXP|36RCR|5aBPWR|7MBVNT|8aTLV|9aAEBURN
5	22115 36243	   	272.82	ACR|DCR|3VULN|1TLV|1MLV|1AAC	145VULN|25BEXP|36RCR|5BPWR|7MBVNT|8TLV|9MLV|aAAC
6	22115 36244	   	272.82	ACR|DCR|3VULN|1TLV|1MLV|1DUR	145VULN|25BEXP|36RCR|5BPWR|7MBVNT|8TLV|9MLV|aDUR
7	62323 22155	 * 	269.72	DCR|2VULN|3DUR|3CDMG|1TLV|1DMG|1MLV	137CDMG|237DUR|37BPWR|4TLV|5MLV|67VULN|8LIT|9DMG|aRCR
8	22115 35623	   	263.92	ACR|DCR|4VULN|1AART|1CDMG	145aVULN|25BEXP|36RCR|5BPWR|7ZMB|8AART|9CDMG
9	22115 31623	   	263.82	ACR|DCR|4VULN|1AART|1CDMG|1NUKE	145aVULN|25BEXP|36RCR|5BPWR|7NUKE|8AART|9CDMG
10	24115 32633	   	263.82	ACR|DCR|4VULN|1DUR|1AAC	1459VULN|25LWND|36RCR|5BPWR|7DUST|8DUR|aAAC
11	22115 36218	 * 	263.53	ACR|DCR|3VULN|1TLV|1DMG	145VULN|25BEXP|36RCR|5BPWR|7MBVNT|8TLV|9AEBURN|aDMG
12	22115 32216	   	262.73	ACR|DCR|4VULN|1TLV	145aVULN|25aBEXP|36RCR|5aBPWR|7DUST|8TLV|9aAEBURN
13	22115 32223	   	262.73	ACR|DCR|4VULN|1TLV	145aVULN|25BEXP|36RCR|5BPWR|7DUST|8TLV|9FEWX
14	22115 32245	   	262.73	ACR|DCR|4VULN|1TLV	145aVULN|259BEXP|36RCR|5BPWR|7DUST|8TLV
15	22115 32262	   	262.73	ACR|DCR|4VULN|1TLV	145aVULN|25BEXP|36RCR|5BPWR|7DUST|8TLV|9RPLT
16	22115 36283	   	262.73	ACR|DCR|4VULN|1TLV	145aVULN|25BEXP|36RCR|5BPWR|7MBVNT|8TLV|9LWND
17	24115 32216	   	262.73	ACR|DCR|4VULN|1TLV	145aVULN|25aLWND|36RCR|5aBPWR|7DUST|8TLV|9aAEBURN
18	24115 32223	   	262.73	ACR|DCR|4VULN|1TLV	145aVULN|25LWND|36RCR|5BPWR|7DUST|8TLV|9BEXP
19	24115 32261	   	262.73	ACR|DCR|4VULN|1TLV	1459VULN|25LWND|36RCR|5BPWR|7DUST|8TLV|aLIT
20	24115 32262	   	262.73	ACR|DCR|4VULN|1TLV	1459VULN|25LWND|36RCR|5BPWR|7DUST|8TLV|aRMIN
21	24115 36223	   	262.73	ACR|DCR|4VULN|1TLV	145aVULN|25LWND|36RCR|5BPWR|7MBVNT|8TLV|9BEXP
22	21316 62162	 * 	262.65	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1VULN|2TBNT|3DUR|4BEXP|5DMG|6MDPS|79RCR|8LWND|aTLV
23	24115 32263	   	262.63	ACR|DCR|4VULN|1TLV	1459VULN|25LWND|36RCR|5BPWR|7DUST|8TLV|aERES
24	22115 31624	   	260.26	ACR|DCR|3VULN|1MLV|1AART|1CDMG|1NUKE	145VULN|25BEXP|36RCR|5BPWR|7NUKE|8AART|9CDMG|aMLV
25	22115 36241	   	259.17	ACR|DCR|3VULN|1TLV|1MLV	145VULN|25BEXP|36RCR|5BPWR|7MBVNT|8TLV|9MLV|aLIT
26	22115 36242	   	259.17	ACR|DCR|3VULN|1TLV|1MLV	145VULN|25BEXP|36RCR|5BPWR|7MBVNT|8TLV|9MLV|aLWND
27	22115 36246	   	259.17	ACR|DCR|3VULN|1TLV|1MLV	145VULN|25BEXP|36RCR|5BPWR|7MBVNT|8TLV|9MLV|aLHND
28	24115 36241	   	259.17	ACR|DCR|3VULN|1TLV|1MLV	145VULN|25LWND|36RCR|5BPWR|7MBVNT|8TLV|9MLV|aLIT
29	24115 36242	   	259.17	ACR|DCR|3VULN|1TLV|1MLV	145VULN|25aLWND|36RCR|5BPWR|7MBVNT|8TLV|9MLV
30	22115 36245	   	259.07	ACR|DCR|3VULN|1TLV|1MLV	145VULN|25BEXP|36RCR|5BPWR|7MBVNT|8TLV|9MLV|aSPLREG
31	22115 36248	   	259.07	ACR|DCR|3VULN|1TLV|1MLV	145VULN|25BEXP|36RCR|5BPWR|7MBVNT|8TLV|9MLV|aBBNT
32	24115 36243	   	259.07	ACR|DCR|3VULN|1TLV|1MLV	145VULN|25LWND|36RCR|5BPWR|7MBVNT|8TLV|9MLV|aMDPS
33	24115 36244	   	259.07	ACR|DCR|3VULN|1TLV|1MLV|1SELL	145VULN|25LWND|36RCR|5BPWR|7MBVNT|8TLV|9MLV|aSELL
34	22115 33116	   	258.31	ACR|DCR|3VULN|1DUR|1AART|1CDMG	145VULN|25BEXP|36RCR|5BPWR|7MDPS|8CDMG|9AART|aDUR
35	22115 33131	   	257.21	ACR|DCR|3VULN|1TLV|1CDMG	145VULN|25BEXP|36RCR|5BPWR|7MDPS|8CDMG|9TLV|aZMB
36	22115 33132	   	257.21	ACR|DCR|3VULN|1TLV|1CDMG	145VULN|25BEXP|36RCR|5BPWR|7MDPS|8CDMG|9TLV|aLHND
37	22115 33134	   	257.21	ACR|DCR|3VULN|1TLV|1CDMG	145VULN|25BEXP|36RCR|5BPWR|7MDPS|8CDMG|9TLV|aLWND
38	22115 33135	   	257.21	ACR|DCR|3VULN|1TLV|1CDMG	145VULN|25BEXP|36RCR|5BPWR|7MDPS|8CDMG|9TLV|aLIT
39	22115 35632	   	257.21	ACR|DCR|3VULN|1TLV|1AART	145VULN|25BEXP|36RCR|5BPWR|7ZMB|8AART|9BBNT|aTLV
40	22115 36254	   	257.21	ACR|DCR|3VULN|1TLV|1AAC	145VULN|259BEXP|36RCR|5BPWR|7MBVNT|8TLV|aAAC
41	22115 36273	   	257.21	ACR|DCR|3VULN|1TLV|1AAC	145VULN|25BEXP|36RCR|5BPWR|7MBVNT|8TLV|9ZMB|aAAC
42	22115 36274	   	257.21	ACR|DCR|3VULN|1TLV|1AART	145VULN|25BEXP|36RCR|5BPWR|7MBVNT|8TLV|9ZMB|aAART
43	22115 36282	   	257.21	ACR|DCR|3VULN|1TLV|1DUR	145VULN|25BEXP|36RCR|5BPWR|7MBVNT|8TLV|9LWND|aDUR
44	24115 32222	   	257.21	ACR|DCR|3VULN|1TLV|1DUR	145VULN|25LWND|36RCR|5BPWR|7DUST|8TLV|9BEXP|aDUR
45	24115 33131	   	257.21	ACR|DCR|3VULN|1TLV|1CDMG	145VULN|25LWND|36RCR|5BPWR|7MDPS|8CDMG|9TLV|aZMB
