0	Index      	 *	Score 	Summary	Detail	
1	31235 15133	 * 	388.19	DCR|2VULN|1MDPS|2TLV|1DUR|1AART	17VULN|2BEXP|378MLV|47TLV|5AART|6RCR|7BPWR|9DUR|aMDPS
2	32266 34132	 * 	371.20	DCR|2VULN|1MDPS|2CDMG|1DUR	18VULN|2BOSS|3RAT|48BEXP|5AETHUN|68CDMG|7RCR|8BPWR|9DUR|aMDPS
3	32246 34132	   	371.00	DCR|2VULN|1MDPS|2CDMG|1DUR	18VULN|2BOSS|3RAT|48DUST|5AETHUN|68CDMG|7RCR|8BPWR|9DUR|aMDPS
4	52433 21228	 * 	363.56	DCR|2VULN|1MDPS|2DUR|1DMG	1RMIN|2TBNT|35VULN|45DUR|5BPWR|6MBVNT|7AEPOI|8RCR|9DMG|aMDPS
5	32611 21563	   	358.64	DCR|2VULN|1MDPS|1CDMG|1DUR	13VULN|2BOSS|4ZMB|5DUR|6RCVC|7CDMG|8RCR|9LWND|aMDPS
6	32611 21523	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	13VULN|2BOSS|4ZMB|5DUR|6RCVC|7CDMG|8RCR|9AME|aMDPS
7	32611 21533	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR|1MSE	13VULN|2BOSS|4ZMB|5DUR|6RCVC|7CDMG|8RCR|9MSE|aMDPS
8	32611 31563	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	13VULN|2BOSS|4ZMB|5DUR|6AEPOI|7CDMG|8RCR|9LWND|aMDPS
9	36411 13125	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	18VULN|25LWND|3CDMG|4CANTOX|6RCR|7DUR|9CGEN|aMDPS
10	36411 13135	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	18VULN|25LWND|3CDMG|4CANTOX|6RCR|7DUR|9ZMB|aMDPS
11	32611 31523	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	13VULN|2BOSS|4ZMB|5DUR|6AEPOI|7CDMG|8RCR|9AME|aMDPS
12	32611 31533	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR|1MSE	13VULN|2BOSS|4ZMB|5DUR|6AEPOI|7CDMG|8RCR|9MSE|aMDPS
13	36411 13116	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	18VULN|25LWND|3CDMG|4CANTOX|6RCR|7DUR|9AEPOI|aMDPS
