0	Index      	 *	Score 	Summary	Detail	
1	24121 21451	 * 	396.19	DCR|2VULN|1MDPS|2DMG|1CDMG|1DUR	1DUR|25DMG|3CDMG|46VULN|7FEWX|8AETHUN|9RCR|aMDPS
2	51442 32133	 * 	385.65	2MDPS|2VULN|1CDMG|1TLV|1DMG|1DUR	1MLV|2LIT|35VULN|4DMG|6TLV|7CDMG|8DUR|9aMDPS
3	24126 32411	   	378.51	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1DUR|2DMG|3CDMG|48VULN|5LEGI|6BEXP|7RCR|9AEWIND|aMDPS
4	24126 32431	   	378.51	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1DUR|2DMG|3CDMG|48VULN|5LEGI|6BEXP|7RCR|9BBNT|aMDPS
5	24126 32631	   	378.51	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1DUR|2DMG|3CDMG|49VULN|5LEGI|6BEXP|7RCR|8TBNT|aMDPS
6	14126 12411	   	378.41	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1DUST|2DMG|3CDMG|48VULN|5LEGI|6DUR|7RCR|9AEWIND|aMDPS
7	14126 12431	   	378.41	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1DUST|2DMG|3CDMG|48VULN|5LEGI|6DUR|7RCR|9BBNT|aMDPS
8	14126 12631	   	378.41	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1DUST|2DMG|3CDMG|49VULN|5LEGI|6DUR|7RCR|8TBNT|aMDPS
9	24124 41233	   	371.90	2MDPS|2VULN|1CDMG|2DUR|1DMG	18DUR|2DMG|3CDMG|46VULN|5BOSS|7LWND|9aMDPS
10	42123 32451	 * 	371.10	DCR|2VULN|1MDPS|2CDMG|1DUR	1ZMB|2LHND|39CDMG|48VULN|5DUR|6BEXP|7RCR|aMDPS
11	53123 32451	   	371.10	DCR|2VULN|1MDPS|2CDMG|1DUR	1MLV|2FEWX|39CDMG|48VULN|5DUR|6BEXP|7RCR|aMDPS
12	26123 21451	   	370.90	DCR|2VULN|1MDPS|1CDMG|2DUR	15DUR|2ASPD|3CDMG|46VULN|7FEWX|8AETHUN|9RCR|aMDPS
13	22151 25351	   	369.66	DCR|2VULN|1MDPS|2DUR|1TLV|1SELL	17DUR|2LHND|3RMIN|47VULN|5SELL|67ERES|7BPWR|8TLV|9RCR|aMDPS
14	23151 25351	   	369.66	DCR|2VULN|1MDPS|2DUR|1TLV|1SELL	17DUR|2BEXP|3RMIN|47VULN|5SELL|67ERES|7BPWR|8TLV|9RCR|aMDPS
15	12351 12461	   	369.56	DCR|2VULN|1MDPS|2DUR|1TLV|1SELL	1DUST|2LHND|38VULN|4TLV|5SELL|69DUR|7RCR|aMDPS
16	24121 13351	   	368.73	DCR|1MDPS|1VULN|2DMG|1CDMG|1TLV|1DUR	1DUR|25DMG|3CDMG|4VULN|6ERES|7LHND|8TLV|9RCR|aMDPS
