0	Index      	 *	Score 	Summary	Detail	
1	26125 53331	 * 	381.25	DCR|4VULN|1MDPS|2TLV|3DUR	157DUR|2AAC|347aVULN|67TLV|7BPWR|8MDPS|9RCR
2	22142 33321	 * 	379.77	2MDPS|3VULN|3DUR	137DUR|27LWND|467VULN|5DMSP|7BPWR|8aMDPS|9RAT
3	23142 33321	   	379.77	2MDPS|3VULN|3DUR	137DUR|27LHND|467VULN|5DMSP|7BPWR|8aMDPS|9RAT
4	25511 33321	   	379.67	2MDPS|3VULN|3DUR	137DUR|2AEPOI|467VULN|57FEWX|7BPWR|8aMDPS|9RAT
5	25514 33321	   	379.67	2MDPS|3VULN|3DUR	137DUR|2AEPOI|467VULN|57BEXP|7BPWR|8aMDPS|9RAT
6	21125 13331	 * 	375.80	DCR|4VULN|1MDPS|3DUR|2DMG	157DUR|2CGEN|347aVULN|67DMG|7BPWR|8MDPS|9RCR
7	21122 26522	 * 	372.19	DCR|2VULN|1MDPS|1CDMG|1DUR|1AART	1DUR|2CGEN|34VULN|5ZMB|6CDMG|7AME|8RCR|9AART|aMDPS
8	21121 26522	   	372.09	DCR|2VULN|1MDPS|1CDMG|1DUR|1AART	1DUR|2CGEN|34VULN|5NUKE|6CDMG|7AME|8RCR|9AART|aMDPS
9	21121 31516	   	369.22	2MDPS|3VULN|1DUR|1AART	1DUR|2CGEN|346VULN|5NUKE|7AART|8aMDPS|9RPLT
10	22142 31441	   	368.79	DCR|2VULN|1MDPS|3DUR|1AART	138DUR|2LWND|46VULN|5DMSP|7AART|9RCR|aMDPS
11	23142 31441	   	368.79	DCR|2VULN|1MDPS|3DUR|1AART	138DUR|2LHND|46VULN|5DMSP|7AART|9RCR|aMDPS
12	22245 33321	   	368.32	2MDPS|3VULN|2DUR	17DUR|257LWND|3DMSP|467VULN|7BPWR|8aMDPS|9RAT
13	25345 33321	   	368.22	2MDPS|3VULN|2DUR	17DUR|2AEPOI|357LWND|467VULN|7BPWR|8aMDPS|9RAT
14	12251 54312	   	364.86	DCR|2VULN|1MDPS|1DMG|1DUR|1AART	1TBNT|2DMG|3AART|46VULN|5AAC|7RAT|8RCR|9DUR|aMDPS
15	12255 12221	   	364.86	DCR|2VULN|1MDPS|1DMG|1DUR|1AART	1TBNT|2DMG|3AART|47VULN|5DUR|6BEXP|8RCR|9CGEN|aMDPS
16	12255 12241	   	364.86	DCR|2VULN|1MDPS|1DMG|1DUR|1AART	1TBNT|2DMG|3AART|47VULN|5DUR|6BEXP|8RCR|9RMIN|aMDPS
17	52255 12221	   	364.86	DCR|2VULN|1MDPS|1DMG|1DUR|1AART	1BBNT|2DMG|3AART|47VULN|5DUR|6BEXP|8RCR|9CGEN|aMDPS
18	12255 22221	   	364.76	DCR|2VULN|1MDPS|1DMG|1DUR|1AART	1TBNT|2DMG|3AART|47VULN|5DUR|6DUST|8RCR|9CGEN|aMDPS
19	12255 22241	   	364.76	DCR|2VULN|1MDPS|1DMG|1DUR|1AART	1TBNT|2DMG|3AART|47VULN|5DUR|6DUST|8RCR|9RMIN|aMDPS
20	52255 22221	   	364.76	DCR|2VULN|1MDPS|1DMG|1DUR|1AART	1BBNT|2DMG|3AART|47VULN|5DUR|6DUST|8RCR|9CGEN|aMDPS
21	21125 13334	 * 	364.18	DCR|3VULN|1MDPS|3DUR|2DMG|1CDMG	157DUR|2CGEN|347VULN|67DMG|7BPWR|8MDPS|9RCR|aCDMG
22	26125 13121	 * 	363.09	3VULN|1MDPS|3DUR|2DMG|1TLV	157DUR|2AAC|347VULN|67DMG|7BPWR|8TLV|9RAT|aMDPS
