0	Index      	 *	Score 	Summary	Detail	
1	53231 22563	 * 	294.51	DCR|2TLV|2VULN|2DMG|1AEFBLL	1BEXP|2aDMG|37TLV|4ZMB|5aVULN|6AEFBLL|8RCR|9aLHND|aBPWR
2	12243 33684	 * 	292.10	DCR|3VULN|2TLV|2DMG	1RPLT|2BELT|39DMG|4LWND|59TLV|6MBVNT|79aVULN|8RCR|9BPWR
3	23133 35313	 * 	288.87	DCR|3VULN|1TLV|1DMG|1AEPOI|1CDMG	1LWND|2DMG|3CDMG|456VULN|7TLV|8ZMB|9RCR|aAEPOI
4	14412 33141	   	287.90	DCR|2TLV|2VULN|2DMG|1ASPD	1RPLT|2aTLV|35VULN|4aBLASTR|6RAT|7ASPD|8RCR|9aDMG|aBPWR
5	22131 41476	 * 	286.35	DCR|DCR|2TLV|2VULN|1MSE	19LWND|2MSE|3MBVNT|49VULN|5CGEN|6TSLHEL|7aRCR|89TLV|9BPWR
6	63253 22613	 * 	283.98	DCR|3VULN|2TLV|1AEPOI|1DUR	1AEWIND|2DUR|347VULN|56TLV|8RPLT|9RCR|aAEPOI
7	63253 22133	   	283.88	DCR|3VULN|2TLV|1DMG|1DUR	1AEWIND|2DUR|347VULN|56TLV|8DMG|9MDPS|aRCR
8	63253 12133	 * 	277.74	DCR|3VULN|1TLV|1AEFBLL|1DMG|1DUR	1AEWIND|2DUR|347VULN|5TLV|6AEFBLL|8DMG|9MDPS|aRCR
9	13433 33515	 * 	277.10	DCR|5VULN|1TLV|1DUR	1RPLT|2AEFRZ|3TLV|45678VULN|9DUR|aRCR
10	53231 22541	   	276.73	DCR|2TLV|2VULN|1AEFBLL|1DMG	1BEXP|2DMG|37TLV|4ZMB|59VULN|6AEFBLL|8RCR|aFEWX
11	53231 22542	   	276.73	DCR|2TLV|2VULN|1AEFBLL|1DMG	1BEXP|2DMG|37TLV|4ZMB|59VULN|6AEFBLL|8RCR|aCGEN
12	53231 22543	   	276.73	DCR|2TLV|2VULN|1AEFBLL|1DMG	1BEXP|2DMG|37TLV|4ZMB|59VULN|6AEFBLL|8RCR|aMLV
13	31521 61242	 * 	275.15	DCR|DCR|2VULN|1TLV	1AIRHEL|2aVULN|3MDPS|4LWND|5AAC|6BEXP|7TLV|89RCR
