0	Index      	 *	Score 	Summary	Detail	
1	33615 22323	 * 	313.34	ACR|3TLV|2VULN|1DMG|1AEPOI|2DUR|1AART	18DUR|2LHND|3RCR|458TLV|6AART|78VULN|8BPWR|9DMG|aAEPOI
2	23614 52333	 * 	312.27	ACR|3VULN|2TLV|2DMG|1AEFBLL	179VULN|256LHND|3RCR|49TLV|89DMG|9BPWR|aAEFBLL
3	23614 62333	   	312.27	ACR|3VULN|2TLV|2DMG|1AEFBLL	179VULN|25LHND|3RCR|49TLV|6RCVC|89DMG|9BPWR|aAEFBLL
4	23611 53362	   	311.01	ACR|3VULN|2TLV|2DMG|2DUR	18aVULN|28LHND|3RCR|4aTLV|5AME|6DLOT|78DMG|8aBPWR|9aDUR
5	23612 53362	   	311.01	ACR|3VULN|2TLV|2DMG|2DUR	18aVULN|28LHND|3RCR|4aTLV|5CGEN|6DLOT|78DMG|8aBPWR|9aDUR
6	23613 53362	   	310.91	ACR|3VULN|2TLV|2DMG|2DUR	18aVULN|28LHND|3RCR|4aTLV|5ERES|6DLOT|78DMG|8aBPWR|9aDUR
7	23611 22115	 * 	308.96	ACR|DCR|2VULN|1TLV|1DMG|1ASPD	19VULN|2LHND|3aRCR|4TLV|5AME|6DMG|7DUST|8ASPD
8	23613 22115	   	308.86	ACR|DCR|2VULN|1TLV|1DMG|1ASPD	19VULN|2LHND|3aRCR|4TLV|5ERES|6DMG|7DUST|8ASPD
9	33615 22362	 * 	306.61	ACR|3TLV|3VULN|3DUR|1AART	189DUR|29LHND|3RCR|458TLV|6AART|789VULN|89BPWR|aAAC
10	33615 22361	   	306.51	ACR|3TLV|3VULN|3DUR|1AART|1MSE	189DUR|29LHND|3RCR|458TLV|6AART|789VULN|89BPWR|aMSE
11	33615 22363	   	306.51	ACR|3TLV|3VULN|3DUR|1AART	189DUR|29LHND|3RCR|458TLV|6AART|789VULN|89BPWR|aERES
12	23611 22145	 * 	305.31	ACR|DCR|2TLV|1VULN|1DMG|1ASPD	1VULN|2LHND|3aRCR|49TLV|5AME|6DMG|7DUST|8ASPD
13	33631 26115	   	305.07	ACR|DCR|2VULN|1TLV|1DMG	1DUR|2LHND|3aRCR|4AAC|5AME|6DMG|7TLV|89VULN
14	33614 22311	   	299.69	ACR|2TLV|2VULN|1DMG|1AEPOI|2DUR|1AART	18DUR|25LHND|3RCR|48TLV|6AART|78VULN|8BPWR|9DMG|aAEPOI
15	33614 22351	   	297.91	ACR|3VULN|2TLV|2DUR|1CDMG|1AART	18DUR|25LHND|3RCR|48TLV|6AART|789VULN|8BPWR|aCDMG
16	25214 42333	 * 	296.77	DCR|3VULN|2TLV|2DMG|1AEFBLL|4MSE	159VULN|2345MSE|59BPWR|6RCR|79TLV|89DMG|aAEFBLL
17	23611 42215	   	295.31	ACR|DCR|2VULN|1TLV|1DMG	19VULN|2LHND|3aRCR|4TLV|5AME|6AAC|7DUST|8DMG
18	23612 42215	   	295.31	ACR|DCR|2VULN|1TLV|1DMG	19VULN|2LHND|3aRCR|4TLV|5CGEN|6AAC|7DUST|8DMG
19	23613 42215	   	295.21	ACR|DCR|2VULN|1TLV|1DMG	19VULN|2LHND|3aRCR|4TLV|5ERES|6AAC|7DUST|8DMG
20	63615 22323	   	294.64	ACR|3TLV|2VULN|1DMG|1AEPOI|1AART	18BEXP|2LHND|3RCR|458TLV|6AART|78VULN|8BPWR|9DMG|aAEPOI
21	23611 24115	   	293.76	ACR|DCR|2VULN|1TLV|1DMG|1ASPD|1MSE	19VULN|2LHND|3aRCR|4TLV|5AME|6DMG|7MSE|8ASPD
22	25611 22115	   	293.66	ACR|DCR|2VULN|1TLV|1DMG|1ASPD|1MSE	19VULN|2MSE|3aRCR|4TLV|5AME|6DMG|7DUST|8ASPD
