0	Index      	 *	Score 	Summary	Detail	
1	43421 35112	 * 	285.90	DCR|3VULN|2TLV|1CDMG|1AART|1SELL	1aLWND|2SELL|3AART|48aVULN|5ZMB|6RCR|7CDMG|9aTLV|aBPWR
2	11234 16136	 * 	273.14	DCR|2TLV|2VULN|1AEBURN|1ASPD|1DUR	1LIT|29BEXP|3AEBURN|4DUR|59VULN|6DUST|79TLV|8RCR|9BPWR|aASPD
3	22235 31211	 * 	270.21	DCR|2TLV|2VULN|1AEPOI|1CDMG	1MGNSTR|2AEPOI|3CDMG|4RAT|5LIT|6aTLV|7RCR|89VULN
4	13254 16131	   	268.53	DCR|2TLV|2VULN|1AEBURN|2DUR	1LIT|29DUR|3AEBURN|4FEWX|59VULN|6DUST|79TLV|8RCR|9BPWR|aRCVC
5	13254 16133	   	268.53	DCR|2TLV|2VULN|1AEBURN|2DUR	1LIT|29DUR|3AEBURN|4FEWX|59VULN|6DUST|79TLV|8RCR|9BPWR|aLWND
6	13254 16132	   	268.43	DCR|2TLV|2VULN|1AEBURN|2DUR	1LIT|29DUR|3AEBURN|4FEWX|59VULN|6DUST|79TLV|8RCR|9BPWR|aAETHUN
7	11234 16135	   	266.42	DCR|2TLV|2VULN|1AEBURN|1DUR	1LIT|29BEXP|3AEBURN|4DUR|59VULN|6DUST|79TLV|8RCR|9BPWR|aRAT
8	43421 35312	   	264.50	DCR|2TLV|2VULN|1CDMG|1AART|2ZMB|1SELL	1aLWND|2SELL|3AART|4aVULN|58ZMB|6RCR|7CDMG|9aTLV|aBPWR
9	13411 26136	 * 	264.11	DCR|3VULN|2TLV|1DUR	169LIT|2DUR|39aVULN|4DUST|5FEWX|79TLV|8RCR|9BPWR
10	13412 26136	   	264.11	DCR|3VULN|2TLV|1DUR	159LIT|2DUR|39aVULN|4DUST|6FEWX|79TLV|8RCR|9BPWR
11	13411 66131	   	264.11	DCR|3VULN|2TLV|1DUR	19LIT|2DUR|369VULN|4DUST|5FEWX|79TLV|8RCR|9BPWR|aRCVC
12	13411 66133	   	264.11	DCR|3VULN|2TLV|1DUR	19LIT|2DUR|369VULN|4DUST|5FEWX|79TLV|8RCR|9BPWR|aLWND
13	13411 66132	   	264.01	DCR|3VULN|2TLV|1DUR	19LIT|2DUR|369VULN|4DUST|5FEWX|79TLV|8RCR|9BPWR|aAETHUN
14	15221 22136	   	262.11	DCR|2TLV|2VULN|2DUR|1ASPD	19LIT|27VULN|39TLV|4FEWX|5DUST|69DUR|8RCR|9BPWR|aASPD
15	15261 22136	   	262.11	DCR|2TLV|2VULN|2DUR|1ASPD	19LIT|27VULN|39TLV|4BEXP|5DUST|69DUR|8RCR|9BPWR|aASPD
16	22235 31335	 * 	261.94	DCR|DCR|1TLV|1AEPOI|1ASPD|1CDMG	1MGNSTR|2AEPOI|3CDMG|4RAT|5LIT|6TLV|7aRCR|8ASPD|9LHND
17	13234 26131	 * 	260.82	DCR|2TLV|1VULN|3DUR|1AEBURN|1CDMG	19LIT|249DUR|3AEBURN|5MDPS|6VULN|79TLV|8RCR|9BPWR|aCDMG
18	41261 11215	   	259.74	DCR|3VULN|1TLV|1CDMG|1AART	1LWND|2CGEN|349VULN|5RAT|6CDMG|7TLV|8AART|aRCR
19	11234 16131	   	259.48	DCR|2TLV|2VULN|1AEBURN|1DUR	1LIT|29BEXP|3AEBURN|4DUR|59VULN|6DUST|79TLV|8RCR|9BPWR|aRCVC
20	11234 16133	   	259.48	DCR|2TLV|2VULN|1AEBURN|1DUR	1LIT|29BEXP|3AEBURN|4DUR|59VULN|6DUST|79TLV|8RCR|9BPWR|aLWND
21	34234 26131	   	259.48	DCR|2TLV|2VULN|1AEBURN|1DUR	1DUST|29LIT|3AEBURN|4DUR|59VULN|6FEWX|79TLV|8RCR|9BPWR|aRCVC
22	34234 26133	   	259.48	DCR|2TLV|2VULN|1AEBURN|1DUR	1DUST|29LIT|3AEBURN|4DUR|59VULN|6FEWX|79TLV|8RCR|9BPWR|aLWND
23	11234 16132	   	259.38	DCR|2TLV|2VULN|1AEBURN|1DUR	1LIT|29BEXP|3AEBURN|4DUR|59VULN|6DUST|79TLV|8RCR|9BPWR|aAETHUN
24	11234 16134	   	259.38	DCR|2TLV|2VULN|1AEBURN|1DUR	1LIT|29BEXP|3AEBURN|4DUR|59VULN|6DUST|79TLV|8RCR|9BPWR|aERES
25	15235 32133	 * 	259.38	DCR|2TLV|2VULN|1DMG|1DUR	1LIT|26VULN|3aTLV|4LWND|5AME|7DUR|8RCR|9DMG
26	34234 26132	   	259.38	DCR|2TLV|2VULN|1AEBURN|1DUR	1DUST|29LIT|3AEBURN|4DUR|59VULN|6FEWX|79TLV|8RCR|9BPWR|aAETHUN
27	13265 51133	   	259.04	DCR|2TLV|2VULN|1AEBURN|1DUR|1SELL	1LIT|2DUR|3AEBURN|46VULN|5SELL|7ERES|8RCR|9aTLV
28	25126 31213	 * 	258.30	DCR|DCR|2TLV|1CDMG|1AART	1MGNSTR|2SPLJET|3AART|4aTLV|5SPLARM|69RCR|7BEXP|8CDMG
29	25126 35213	   	258.30	DCR|DCR|2TLV|1CDMG|1AART	1MGNSTR|2SPLJET|3AART|4aTLV|5SPLARM|69RCR|7LHND|8CDMG
30	15411 32142	 * 	257.87	DCR|3VULN|1TLV|1AEPOI|1DUR	15LIT|235VULN|4AETHUN|5BPWR|6FEWX|7DUR|8RCR|9TLV|aAEPOI
