0	Index      	 *	Score 	Summary	Detail	
1	66232 22351	 * 	306.94	ACR|DCR|2VULN|1TLV|1ASPD|1AART	14VULN|2CGEN|3aRCR|5RAT|6TLV|7AART|8MLV|9ASPD
2	63213 34632	 * 	306.33	DCR|4VULN|2TLV|1ASPD|2ZMB	126aVULN|26BPWR|3RAT|4ASPD|56ZMB|7RCR|89TLV
3	41233 63431	   	300.89	ACR|DCR|2VULN|1TLV|2DUR	17DUR|2AAC|36RCR|4aVULN|5MGNSTR|8TLV|9RAT
4	63213 34612	   	300.19	DCR|4VULN|1TLV|1AEFBLL|1ASPD|2ZMB	126aVULN|26BPWR|3RAT|4ASPD|56ZMB|7RCR|8TLV|9AEFBLL
5	61211 24222	   	295.91	ACR|DCR|2VULN|1TLV|1AART	17VULN|2AAC|3aRCR|4NUKE|5AART|6TLV|8DUR|9FEWX
6	61233 52623	   	295.84	ACR|DCR|2VULN|1TLV|1ASPD	14VULN|2AAC|3aRCR|5MGNSTR|6FLTHEA|7ASPD|8BELT|9TLV
7	61211 24212	   	295.81	ACR|DCR|2VULN|1TLV|1AART	17VULN|2AAC|3aRCR|4NUKE|5AART|6TLV|8DUR|9DUST
8	63213 34631	   	294.94	DCR|3VULN|2TLV|1ASPD|2ZMB	126VULN|26BPWR|3RAT|4ASPD|56ZMB|7RCR|89TLV|aNUKE
9	66232 22331	   	293.29	ACR|DCR|2VULN|1TLV|1AART	14VULN|2CGEN|3aRCR|5RAT|6TLV|7AART|8MLV|9AAC
10	61262 32611	   	293.19	ACR|DCR|2VULN|1TLV|1AART	15VULN|2AAC|3aRCR|4ERES|6RAT|7AART|8TLV|9CGEN
11	66232 22138	 * 	292.66	ACR|3TLV|3VULN|2RAT|1AART	14aVULN|2CGEN|3RCR|5aRAT|69aTLV|7AART|8MBVNT|aBPWR
12	61211 23222	 * 	292.26	ACR|DCR|2TLV|1VULN|1AART	1VULN|2AAC|3aRCR|4NUKE|5AART|67TLV|8DUR|9FEWX
13	61211 23212	   	292.16	ACR|DCR|2TLV|1VULN|1AART	1VULN|2AAC|3aRCR|4NUKE|5AART|67TLV|8DUR|9DUST
14	41233 63411	   	290.20	ACR|DCR|2TLV|1VULN|2DUR	17DUR|2AAC|36RCR|4VULN|5MGNSTR|8aTLV|9AETHUN
15	63213 34611	   	288.80	DCR|3VULN|1TLV|1AEFBLL|1ASPD|2ZMB	126VULN|26BPWR|3RAT|4ASPD|56ZMB|7RCR|8TLV|9AEFBLL|aNUKE
