0	Index      	 *	Score 	Summary	Detail	
1	15113 36162	 * 	303.77	DCR|DCR|2VULN|2DMG|1MLV|1SELL	19VULN|2SELL|3FRZICY|49DMG|59LIT|6BBNT|78RCR|9BPWR|aMLV
2	15113 36161	 * 	286.23	DCR|DCR|2VULN|2DMG|1SELL	19VULN|2SELL|3FRZICY|49DMG|59aLIT|6BBNT|78RCR|9BPWR
3	15113 36163	 * 	286.23	DCR|DCR|2VULN|2DMG|1SELL	19VULN|2SELL|3FRZICY|49DMG|59LIT|6BBNT|78RCR|9BPWR|aTLV
4	15113 36117	 * 	286.13	DCR|DCR|2VULN|2DMG|1SELL	1aVULN|2SELL|3FRZICY|4aDMG|5aLIT|6BBNT|78RCR|9MBVNT|aBPWR
5	16313 36162	 * 	286.02	DCR|DCR|2VULN|2CDMG|1MLV	19VULN|2NUKE|3LIT|49CDMG|59MGNSTR|6BBNT|78RCR|9BPWR|aMLV
6	15113 36126	   	283.50	DCR|DCR|2VULN|1DMG|2DUR|1SELL	1aVULN|2SELL|3aFRZICY|4DMG|5LIT|6BBNT|78RCR|9aDUR|aBPWR
7	16633 62223	   	276.80	DCR|DCR|2VULN|1DMG	15VULN|2NUKE|3DUR|4DMG|6MDPS|7AAC|8LWND|9aRCR
8	16633 62323	   	276.80	DCR|DCR|2VULN|1DMG	15VULN|2NUKE|3DUR|4DMG|6MDPS|7AAC|8LHND|9aRCR
9	33214 22412	 * 	275.73	DCR|DCR|2DMG|1VULN|1MLV	12FEWX|35DMG|4MLV|6TBNT|79RCR|8VULN|aLIT
10	33214 22413	   	275.73	DCR|DCR|2DMG|1VULN|1MLV	12FEWX|35DMG|4MLV|6TBNT|79RCR|8VULN|aLHND
11	33214 22415	   	275.73	DCR|DCR|2DMG|1VULN|1MLV	12FEWX|35DMG|4MLV|6TBNT|79RCR|8VULN|aBBNT
12	33214 22411	   	275.63	DCR|DCR|2DMG|1VULN|1MLV	12FEWX|35DMG|4MLV|6TBNT|79RCR|8VULN|aLEGI
13	33214 22414	   	275.63	DCR|DCR|2DMG|1VULN|1MLV	12FEWX|35DMG|4MLV|6TBNT|79RCR|8VULN|aDUST
14	33214 22416	   	275.63	DCR|DCR|2DMG|1VULN|1MLV	12FEWX|35DMG|4MLV|6TBNT|79RCR|8VULN|aAME
