0	Index      	 *	Score 	Summary	Detail	
1	26523 31353	 * 	262.17	DCR|DCR|1VULN|1DMG|2DUR|1AART	1DMG|26DUR|3VULN|4AART|5TLV|7CGEN|8aRCR|9MDPS
2	22311 15653	 * 	259.47	ACR|DCR|2VULN|1DMG|2DUR|1AART	1DMG|2AART|39DUR|4aRCR|5MDPS|6FEWX|78VULN
3	26168 11232	 * 	257.59	DCR|3VULN|2DMG|2DUR|1ASPD|1CDMG	18DMG|28DUR|3MBVNT|4ASPD|5CDMG|68aVULN|7RCR|8BPWR|9RCVC
4	26168 11213	   	257.49	DCR|3VULN|2DMG|2DUR|1ASPD|1CDMG	18DMG|28DUR|3MBVNT|4ASPD|5CDMG|68aVULN|7RCR|8BPWR|9ERES
5	23111 43333	 * 	255.19	DCR|3VULN|2DMG|2ASPD|1CDMG	19DMG|2TLV|349VULN|5CGEN|6CDMG|79ASPD|8LEGI|9BPWR|aRCR
6	23113 43333	   	255.09	DCR|3VULN|2DMG|2ASPD|1CDMG	19DMG|2TLV|349VULN|5ERES|6CDMG|79ASPD|8LEGI|9BPWR|aRCR
7	23146 43333	   	255.09	DCR|3VULN|2DMG|2ASPD|1CDMG	19DMG|2TLV|359VULN|4ERES|6CDMG|79ASPD|8LEGI|9BPWR|aRCR
8	22311 15613	   	252.92	ACR|DCR|2VULN|1DMG|1AART	1DMG|2AART|3DUR|4aRCR|5MDPS|6FEWX|78VULN|9RCVC
9	22311 15663	   	252.92	ACR|DCR|2VULN|1DMG|1AART	1DMG|2AART|3DUR|4aRCR|5MDPS|69FEWX|78VULN
10	22311 55613	   	252.92	ACR|DCR|2VULN|1DMG|1AART	1DMG|2AART|3DUR|4aRCR|5MDPS|6LHND|78VULN|9RCVC
11	22311 15553	 * 	250.86	ACR|DCR|2DMG|1VULN|2DUR|1AART	18DMG|2AART|39DUR|4aRCR|5MDPS|6FEWX|7VULN
12	61222 33631	 * 	250.55	DCR|4VULN|3DMG	129LWND|3aLHND|4BBNT|59aDMG|689aVULN|7RCR|9aBPWR
13	62242 33631	   	250.55	DCR|4VULN|3DMG	139LWND|2BBNT|39aBPWR|4aLHND|59aDMG|689aVULN|7RCR
14	23111 65333	 * 	249.05	DCR|3VULN|2DMG|2CDMG|1ASPD	19DMG|2TLV|349VULN|5CGEN|6ASPD|79CDMG|8LEGI|9BPWR|aRCR
15	23113 65333	   	248.95	DCR|3VULN|2DMG|2CDMG|1ASPD	19DMG|2TLV|349VULN|5ERES|6ASPD|79CDMG|8LEGI|9BPWR|aRCR
16	52432 53243	 * 	248.58	DCR|DCR|1VULN|2AART|1ASPD	1RCVC|24AART|3BBNT|5LEGI|6MBVNT|7aRCR|8ASPD|9VULN
17	26168 11242	   	247.90	DCR|2VULN|2DMG|2ASPD|2DUR|1CDMG	18DMG|28DUR|3MBVNT|4aASPD|5CDMG|68VULN|7RCR|8BPWR|9BEXP
18	26168 11214	   	247.80	DCR|2VULN|2DMG|2ASPD|2DUR|1CDMG	18DMG|28DUR|3MBVNT|4aASPD|5CDMG|68VULN|7RCR|8BPWR|9ERES
19	23562 11343	   	247.42	DCR|DCR|1VULN|1DMG|1AART	1DMG|239TLV|4LWND|5VULN|6AART|7CGEN|8aRCR
20	21523 11353	   	247.32	DCR|DCR|1VULN|1DMG|1AART	1DMG|26FEWX|3VULN|4AART|5TLV|7CGEN|8aRCR|9MDPS
21	21523 61353	   	247.32	DCR|DCR|1VULN|1DMG|1AART	1DMG|2FEWX|3VULN|4AART|5TLV|6RCVC|7CGEN|8aRCR|9MDPS
22	23262 11353	   	247.32	DCR|DCR|1VULN|1DMG|1AART	1DMG|2TLV|34LHND|5VULN|6AART|7CGEN|8aRCR|9MDPS
23	23562 11353	   	247.32	DCR|DCR|1VULN|1DMG|1AART	1DMG|23TLV|4LWND|5VULN|6AART|7CGEN|8aRCR|9MDPS
24	23611 11353	   	247.32	DCR|DCR|1VULN|1DMG|1AART	1DMG|2TLV|36FEWX|4VULN|5AART|7CGEN|8aRCR|9MDPS
25	23611 61353	   	247.32	DCR|DCR|1VULN|1DMG|1AART	1DMG|2TLV|3FEWX|4VULN|5AART|6RCVC|7CGEN|8aRCR|9MDPS
26	61133 11353	   	247.32	DCR|DCR|1VULN|1DMG|1AART	12LWND|3VULN|4DMG|5TLV|6AART|7CGEN|8aRCR|9MDPS
27	21523 16353	   	247.22	DCR|DCR|1VULN|1DMG|1AART	1DMG|26FEWX|3VULN|4AART|5TLV|7ERES|8aRCR|9MDPS
28	23262 16353	   	247.22	DCR|DCR|1VULN|1DMG|1AART	1DMG|2TLV|34LHND|5VULN|6AART|7ERES|8aRCR|9MDPS
29	23611 16353	   	247.22	DCR|DCR|1VULN|1DMG|1AART	1DMG|2TLV|36FEWX|4VULN|5AART|7ERES|8aRCR|9MDPS
