0	Index      	 *	Score 	Summary	Detail	
1	52532 33173	 * 	297.73	DCR|DCR|3VULN|1MLV	1MLV|2MBVNT|3MDPS|47aVULN|5DUR|69RCR|8RMIN
2	11621 23662	 * 	292.00	DCR|DCR|2VULN|1DMG|1ASPD	15FEWX|2DMG|3AME|45VULN|5BPWR|6DMSP|7ASPD|89RCR|aRPLT
3	52222 43772	 * 	291.23	DCR|DCR|2VULN|2MLV	14MLV|2MBVNT|34AELOIC|4BPWR|56VULN|7FEWX|89RCR|aRPLT
4	52532 33174	   	283.93	DCR|DCR|2VULN|1MLV	1MLV|2MBVNT|3MDPS|47VULN|5DUR|69RCR|8RMIN|aAART
5	11621 23661	   	282.34	DCR|DCR|2VULN|1DMG|1ASPD	15FEWX|2DMG|3AME|45VULN|5BPWR|6DMSP|7ASPD|89RCR|aLHND
6	11621 23663	   	282.24	DCR|DCR|2VULN|1DMG|1ASPD	15FEWX|2DMG|3AME|45VULN|5BPWR|6DMSP|7ASPD|89RCR|aDUST
7	52222 43771	   	281.57	DCR|DCR|2VULN|2MLV	14MLV|2MBVNT|34AELOIC|4BPWR|56VULN|7FEWX|89RCR|aLHND
8	52222 43773	   	281.47	DCR|DCR|2VULN|2MLV	14MLV|2MBVNT|34AELOIC|4BPWR|56VULN|7FEWX|89RCR|aDUST
9	52222 43774	   	281.47	DCR|DCR|2VULN|2MLV	14MLV|2MBVNT|34AELOIC|4BPWR|56VULN|7FEWX|89RCR|aERES
10	52532 33171	   	274.27	DCR|DCR|2VULN|1MLV	1MLV|2MBVNT|3MDPS|47VULN|5DUR|69RCR|8RMIN|aLIT
11	52532 33172	   	274.27	DCR|DCR|2VULN|1MLV	1MLV|2MBVNT|3MDPS|47VULN|5DUR|69RCR|8RMIN|aCGEN
12	52532 31173	   	274.27	DCR|DCR|2VULN|1MLV	1MLV|2MBVNT|3MDPS|4aVULN|5DUR|69RCR|7RCVC|8RMIN
13	25252 22116	   	271.50	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1BLAICY|2DMG|3TBNT|4VULN|5DUST|6MSLFST|79RCR|8ASPD|aMLV
