0	Index      	 *	Score 	Summary	Detail	
1	23165 22142	 * 	285.80	DCR|DCR|3VULN|1DMG	1RCVC|236VULN|4LSRHEA|5DMG|7aRCR|89ERES
2	14212 36212	   	285.72	DCR|DCR|2VULN|1DMG|1ASPD	1DUR|2TLV|3DMG|48ERES|5ASPD|69RCR|7aVULN
3	23125 33356	   	285.26	DCR|DCR|3VULN|1AART|1RPLT	1RCVC|236VULN|4RPLT|5DUST|7aRCR|8BEXP|9AART
4	61236 23522	   	282.06	DCR|DCR|2VULN|2DUR|1ASPD|1RPLT	1RMIN|2AAC|36DUR|46VULN|5RPLT|6BPWR|7ASPD|8BLAICY|9aRCR
5	33225 51322	   	272.91	DCR|DCR|1VULN|1DMG|1MLV|1RPLT|1ZMB	1MLV|2RCVC|3DUR|4VULN|5ZMB|6DMG|7MULHEA|8RPLT|9aRCR
6	33225 53522	   	272.91	DCR|DCR|1VULN|1DMG|1MLV|1RPLT|1ZMB	1MLV|2RCVC|3DUR|4VULN|5ZMB|6DMG|7RPLT|8MGNSTR|9aRCR
7	16353 22613	   	272.40	DCR|DCR|2VULN|2DUR|1CDMG	1aDUR|2DLOT|3RMIN|4aLWND|5BASICY|69RCR|7CDMG|8aVULN|aBPWR
8	14212 35112	 * 	272.07	DCR|DCR|1VULN|2ASPD|1DMG	1DUR|2TLV|3DMG|4ERES|57ASPD|69RCR|8LWND|aVULN
9	14212 35412	   	272.07	DCR|DCR|1VULN|2ASPD|1DMG	1DUR|2TLV|3DMG|4ERES|57ASPD|69RCR|8LHND|aVULN
10	36162 36112	 * 	268.31	ACR|DCR|3VULN|1MLV|1ASPD	1MLV|2AAC|37aVULN|49RCR|5ASPD|6RMIN|8LWND
11	23121 63356	   	268.31	DCR|DCR|2VULN|2RPLT|1AART	1RCVC|23VULN|45RPLT|6DUST|7aRCR|8BEXP|9AART
12	61233 33522	   	268.31	DCR|DCR|2VULN|2DUR|1RPLT	1RMIN|2AAC|36DUR|46VULN|5NUKE|6BPWR|7RPLT|8BLAICY|9aRCR
