0	Index      	 *	Score 	Summary	Detail	
1	11332 54175	 * 	295.79	ACR|DCR|3VULN|2DMG|2DUR	16RCR|29DUR|3MBVNT|49DMG|5LIT|7LHND|89aVULN|9BPWR
2	32624 14332	 * 	294.47	DCR|DCR|2VULN|1MLV|2DUR|1ASPD	1ASPD|2BASHEA|37DUR|4MLV|56VULN|8DUST|9aRCR
3	33624 14332	   	294.47	DCR|DCR|2VULN|1MLV|2DUR|1ASPD	1ASPD|2CANSTR|37DUR|4MLV|56VULN|8DUST|9aRCR
4	51313 13135	 * 	291.76	DCR|DCR|1VULN|1DMG|2CDMG|1MLV|1ASPD	1CGEN|2BBNT|37CDMG|4VULN|5MLV|68RCR|9DMG|aASPD
5	56313 13135	   	291.76	DCR|DCR|1VULN|1DMG|2CDMG|1MLV|1ASPD	1CGEN|2TBNT|37CDMG|4VULN|5MLV|68RCR|9DMG|aASPD
6	11332 54172	   	289.86	ACR|DCR|2VULN|2DMG|1MLV|2DUR	16RCR|29DUR|3MBVNT|49DMG|5LIT|7LHND|89VULN|9BPWR|aMLV
7	11214 16235	   	289.14	ACR|DCR|3VULN|2DMG	17RCR|2DUR|389VULN|4BEXP|5TLV|6aDMG
8	11233 26633	   	289.04	ACR|DCR|3VULN|2DMG	19RCR|2DUR|35aVULN|46DMG|7LWND|8MDPS
9	36243 16132	   	288.12	DCR|DCR|2VULN|1MLV|1ASPD	1ASPD|24FEWX|34VULN|4BPWR|5MLV|6DUR|7CANARM|8RCVC|9aRCR
10	32624 13132	   	288.02	DCR|DCR|2VULN|1MLV|1ASPD	1ASPD|2BASHEA|3DUR|4MLV|56VULN|7BEXP|8RCVC|9aRCR
11	32624 13532	   	288.02	DCR|DCR|2VULN|1MLV|1ASPD	1ASPD|2BASHEA|3DUR|4MLV|56VULN|78BEXP|9aRCR
12	33624 13132	   	288.02	DCR|DCR|2VULN|1MLV|1ASPD	1ASPD|2CANSTR|3DUR|4MLV|56VULN|7BEXP|8RCVC|9aRCR
13	33624 13532	   	288.02	DCR|DCR|2VULN|1MLV|1ASPD	1ASPD|2CANSTR|3DUR|4MLV|56VULN|78BEXP|9aRCR
14	32624 11132	   	287.92	DCR|DCR|2VULN|1MLV|1ASPD	1ASPD|2BASHEA|3DUR|4MLV|56VULN|7DUST|8RCVC|9aRCR
15	33624 11132	   	287.92	DCR|DCR|2VULN|1MLV|1ASPD	1ASPD|2CANSTR|3DUR|4MLV|56VULN|7DUST|8RCVC|9aRCR
16	32624 11332	   	287.82	DCR|DCR|2VULN|1MLV|1ASPD	1ASPD|2BASHEA|3DUR|4MLV|56VULN|78DUST|9aRCR
17	32624 16332	   	287.82	DCR|DCR|2VULN|1MLV|1ASPD	1ASPD|2BASHEA|3DUR|4MLV|56VULN|7AELOIC|8DUST|9aRCR
18	33624 11332	   	287.82	DCR|DCR|2VULN|1MLV|1ASPD	1ASPD|2CANSTR|3DUR|4MLV|56VULN|78DUST|9aRCR
19	33624 16332	   	287.82	DCR|DCR|2VULN|1MLV|1ASPD	1ASPD|2CANSTR|3DUR|4MLV|56VULN|7AELOIC|8DUST|9aRCR
20	51313 13131	   	286.41	DCR|DCR|1VULN|1DMG|2CDMG|1MLV	1CGEN|2BBNT|37CDMG|4VULN|5MLV|68RCR|9DMG|aDUR
21	56313 13131	   	286.41	DCR|DCR|1VULN|1DMG|2CDMG|1MLV	1CGEN|2TBNT|37CDMG|4VULN|5MLV|68RCR|9DMG|aDUR
22	51313 13113	 * 	286.12	DCR|DCR|2VULN|2CDMG|1MLV	1CGEN|2BBNT|37CDMG|4aVULN|5MLV|68RCR|9TBNT
23	56313 13113	   	286.12	DCR|DCR|2VULN|2CDMG|1MLV	1CGEN|2TBNT|37CDMG|4aVULN|5MLV|68RCR|9BBNT
24	51313 11135	   	285.45	DCR|DCR|1VULN|1DMG|1MLV|1ASPD|1CDMG	17CGEN|2BBNT|3CDMG|4VULN|5MLV|68RCR|9DMG|aASPD
25	56313 11135	   	285.45	DCR|DCR|1VULN|1DMG|1MLV|1ASPD|1CDMG	17CGEN|2TBNT|3CDMG|4VULN|5MLV|68RCR|9DMG|aASPD
26	51313 13132	 * 	284.15	DCR|DCR|1VULN|3CDMG|1DMG|1MLV	1CGEN|2BBNT|37aCDMG|4VULN|5MLV|68RCR|9DMG
27	56313 13132	   	284.15	DCR|DCR|1VULN|3CDMG|1DMG|1MLV	1CGEN|2TBNT|37aCDMG|4VULN|5MLV|68RCR|9DMG
28	43133 34432	 * 	283.94	DCR|DCR|2DMG|1VULN|1MLV	1RCVC|2VULN|38DMG|4LSRHEA|5MLV|6BEXP|7DUR|9aRCR
29	43133 53432	   	283.94	DCR|DCR|2DMG|1VULN|1MLV	1RCVC|2VULN|38DMG|4LSRHEA|5MLV|6DUR|7BEXP|9aRCR
30	43133 22432	   	283.84	DCR|DCR|2DMG|1VULN|1MLV	1RCVC|2VULN|38DMG|4LSRHEA|5MLV|6DUST|7DUR|9aRCR
31	43133 51432	   	283.84	DCR|DCR|2DMG|1VULN|1MLV	1RCVC|2VULN|38DMG|4LSRHEA|5MLV|6DUR|7DUST|9aRCR
32	11214 16135	 * 	281.33	ACR|DCR|2VULN|3DMG	17RCR|2DUR|39VULN|4BEXP|5TLV|68aDMG
33	11214 16233	   	281.22	ACR|DCR|3VULN|1DMG	17RCR|2DUR|389VULN|4BEXP|5TLV|6DMG|aAART
34	11254 16233	   	281.22	ACR|DCR|3VULN|1DMG	17RCR|2DUR|389VULN|4LHND|5TLV|6DMG|aAART
35	11266 16233	   	281.22	ACR|DCR|3VULN|1DMG	17RCR|2DUR|389VULN|4RMIN|5LWND|6DMG|aAART
36	11663 16233	   	281.22	ACR|DCR|3VULN|1DMG	17RCR|2DUR|3LWND|4RMIN|589VULN|6DMG|aAART
37	11236 36233	   	281.12	ACR|DCR|3VULN|1DMG	17RCR|2DUR|389VULN|4DMG|5LWND|6ERES|aAART
38	11633 36233	   	281.12	ACR|DCR|3VULN|1DMG	17RCR|2DUR|3LWND|4DMG|589VULN|6ERES|aAART
39	51313 11131	   	280.10	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	17CGEN|2BBNT|3CDMG|4VULN|5MLV|68RCR|9DMG|aDUR
40	56313 11131	   	280.10	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	17CGEN|2TBNT|3CDMG|4VULN|5MLV|68RCR|9DMG|aDUR
41	51313 11113	   	279.81	DCR|DCR|2VULN|1MLV|1CDMG	17CGEN|2BBNT|3CDMG|4aVULN|5MLV|68RCR|9TBNT
42	56313 11113	   	279.81	DCR|DCR|2VULN|1MLV|1CDMG	17CGEN|2TBNT|3CDMG|4aVULN|5MLV|68RCR|9BBNT
43	36212 54232	   	279.71	DCR|DCR|2VULN|1MLV|1ASPD	1ASPD|24FEWX|36VULN|5LHND|7MLV|8FLTFST|9aRCR
44	11332 58322	   	279.23	ACR|DCR|2VULN|2DMG|1CDMG	16RCR|2DUR|3MBVNT|4aDMG|5LIT|79VULN|8CDMG
45	11341 58322	   	279.23	ACR|DCR|2VULN|2DMG|1CDMG	16RCR|2DUR|3MBVNT|4LIT|5aDMG|79VULN|8CDMG
46	11341 54175	   	278.20	ACR|DCR|3VULN|1DMG|2DUR	16RCR|29DUR|3MBVNT|49LIT|5DMG|7LHND|89aVULN|9BPWR
47	51313 11132	   	278.11	DCR|DCR|1VULN|1DMG|2CDMG|1MLV	17CGEN|2BBNT|3aCDMG|4VULN|5MLV|68RCR|9DMG
48	51313 13133	   	278.11	DCR|DCR|1VULN|1DMG|2CDMG|1MLV	1CGEN|2BBNT|37CDMG|4VULN|5MLV|68RCR|9DMG|aDMSP
49	51313 13134	   	278.11	DCR|DCR|1VULN|1DMG|2CDMG|1MLV	1CGEN|2BBNT|37CDMG|4VULN|5MLV|68RCR|9DMG|aLHND
50	51313 13136	   	278.11	DCR|DCR|1VULN|1DMG|2CDMG|1MLV	1aCGEN|2BBNT|37CDMG|4VULN|5MLV|68RCR|9DMG
51	56313 11132	   	278.11	DCR|DCR|1VULN|1DMG|2CDMG|1MLV	17CGEN|2TBNT|3aCDMG|4VULN|5MLV|68RCR|9DMG
52	56313 13133	   	278.11	DCR|DCR|1VULN|1DMG|2CDMG|1MLV	1CGEN|2TBNT|37CDMG|4VULN|5MLV|68RCR|9DMG|aDMSP
53	56313 13134	   	278.11	DCR|DCR|1VULN|1DMG|2CDMG|1MLV	1CGEN|2TBNT|37CDMG|4VULN|5MLV|68RCR|9DMG|aLHND
54	56313 13136	   	278.11	DCR|DCR|1VULN|1DMG|2CDMG|1MLV	1aCGEN|2TBNT|37CDMG|4VULN|5MLV|68RCR|9DMG
55	11214 16232	   	278.10	ACR|DCR|3VULN|1DMG|2DUR	17RCR|2aDUR|389VULN|4BEXP|5TLV|6DMG
56	11254 16232	   	278.10	ACR|DCR|3VULN|1DMG|2DUR	17RCR|2aDUR|389VULN|4LHND|5TLV|6DMG
57	11265 16232	   	278.10	ACR|DCR|3VULN|1DMG|2DUR	17RCR|2aDUR|389VULN|4RMIN|5FEWX|6DMG
58	11266 16232	   	278.10	ACR|DCR|3VULN|1DMG|2DUR	17RCR|2aDUR|389VULN|4RMIN|5LWND|6DMG
59	11663 16232	   	278.10	ACR|DCR|3VULN|1DMG|2DUR	17RCR|2aDUR|3LWND|4RMIN|589VULN|6DMG
60	11236 36232	   	278.00	ACR|DCR|3VULN|1DMG|2DUR	17RCR|2aDUR|389VULN|4DMG|5LWND|6ERES
61	11633 36232	   	278.00	ACR|DCR|3VULN|1DMG|2DUR	17RCR|2aDUR|3LWND|4DMG|589VULN|6ERES
62	66332 23235	   	276.07	DCR|DCR|2DMG|1VULN	1RPLT|29DMG|3BELT|4DUR|5MDPS|6CGEN|7aRCR|8VULN
63	43133 13432	   	275.63	DCR|DCR|2DMG|1VULN|1MLV	1RCVC|2VULN|38DMG|4LSRHEA|5MLV|6LWND|7BEXP|9aRCR
64	43133 11432	   	275.53	DCR|DCR|2DMG|1VULN|1MLV	1RCVC|2VULN|38DMG|4LSRHEA|5MLV|6LWND|7DUST|9aRCR
65	43133 23432	   	275.53	DCR|DCR|2DMG|1VULN|1MLV	1RCVC|2VULN|38DMG|4LSRHEA|5MLV|6DUST|7BEXP|9aRCR
66	43133 31432	   	275.53	DCR|DCR|2DMG|1VULN|1MLV	1RCVC|2VULN|38DMG|4LSRHEA|5MLV|6BEXP|7DUST|9aRCR
