0	Index      	 *	Score 	Summary	Detail	
1	16431 24121	 * 	321.61	DCR|DCR|2TLV|2VULN|2AEBURN	1RPLT|2RMIN|3AETHUN|47AEBURN|57VULN|67TLV|7BPWR|8MLV|9aRCR
2	31513 35125	   	309.66	DCR|DCR|2VULN|1TLV|1ASPD|1AART	1ASPD|2AART|38VULN|4CGEN|5MLV|67RCR|9TLV|aDUR
3	36366 32311	 * 	308.72	ACR|DCR|2VULN|1TLV|1DMG|1ASPD|1SELL	1ASPD|2DUST|39VULN|4BEXP|5aRCR|6SELL|7TLV|8DMG
4	36436 32311	 * 	308.72	ACR|DCR|2VULN|1TLV|1DMG|1ASPD|1SELL	1ASPD|2DUST|3FEWX|49VULN|5aRCR|6SELL|7TLV|8DMG
5	16161 34121	   	301.65	DCR|DCR|2TLV|2VULN	1RPLT|2RMIN|37TLV|4ERES|57VULN|67CGEN|7BPWR|8MLV|9aRCR
6	31513 35121	   	300.00	DCR|DCR|2VULN|1TLV|1ASPD|1AART	1ASPD|2AART|38VULN|4CGEN|5MLV|67RCR|9TLV|aBEXP
7	31513 35122	   	300.00	DCR|DCR|2VULN|1TLV|1ASPD|1AART	1ASPD|2AART|38VULN|4CGEN|5MLV|67RCR|9TLV|aLWND
8	31513 35123	   	300.00	DCR|DCR|2VULN|1TLV|1ASPD|1AART	1ASPD|2AART|38VULN|4aCGEN|5MLV|67RCR|9TLV
9	31513 35126	   	300.00	DCR|DCR|2VULN|1TLV|1ASPD|1AART	1ASPD|2AART|38VULN|4CGEN|5MLV|67RCR|9TLV|aFEWX
10	31515 35121	   	299.90	DCR|DCR|2VULN|1TLV|1ASPD|1AART	1ASPD|2AART|38VULN|4CGEN|5ERES|67RCR|9TLV|aBEXP
11	31515 35122	   	299.90	DCR|DCR|2VULN|1TLV|1ASPD|1AART	1ASPD|2AART|38VULN|4CGEN|5ERES|67RCR|9TLV|aLWND
12	31515 35123	   	299.90	DCR|DCR|2VULN|1TLV|1ASPD|1AART	1ASPD|2AART|38VULN|4aCGEN|5ERES|67RCR|9TLV
13	16431 32161	   	295.21	DCR|DCR|2VULN|1TLV|1AEBURN	1RPLT|2RMIN|3AETHUN|4AEBURN|58VULN|6aRCR|7TLV|9ERES
14	32346 32311	 * 	293.42	ACR|DCR|2VULN|1TLV|1DMG|1ASPD|1SELL|1MSE	1ASPD|2MSE|39VULN|4DUST|5aRCR|6SELL|7TLV|8DMG
15	33415 22531	 * 	292.96	DCR|2TLV|3DMG|1VULN|2ASPD|2RAT	19ASPD|245DMG|3LHND|69RAT|7RCR|89TLV|9BPWR|aVULN
