0	Index      	 *	Score 	Summary	Detail	
1	11553 51443	 * 	295.21	ACR|DCR|2VULN|1TLV|1DMG	12CGEN|38RCR|4MBVNT|5MDPS|6aVULN|7DMG|9TLV
2	33112 51562	 * 	292.00	DCR|3VULN|2TLV|2DMG	1aDMG|28aVULN|3MDPS|4MLV|5RPLT|6RCR|7ERES|9aTLV|aBPWR
3	33343 12637	 * 	287.17	DCR|2TLV|2VULN|2DMG|2AEPOI	15DMG|29VULN|3BASFIG|45AEPOI|5BPWR|68TLV|7MBVNT|aRCR
4	61231 12662	   	277.07	DCR|2TLV|2VULN|2DMG|1DUR	1RPLT|2LWND|3aDMG|4DUR|5CGEN|6aVULN|7ERES|8RCR|9aTLV|aBPWR
5	33213 14661	 * 	275.12	DCR|3VULN|1TLV|1DMG|1AEPOI	1DMG|29aVULN|3CGEN|4AEPOI|5ZMB|6RCR|7MDPS|8TLV
6	45135 21311	 * 	272.89	DCR|DCR|1TLV|1VULN|1AART|1DUR	1DUR|2TLV|3MDPS|4RAT|5MULFIG|6CGEN|7AART|89RCR|aVULN
7	11553 51441	   	272.29	ACR|DCR|1TLV|1VULN|1DMG	12CGEN|38RCR|4MBVNT|5MDPS|6VULN|7DMG|9TLV|aZMB
8	65153 13222	 * 	270.41	DCR|2TLV|2VULN|2AEBURN|1CDMG	1RPLT|2aVULN|3CDMG|4aTLV|5ZMB|6AAC|7RCR|8LIT|9aAEBURN|aBPWR
9	65153 22222	   	270.41	DCR|2TLV|2VULN|2AEBURN|1CDMG	1RPLT|2aVULN|3CDMG|4aTLV|5ZMB|6RCR|7AAC|8LIT|9aAEBURN|aBPWR
10	33213 11533	   	268.11	DCR|2VULN|1TLV|2DMG|1AEPOI	18DMG|29VULN|3CGEN|4AEPOI|5ZMB|6RCR|7FEWX|aTLV
11	33213 13533	   	268.11	DCR|2VULN|1TLV|2DMG|1AEPOI	18DMG|29VULN|3CGEN|4AEPOI|5ZMB|6RCR|7BEXP|aTLV
12	33213 12233	   	268.01	DCR|2VULN|1TLV|2DMG|1AEPOI	18DMG|29VULN|3CGEN|4AEPOI|5ZMB|6RCR|7DUST|aTLV
13	33413 11533	   	268.01	DCR|2VULN|1TLV|2DMG|1AEPOI	18DMG|29VULN|3ERES|4AEPOI|5ZMB|6RCR|7FEWX|aTLV
14	33413 13533	   	268.01	DCR|2VULN|1TLV|2DMG|1AEPOI	18DMG|29VULN|3ERES|4AEPOI|5ZMB|6RCR|7BEXP|aTLV
15	23143 33662	   	268.00	DCR|3VULN|2TLV|1ASPD	1aMLV|25aVULN|3MDPS|4ERES|6RPLT|7ASPD|8RCR|9aTLV|aBPWR
16	33413 12233	   	267.91	DCR|2VULN|1TLV|2DMG|1AEPOI	18DMG|29VULN|3ERES|4AEPOI|5ZMB|6RCR|7DUST|aTLV
17	33112 36662	   	267.41	DCR|2TLV|2VULN|2DMG	1aDMG|2aVULN|3MDPS|4MLV|5RPLT|6DMSP|7RCR|8CGEN|9aTLV|aBPWR
18	33112 32662	   	267.31	DCR|2TLV|2VULN|2DMG	1aDMG|2aVULN|3MDPS|4MLV|5RPLT|6DMSP|7ERES|8RCR|9aTLV|aBPWR
19	33112 53662	   	267.31	DCR|2TLV|2VULN|2DMG	1aDMG|2aVULN|37MDPS|4MLV|5RPLT|6RCR|8CGEN|9aTLV|aBPWR
20	33142 36162	   	267.31	DCR|2TLV|2VULN|2DMG	1aDMG|2aVULN|3MDPS|4ERES|5RPLT|6DMSP|7RCR|8MLV|9aTLV|aBPWR
21	33142 51162	   	267.21	DCR|2TLV|2VULN|2DMG	1aDMG|2aVULN|3MDPS|47ERES|5RPLT|6RCR|8MLV|9aTLV|aBPWR
22	45113 35132	   	265.95	DCR|DCR|1TLV|1VULN|1AART|1DUR	1DUR|2TLV|3MDPS|4AME|5VULN|6aRCR|7AART|8RPLT|9DUST
23	33125 26261	 * 	265.70	ACR|3VULN|1TLV|2DMG	18DMG|29aVULN|3MDPS|4DMSP|5RCR|6FEWX|7TLV
24	33125 16261	   	265.60	ACR|3VULN|1TLV|2DMG	18DMG|29aVULN|3MDPS|4DMSP|5RCR|6DUST|7TLV
25	11553 51442	   	265.35	ACR|DCR|1TLV|1VULN|1DMG	12CGEN|38RCR|4MBVNT|5MDPS|6VULN|7DMG|9TLV|aFEWX
26	11553 51444	   	265.35	ACR|DCR|1TLV|1VULN|1DMG	12aCGEN|38RCR|4MBVNT|5MDPS|6VULN|7DMG|9TLV
