0	Index      	 *	Score 	Summary	Detail	
1	11623 27622	 * 	301.67	DCR|2TLV|2VULN|3DMG|2DUR	149DMG|24DUR|3MBVNT|49BPWR|59TLV|6AIRARM|7DUST|89VULN|aRCR
2	23236 32261	 * 	301.32	ACR|DCR|2TLV|1VULN|1DMG	1LHND|2VULN|3DUR|4aRCR|5DUST|6DMG|78TLV|9AAC
3	24135 32261	   	301.32	ACR|DCR|2TLV|1VULN|1DMG	1LHND|2DUR|3DUST|4aRCR|5VULN|6DMG|78TLV|9AAC
4	66131 53332	 * 	291.85	ACR|DCR|2VULN|1TLV	1RAT|2LIT|39VULN|4BASICY|5aRCR|6TLV|7DUR|8LWND
5	21635 22261	   	291.66	ACR|DCR|2TLV|1VULN|1DMG	1LHND|2DUST|3BEXP|4aRCR|5VULN|6DMG|78TLV|9AAC
6	23131 22261	   	291.66	ACR|DCR|2TLV|1VULN|1DMG	1LHND|2VULN|3DUST|4aRCR|5BEXP|6DMG|78TLV|9AAC
7	11623 11574	   	289.87	DCR|2TLV|1VULN|2DMG|1AEBURN|2DUR|1ASPD	14DMG|24DUR|3MBVNT|4BPWR|57TLV|6VULN|8ASPD|9AEBURN|aRCR
8	11623 14534	   	289.87	DCR|2TLV|1VULN|2DMG|1AEFBLL|2DUR|1ASPD	14DMG|24DUR|3MBVNT|4BPWR|59TLV|6VULN|7AEFBLL|8ASPD|aRCR
9	11623 15534	   	289.87	DCR|2TLV|1VULN|2DMG|1AEPOI|2DUR|1ASPD	14DMG|24DUR|3MBVNT|4BPWR|59TLV|6VULN|7AEPOI|8ASPD|aRCR
10	11131 41246	   	288.67	ACR|DCR|1TLV|1VULN|1DMG|1ASPD	1DMG|2DUR|3ERES|4aRCR|5AEFRZ|6BELT|7VULN|8TLV|9ASPD
11	11136 11156	 * 	288.57	ACR|DCR|1TLV|2DMG|1AEFBLL|1ASPD	17DMG|2DUR|3ERES|49RCR|5TLV|6AEWIND|8AEFBLL|aASPD
12	12432 13146	 * 	286.29	DCR|2VULN|1TLV|2ASPD|1AEFBLL|1DMG	1DMG|29BASICY|3AEFBLL|4DUR|59VULN|6RAT|7RCR|89ASPD|9BPWR|aTLV
13	16334 23521	 * 	285.86	DCR|3VULN|1TLV|2DMG|3RAT	18DMG|238RAT|4LWND|5CGEN|6RCR|789VULN|8BPWR|aTLV
14	11623 46264	 * 	283.96	DCR|2VULN|1TLV|3DMG|3DUR	149DMG|249DUR|3MBVNT|49BPWR|5TLV|6ERES|7MDPS|89VULN|aRCR
15	16625 22332	   	283.91	DCR|2TLV|2VULN|2DMG	14DMG|2RAT|3DUR|58TLV|6RCR|7LHND|9aVULN
16	11623 11781	   	283.16	DCR|2TLV|1VULN|2DMG|1AEFBLL|2DUR	14DMG|24DUR|3MBVNT|4BPWR|57TLV|6VULN|8RAT|9AEFBLL|aRCR
17	23231 22421	   	282.15	ACR|DCR|1TLV|1VULN|1DMG	19LHND|2VULN|3DUR|4aRCR|5BEXP|6DMG|7TLV|8ZMB
18	23232 42561	   	282.15	ACR|DCR|1TLV|1VULN|1AEFBLL	1LHND|2VULN|3DUR|4aRCR|5ZMB|6FEWX|7TLV|8AEFBLL|9AAC
19	23236 32421	   	282.05	ACR|DCR|1TLV|1VULN|1DMG	19LHND|2VULN|3DUR|4aRCR|5DUST|6DMG|7TLV|8ZMB
20	24135 32421	   	282.05	ACR|DCR|1TLV|1VULN|1DMG	19LHND|2DUR|3DUST|4aRCR|5VULN|6DMG|7TLV|8ZMB
21	66131 53322	   	282.05	ACR|DCR|1TLV|1VULN|1AEFBLL	1RAT|2LIT|3VULN|4BASICY|5aRCR|6TLV|7DUR|8LWND|9AEFBLL
22	11622 11864	 * 	280.41	DCR|2TLV|3DMG|1VULN|3DUR	149DMG|249DUR|3MBVNT|49BPWR|5CGEN|6VULN|79TLV|8MDPS|aRCR
23	11624 11864	   	280.31	DCR|2TLV|3DMG|1VULN|3DUR	149DMG|249DUR|3MBVNT|49BPWR|5ERES|6VULN|79TLV|8MDPS|aRCR
24	11131 12156	   	280.02	ACR|DCR|1TLV|1AEFBLL|1DMG|2DUR|1ASPD	1DMG|26DUR|3ERES|49RCR|5AEFRZ|7TLV|8AEFBLL|aASPD
25	12261 22723	   	279.08	DCR|3VULN|1TLV|1DMG|1AEPOI|1AART	1DMG|26BASICY|368VULN|4MBVNT|5AART|6BPWR|7RCR|9TLV|aAEPOI
26	15261 22723	   	279.08	DCR|3VULN|1TLV|1DMG|1AEPOI|1AART	1DMG|26MSLREG|368VULN|4MBVNT|5AART|6BPWR|7RCR|9TLV|aAEPOI
27	13136 21156	   	279.00	ACR|DCR|1TLV|2DMG|1AEFBLL|1ASPD	17DMG|26BEXP|3ERES|49RCR|5TLV|8AEFBLL|aASPD
