0	Index      	 *	Score 	Summary	Detail	
1	62241 12422	 * 	305.61	ACR|3TLV|3VULN|2DMG|1SELL	1RPLT|2SELL|3RMIN|489TLV|5RCR|68aVULN|78DMG|8BPWR
2	32111 17511	 * 	300.42	ACR|3VULN|2TLV|2ASPD|2AEBURN	18ASPD|2MBVNT|3DUST|48AEBURN|5RCR|678VULN|8BPWR|9aTLV
3	32235 12538	 * 	294.41	ACR|2VULN|1TLV|3DMG|3ASPD	189ASPD|2MBVNT|3AAC|478DMG|5RCR|68VULN|8BPWR|aTLV
4	32211 12561	 * 	291.90	ACR|3VULN|1TLV|2DMG|2ASPD	18ASPD|2MBVNT|3AAC|4ERES|5RCR|689VULN|78DMG|8BPWR|aTLV
5	12522 15162	 * 	291.72	DCR|2VULN|1TLV|2DMG|2FRZICY|1ASPD|1CDMG	1CDMG|29FRZICY|3DUR|4MSLREG|59DMG|6ASPD|7RCR|89VULN|9BPWR|aTLV
6	36222 36411	   	290.69	ACR|3VULN|2TLV|2ASPD|2ZMB	18ASPD|2DUST|378VULN|4RCR|5NUKE|68ZMB|8BPWR|9aTLV
7	41535 21211	 * 	290.60	ACR|DCR|2TLV|1VULN|2DUR	19LHND|2RCVC|39TLV|47RCR|5VULN|6LIT|89DUR|9BPWR|aBEXP
8	41535 21213	   	290.60	ACR|DCR|2TLV|1VULN|2DUR	19aLHND|2RCVC|39TLV|47RCR|5VULN|6LIT|89DUR|9BPWR
9	62241 12421	 * 	290.58	ACR|3TLV|2VULN|2DMG|1SELL	1RPLT|2SELL|3RMIN|489TLV|5RCR|68VULN|78DMG|8BPWR|aNUKE
10	41535 21212	   	290.50	ACR|DCR|2TLV|1VULN|2DUR	19LHND|2RCVC|39TLV|47RCR|5VULN|6LIT|89DUR|9BPWR|aMDPS
11	32235 12551	   	289.90	ACR|2VULN|1TLV|3DMG|2ASPD	18ASPD|2MBVNT|3AAC|478DMG|5RCR|68VULN|8BPWR|9RAT|aTLV
12	32111 17711	   	287.87	ACR|3VULN|2TLV|1AEBURN|1ASPD	1ASPD|2MBVNT|3DUST|4AEBURN|5RCR|678VULN|9aTLV
13	32735 12711	 * 	287.80	ACR|2TLV|2VULN|2DMG|1ASPD	1ASPD|2MBVNT|3ZMB|47DMG|5RCR|68VULN|9aTLV
14	36224 32611	   	287.80	ACR|2TLV|2VULN|2DMG|1ASPD	1ASPD|2DUST|38VULN|4RCR|57DMG|6ZMB|9aTLV
15	12312 25163	 * 	286.04	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1CDMG|2FRZICY|3SNITOX|4FEWX|5DMG|6TLV|7aRCR|8VULN|9RPLT
16	32111 17517	   	283.88	ACR|3VULN|1TLV|2ASPD|2AEBURN	18ASPD|2MBVNT|3DUST|48AEBURN|5RCR|678VULN|8BPWR|9TLV|aNUKE
17	32235 12518	   	282.87	ACR|2VULN|1TLV|3DMG|2ASPD	18ASPD|2MBVNT|3AAC|478DMG|5RCR|68VULN|8BPWR|9MDPS|aTLV
18	62241 12432	 * 	282.82	ACR|2TLV|2VULN|3DMG|1SELL	1RPLT|2SELL|3RMIN|48TLV|5RCR|68VULN|78aDMG|8BPWR|9VENFST
19	41535 21221	   	281.35	ACR|DCR|2TLV|1VULN	1LHND|2RCVC|3aTLV|47RCR|5VULN|6LIT|8DUR|9BEXP
20	32111 17512	   	281.16	ACR|3VULN|1TLV|2ASPD|2AEBURN	18ASPD|2MBVNT|3DUST|48AEBURN|5RCR|678VULN|8BPWR|9TLV|aRAT
