0	Index      	 *	Score 	Summary	Detail	
1	65243 46433	 * 	321.41	ACR|DCR|2VULN|1TLV|2ASPD|2AEPOI	1MDPS|2MBVNT|39RCR|4aAEPOI|5BELT|6TLV|7aVULN|8aASPD|aBPWR
2	16344 33212	 * 	319.29	ACR|DCR|2TLV|1VULN|1AEBURN|1CDMG	1CDMG|2RAT|3RCVC|48RCR|5ZMB|6VULN|7AEBURN|9aTLV
3	16144 33212	   	319.19	ACR|DCR|2TLV|1VULN|1AEBURN|1CDMG	1CDMG|2RAT|3AEFRZ|48RCR|5ZMB|6VULN|7AEBURN|9aTLV
4	23214 33134	 * 	316.66	DCR|3VULN|2TLV|3ASPD|1CDMG|1AART	179ASPD|2CDMG|3LEGI|49TLV|589VULN|6AART|9BPWR|aRCR
5	42316 33633	 * 	307.70	DCR|DCR|2VULN|1TLV|2DUR|1CDMG	1aDUST|2aDUR|3RPLT|4TLV|5BELT|6CDMG|79RCR|8aVULN|aBPWR
6	16344 32212	   	305.83	ACR|DCR|2TLV|1VULN|1CDMG|2RAT	1CDMG|27RAT|3RCVC|48RCR|5ZMB|6VULN|9aTLV
7	16144 32212	   	305.73	ACR|DCR|2TLV|1VULN|1CDMG|2RAT	1CDMG|27RAT|3AEFRZ|48RCR|5ZMB|6VULN|9aTLV
8	31114 23124	   	305.70	DCR|DCR|2VULN|1TLV|1CDMG	1AME|26FEWX|3CDMG|4TLV|56VULN|6BPWR|7DUR|8aRCR|9RAT
9	32114 23124	   	305.70	DCR|DCR|2VULN|1TLV|1CDMG	1AME|26LHND|3CDMG|4TLV|56VULN|6BPWR|7DUR|8aRCR|9RAT
10	53443 64352	 * 	303.11	DCR|3VULN|2TLV|2DMG|1AART	1AART|2MBVNT|359VULN|45TLV|59BPWR|6MDPS|79DMG|89LIT|aRCR
11	22143 32235	   	299.17	ACR|DCR|1TLV|1VULN|1AEPOI|2CDMG|1ASPD	1ASPD|2LWND|36CDMG|4VULN|5aRCR|7LIT|8TLV|9AEPOI
12	23643 32235	   	299.17	ACR|DCR|1TLV|1VULN|1AEPOI|2CDMG|1ASPD	1ASPD|26CDMG|3LHND|4VULN|5aRCR|7LIT|8TLV|9AEPOI
13	23243 32235	   	299.07	ACR|DCR|1TLV|1VULN|1AEPOI|2CDMG|1ASPD	1ASPD|26CDMG|3LEGI|4VULN|5aRCR|7LIT|8TLV|9AEPOI
14	15162 21343	   	297.63	DCR|3VULN|2TLV|2CDMG|2RAT	19CDMG|2DLOT|3MDPS|46TLV|569VULN|69BPWR|7RCR|89RAT|aDUR
15	31114 21124	   	296.04	DCR|DCR|2VULN|1TLV|1CDMG	1AME|26FEWX|3CDMG|4TLV|56VULN|6BPWR|7LWND|8aRCR|9RAT
16	32114 21124	   	296.04	DCR|DCR|2VULN|1TLV|1CDMG	1AME|26LHND|3CDMG|4TLV|56VULN|6BPWR|7LWND|8aRCR|9RAT
17	16344 33211	   	293.08	ACR|DCR|1TLV|1VULN|1AEBURN|1CDMG	1CDMG|2RAT|3RCVC|48RCR|5ZMB|6VULN|7AEBURN|9TLV|aBEXP
18	16144 33211	   	292.98	ACR|DCR|1TLV|1VULN|1AEBURN|1CDMG	1CDMG|2RAT|3AEFRZ|48RCR|5ZMB|6VULN|7AEBURN|9TLV|aBEXP
19	16344 33213	   	292.98	ACR|DCR|1TLV|1VULN|1AEBURN|1CDMG	1CDMG|2RAT|3RCVC|48RCR|5ZMB|6VULN|7AEBURN|9TLV|aDUST
20	16144 33213	   	292.88	ACR|DCR|1TLV|1VULN|1AEBURN|1CDMG	1CDMG|2RAT|3AEFRZ|48RCR|5ZMB|6VULN|7AEBURN|9TLV|aDUST
21	22143 12235	   	292.85	ACR|DCR|1TLV|1VULN|1AEPOI|1ASPD|1CDMG	1ASPD|2LWND|3CDMG|4VULN|5aRCR|6RCVC|7LIT|8TLV|9AEPOI
22	23643 12235	   	292.85	ACR|DCR|1TLV|1VULN|1AEPOI|1ASPD|1CDMG	1ASPD|2CDMG|3LHND|4VULN|5aRCR|6RCVC|7LIT|8TLV|9AEPOI
23	23243 12235	   	292.75	ACR|DCR|1TLV|1VULN|1AEPOI|1ASPD|1CDMG	1ASPD|2CDMG|3LEGI|4VULN|5aRCR|6RCVC|7LIT|8TLV|9AEPOI
24	53447 43183	 * 	292.16	DCR|DCR|2TLV|1VULN|1AART	1AART|2MBVNT|3VULN|4aTLV|5RPLT|6ERES|7DUR|89RCR
25	31414 23124	   	291.80	DCR|DCR|2VULN|1TLV|1SELL	16AME|2FEWX|3SELL|4TLV|56VULN|6BPWR|7DUR|8aRCR|9RAT
26	32414 23124	   	291.80	DCR|DCR|2VULN|1TLV|1SELL	16AME|2LHND|3SELL|4TLV|56VULN|6BPWR|7DUR|8aRCR|9RAT
27	15233 35125	   	291.49	DCR|3VULN|1TLV|1DMG|1AEPOI|1CDMG	1CDMG|2DLOT|3TLV|48aVULN|5DUR|6AEPOI|7DMG|9RCR
