0	Index      	 *	Score 	Summary	Detail	
1	51231 35631	 * 	341.88	DCR|DCR|2TLV|2VULN|1DMG|1AEBURN	1RMIN|249LIT|3DMG|59TLV|67RCR|89VULN|9BPWR|aAEBURN
2	51131 35631	   	335.46	DCR|DCR|2TLV|2VULN|1AEBURN|1ASPD	1RMIN|249LIT|3ASPD|59TLV|67RCR|89VULN|9BPWR|aAEBURN
3	51211 35631	 * 	333.26	DCR|DCR|2VULN|1TLV|2DMG|1AEFBLL	1RMIN|29LIT|39DMG|4AEFBLL|5TLV|67RCR|89VULN|9BPWR|aLHND
4	51211 35632	   	333.26	DCR|DCR|2VULN|1TLV|2DMG|1AEFBLL	1RMIN|29LIT|39DMG|4AEFBLL|5TLV|67RCR|89VULN|9BPWR|aRPLT
5	51211 35633	   	333.16	DCR|DCR|2VULN|1TLV|2DMG|1AEFBLL	1RMIN|29LIT|39DMG|4AEFBLL|5TLV|67RCR|89VULN|9BPWR|aMDPS
6	51231 35632	   	328.75	DCR|DCR|2TLV|2VULN|1DMG	1RMIN|249LIT|3DMG|59TLV|67RCR|89VULN|9BPWR|aRAT
7	51131 35632	   	322.34	DCR|DCR|2TLV|2VULN|1ASPD	1RMIN|249LIT|3ASPD|59TLV|67RCR|89VULN|9BPWR|aRAT
8	51231 35633	   	321.81	DCR|DCR|2TLV|2VULN|1DMG	1RMIN|249LIT|3DMG|59TLV|67RCR|89VULN|9BPWR|aFEWX
9	51111 35631	 * 	321.71	DCR|DCR|2VULN|1TLV|2ASPD|1AEFBLL	1RMIN|29LIT|39ASPD|4AEFBLL|5TLV|67RCR|89VULN|9BPWR|aLHND
10	51111 35632	   	321.71	DCR|DCR|2VULN|1TLV|2ASPD|1AEFBLL	1RMIN|29LIT|39ASPD|4AEFBLL|5TLV|67RCR|89VULN|9BPWR|aRPLT
11	51111 35633	   	321.61	DCR|DCR|2VULN|1TLV|2ASPD|1AEFBLL	1RMIN|29LIT|39ASPD|4AEFBLL|5TLV|67RCR|89VULN|9BPWR|aMDPS
12	51131 35633	   	315.40	DCR|DCR|2TLV|2VULN|1ASPD	1RMIN|249LIT|3ASPD|59TLV|67RCR|89VULN|9BPWR|aFEWX
13	23335 36633	 * 	312.79	DCR|3VULN|2TLV|2DMG|1CDMG	1RPLT|279VULN|3LIT|49TLV|5CDMG|6ZMB|89DMG|9BPWR|aRCR
