0	Index      	 *	Score 	Summary	Detail	
1	32161 13322	 * 	315.92	橙3易伤3矿等2等级1技能1卖塔	14a矿等25a易伤3卖塔6核7额外掉落8技能9a等级a序列升级
2	33121 35361	 * 	307.44	橙3易伤3矿等2等级1卖塔	149矿等24最后敌人3卖塔49序列升级589易伤69等级7全技能a核
3	32246 31633	 * 	303.16	橙橙2易伤2矿等	18矿等25易伤3时间4挖尘6a核7策反9敌人爆炸
4	33121 24345	 * 	302.71	橙橙3矿等1易伤1暴击1卖塔	147矿等24最后敌人3卖塔4序列升级5易伤6基础对冰89核a暴击
5	32551 13363	 * 	298.97	橙橙2矿等1易伤1等级	15矿等2易伤3立即金币46额外掉落79核8等级a金币生成
6	32551 13361	   	298.87	橙橙2矿等1易伤1等级	15矿等2易伤3立即金币46额外掉落79核8等级a基地爆炸
7	32551 13362	   	298.87	橙橙2矿等1易伤1等级	15矿等2易伤3立即金币46额外掉落79核8等级a双倍秒伤
8	32162 65232	 * 	296.82	橙3易伤3矿等3攻速1卖塔	147矿等278易伤3卖塔5赏金邻近679攻速7序列升级a核
9	33121 24343	 * 	296.00	橙橙3矿等1易伤1卖塔	147矿等24最后敌人3卖塔4序列升级5易伤6基础对冰89核a随机技能
10	32124 24343	 * 	295.90	橙橙3矿等1易伤1卖塔	157矿等2易伤3卖塔4最后敌人6基础对冰89核a随机技能
11	32351 32346	   	295.07	橙橙1易伤1等级1矿等1暴击	1矿等2易伤3掉矿4等级5双倍秒伤6激光对绿7暴击89核a随机技能
12	32536 31633	   	294.85	橙橙2易伤2矿等	18矿等25易伤3立即金币4双倍秒伤6a核7策反9敌人爆炸
13	32323 36112	 * 	291.89	橙3易伤2矿等2等级	1a矿等26a易伤34掉矿5全技能7随机技能8a等级9核a序列升级
14	34125 63211	 * 	291.76	橙3易伤3矿等1技能2随机技能	189矿等2赏金邻近3技能48a易伤58随机技能6全技能7核8序列升级
15	32411 32346	   	291.06	橙橙2易伤1矿等1暴击	1矿等24易伤3雷电减费5双倍秒伤6激光对绿7暴击89核a随机技能
16	33121 24342	 * 	289.06	橙橙3矿等1易伤1卖塔	147矿等24最后敌人3卖塔4序列升级5易伤6基础对冰89核a雷电
17	33121 24346	 * 	289.06	橙橙3矿等1易伤1卖塔	147矿等24最后敌人3卖塔4序列升级5易伤6基础对冰89核a赏金邻近
18	32124 24342	 * 	288.96	橙橙3矿等1易伤1卖塔	157矿等2易伤3卖塔4最后敌人6基础对冰89核a雷电
19	33121 24341	 * 	288.96	橙橙3矿等1易伤1卖塔	147矿等24最后敌人3卖塔4序列升级5易伤6基础对冰89核a基地爆炸
20	33121 24344	 * 	288.96	橙橙3矿等1易伤1卖塔	147矿等24最后敌人3卖塔4序列升级5易伤6基础对冰89核a烈焰减费
21	32124 24341	 * 	288.86	橙橙3矿等1易伤1卖塔	157矿等2易伤3卖塔4最后敌人6基础对冰89核a基地爆炸
22	32351 32342	   	288.13	橙橙1易伤1等级1矿等1暴击	1矿等2易伤3掉矿4等级5双倍秒伤6激光对绿7暴击89核a雷电
23	32351 32344	   	288.13	橙橙1易伤1等级1矿等1暴击	1矿等2易伤3掉矿4等级5双倍秒伤6激光对绿7暴击89核a赏金邻近
24	32351 32345	   	288.13	橙橙1易伤1等级1矿等1暴击	1矿等2易伤3掉矿4等级5双倍秒伤6激光对绿7暴击89核a低血量敌人
25	32351 32341	   	288.03	橙橙1易伤1等级1矿等1暴击	1矿等2易伤3掉矿4等级5双倍秒伤6激光对绿7暴击89核a基地爆炸
26	32351 32343	   	288.03	橙橙1易伤1等级1矿等1暴击	1矿等2易伤3掉矿4等级5双倍秒伤6激光对绿7暴击89核a挖尘
