0	Index      	 *	Score 	Summary	Detail	
1	52322 36423	 * 	302.56	橙橙2易伤1等级1矿等	1a易伤2赏金塔34掉矿5矿等6挖尘7等级89核
2	52262 25333	 * 	301.16	橙3易伤2矿等2等级1攻速1卖塔	138易伤2赏金塔48等级58矿等6全技能7卖塔8序列升级9攻速a核
3	23426 33412	   	298.61	橙橙2易伤1等级1暴击	1低血量敌人2随机矿3雷电49易伤5等级6a核7暴击8时间
4	33334 33412	   	298.41	橙橙2易伤1等级1暴击	1掉矿2雷电39易伤4等级5挖尘6a核7暴击8时间
5	62315 31513	 * 	297.84	紫橙2易伤2矿等2暴击3时间	16核2a易伤379时间4a暴击5双倍秒伤8a矿等a序列升级
6	52232 25335	 * 	295.16	橙3易伤2矿等1伤害2暴击1攻速	138易伤2赏金塔4伤害58矿等6全技能78暴击8序列升级9攻速a核
7	23532 35423	 * 	294.23	橙橙3易伤1矿等	1低血量敌人2随机矿35a易伤4金币生成6矿等7赏金邻近89核
8	51232 35423	   	294.13	橙橙3易伤1矿等	15a易伤2低血量敌人3掉矿4金币生成6矿等7赏金邻近89核
9	62163 31251	 * 	290.12	紫橙2易伤1等级1伤害1技能1暴击	1a核25易伤3金币生成4暴击6等级7技能8基地爆炸9伤害
10	33334 33612	   	290.11	橙橙2易伤1等级1暴击	1掉矿2雷电39易伤4等级5挖尘6a核7暴击8低血量敌人
11	62316 11212	 * 	287.78	紫橙2易伤1等级1矿等1暴击	1a核29易伤3时间4暴击5等级6矿等7最后敌人8雷电
12	62316 16212	   	287.78	紫橙2易伤1等级1矿等1暴击	1a核29易伤3时间4暴击5等级6矿等7敌人爆炸8雷电
13	62316 12212	   	287.68	紫橙2易伤1等级1矿等1暴击	1a核29易伤3时间4暴击5等级6矿等7挖尘8雷电
14	62315 31532	   	286.32	紫橙2易伤2矿等2时间1暴击	16核2a易伤37时间4暴击5双倍秒伤89矿等
15	62322 25124	   	286.03	紫橙1易伤1等级1矿等1技能1攻速	18核2易伤3时间4技能5随机技能6攻速7激光对愈9矿等a等级
16	52262 25313	 * 	284.81	橙3易伤2矿等2等级1卖塔	138易伤2赏金塔48等级58矿等6全技能7卖塔8序列升级9掉矿a核
17	23426 33242	 * 	284.71	橙橙2等级1易伤1暴击	1低血量敌人2随机矿3雷电4易伤58等级6a核7暴击9时间
18	33334 33242	   	284.51	橙橙2等级1易伤1暴击	1掉矿2雷电3易伤48等级5挖尘6a核7暴击9时间
19	63624 23122	   	282.47	紫橙2易伤2矿等1攻速	18核2最后敌人39矿等4全技能5a易伤6攻速7赏金塔
20	61354 23122	   	282.37	紫橙2易伤2矿等1攻速	18核2挖尘3全技能49矿等5a易伤6攻速7赏金塔
21	62315 33532	   	279.77	紫橙2易伤2矿等1暴击	16核2a易伤3时间4暴击5双倍秒伤7立即金币89矿等
22	52232 25343	   	278.91	橙3易伤2矿等1伤害2暴击	138易伤2赏金塔4伤害58矿等6全技能78暴击8序列升级9技能点a核
23	52232 25313	   	278.81	橙3易伤2矿等1伤害2暴击	138易伤2赏金塔4伤害58矿等6全技能78暴击8序列升级9掉矿a核
24	23426 33432	   	277.08	橙橙1易伤1等级2时间1暴击	1低血量敌人2随机矿3雷电4易伤5等级6a核7暴击89时间
25	33334 33432	   	276.88	橙橙1易伤1等级2时间1暴击	1掉矿2雷电3易伤4等级5挖尘6a核7暴击89时间
26	62163 34212	 * 	276.63	紫橙3易伤1等级1暴击	1a核259易伤3金币生成4暴击6等级7双倍秒伤8雷电
27	12316 35423	   	276.56	橙橙2易伤1等级	1金币生成2等级3掉矿4立即金币5低血量敌人6a易伤7赏金邻近89核
28	32116 35423	   	276.56	橙橙2易伤1等级	1掉矿2等级3随机矿4立即金币5低血量敌人6a易伤7赏金邻近89核
29	52211 35422	   	276.56	橙橙2易伤1等级	13易伤2赏金塔45最后敌人6挖尘7等级89核a策反
30	11431 26623	   	276.56	橙橙2易伤1等级	17金币生成2技能点3等级4挖尘5赏金塔69核8a易伤
31	12431 26623	   	276.56	橙橙2易伤1等级	17金币生成2等级3技能点4挖尘5赏金塔69核8a易伤
32	52262 21133	 * 	276.49	橙3易伤1等级1矿等1攻速1暴击	137易伤2赏金塔4等级5矿等6全技能8暴击9攻速a核
33	12334 35423	   	276.46	橙橙2易伤1等级	15金币生成2等级3掉矿4挖尘6a易伤7赏金邻近89核
34	23333 35423	   	276.46	橙橙2易伤1等级	1低血量敌人2随机矿35掉矿4等级6a易伤7赏金邻近89核
35	52211 35421	   	276.46	橙橙2易伤1等级	13易伤2赏金塔45最后敌人6挖尘7等级89核a暴雪减费
36	52211 35423	   	276.46	橙橙2易伤1等级	13易伤2赏金塔45最后敌人6挖尘7等级89核a掉矿
