0	Index      	Bounty	 *	Score 	Summary	Detail	
1	26124 42211	3	 * 	280.74	橙3易伤2伤害2时间1等级1攻速	1平台2a时间3a伤害4等级5攻速69a易伤7加一8核a序列升级
2	22116 53622	7	 * 	272.06	橙4易伤3时间1伤害	1平台278敌人爆炸3伤害478时间5678易伤78序列升级9低血量敌人a核
3	22116 53612	7	   	271.96	橙4易伤3时间1伤害	1平台278敌人爆炸3伤害478时间5678易伤78序列升级9挖尘a核
4	26133 22625	3	 * 	271.80	橙2易伤3伤害3时间1等级	1平台258时间358伤害4赏金邻近58序列升级68易伤7额外掉落9等级a核
5	26133 81211	7	   	269.73	橙3易伤2伤害2时间1等级	1平台2a时间3a伤害4加一5等级6策反79a易伤8核a序列升级
6	15612 13353	1	   	268.35	橙4易伤3时间1等级	134敌人爆炸249a易伤49a序列升级5等级6核79a基地爆炸89a时间
7	16512 13353	3	   	268.35	橙4易伤3时间1等级	134敌人爆炸249a易伤49a序列升级5等级6核79a基地爆炸89a时间
8	16612 13353	2	   	268.35	橙4易伤3时间1等级	134敌人爆炸249a易伤49a序列升级5等级6核79a基地爆炸89a时间
9	15312 13353	1	   	268.25	橙4易伤3时间1等级	134敌人爆炸2349易伤349序列升级5等级6核79基地爆炸89a时间
10	16312 13353	2	   	268.25	橙4易伤3时间1等级	134敌人爆炸2349易伤349序列升级5等级6核79基地爆炸89a时间
11	15312 16353	1	   	268.05	橙4易伤3时间1等级	134敌人爆炸2349易伤349序列升级5等级6核79挖尘89a时间
12	16312 16353	2	   	268.05	橙4易伤3时间1等级	134敌人爆炸2349易伤349序列升级5等级6核79挖尘89a时间
13	52516 23313	8	 * 	266.33	橙3易伤3伤害2暴击1卖塔	1卖塔245易伤34暴击4序列升级6雷电78a伤害9核
14	16136 11532	3	 * 	266.22	橙5易伤2时间1核弹	1敌人爆炸24578易伤35时间5序列升级6核弹9雷电a核
15	16136 33151	3	   	265.63	橙4易伤2时间1等级1攻速	1敌人爆炸2458易伤35时间5序列升级6掉矿7攻速9等级a核
16	26163 21325	3	   	264.97	橙2易伤3伤害3时间1全技能1卖塔	1平台245时间345伤害45序列升级69易伤7卖塔8全技能a核
17	26114 42211	3	   	264.49	橙3易伤2伤害2时间1攻速	1平台2a时间3a伤害4矿等5攻速69a易伤7加一8核a序列升级
18	26112 16216	10	 * 	262.29	橙2易伤3伤害2时间2暴击	1平台28时间37a伤害4立即金币58暴击68易伤8序列升级9核
19	26112 16216	9	   	262.29	橙2易伤3伤害2时间2暴击	1平台28时间37a伤害4立即金币58暴击68易伤8序列升级9核
20	12156 22151	4	 * 	261.44	橙4易伤2伤害1等级	1敌人爆炸2随机矿35伤害4578易伤5序列升级6挖尘9等级a核
21	26125 21124	4	 * 	261.44	橙2易伤2伤害2时间2攻速1暴击	1平台29时间35伤害45攻速5序列升级6暴击7a易伤8核
22	15321 32151	1	   	260.20	橙4易伤1伤害1等级1时间	13敌人爆炸2347易伤3序列升级5金币生成6伤害8时间9等级a核
23	15324 32151	1	   	260.20	橙4易伤1伤害1等级1时间	13敌人爆炸2347易伤3序列升级5矿等6伤害8时间9等级a核
24	16321 32151	2	   	260.20	橙4易伤1伤害1等级1时间	13敌人爆炸2347易伤3序列升级5金币生成6伤害8时间9等级a核
25	16324 32151	2	   	260.20	橙4易伤1伤害1等级1时间	13敌人爆炸2347易伤3序列升级5矿等6伤害8时间9等级a核
26	16136 33224	3	   	260.03	橙3易伤3时间1伤害1攻速	1敌人爆炸245易伤359时间5序列升级6掉矿7攻速8伤害a核
27	26112 16212	10	 * 	259.86	橙2易伤3时间2伤害2暴击	1平台28a时间37伤害4立即金币58暴击68易伤8序列升级9核
28	26632 16212	10	   	259.86	橙2易伤3时间2伤害2暴击	1平台28a时间3立即金币47伤害58暴击68易伤8序列升级9核
