0	Index      	 *	Score 	Summary	Detail	
1	32327 84145	 * 	291.36	橙橙3伤害2暴击1矿等2时间	17暴击27时间3立即金币4加一579伤害6a核7序列升级8矿等
2	21425 11242	 * 	288.16	橙3易伤3伤害3矿等1全技能	1随机矿2加一38a矿等4基地爆炸58a易伤6全技能78a伤害8a序列升级9核
3	61425 11242	   	288.16	橙3易伤3伤害3矿等1全技能	1技能2加一38a矿等4基地爆炸58a易伤6全技能78a伤害8a序列升级9核
4	61142 32882	 * 	285.82	橙橙2易伤1伤害1攻速	1技能2加一3最后敌人4攻速5伤害69易伤7时间8a核
5	36315 16332	 * 	284.76	橙橙2易伤3暴击2时间	179暴击23易伤48时间5敌人爆炸6a核
6	36315 12132	   	278.21	橙橙2易伤3暴击	189暴击23易伤4时间57敌人爆炸6a核
7	36315 13132	   	278.21	橙橙2易伤3暴击	189暴击23易伤4时间5敌人爆炸6a核7立即金币
8	36315 16122	   	278.21	橙橙2易伤3暴击	178暴击23易伤4时间59敌人爆炸6a核
9	32213 15612	   	278.11	橙橙2易伤3暴击	147暴击2时间3挖尘5基地爆炸6a核89易伤
10	23127 84145	   	276.50	橙橙3伤害2暴击1矿等	1随机矿27暴击37金币生成4加一579伤害6a核7序列升级8矿等
11	13216 31535	 * 	275.90	紫橙2易伤1伤害1矿等1暴击1平台	1平台2立即金币3a核48易伤5暴击6伤害7最后敌人9矿等
12	31315 16612	   	269.80	橙橙2易伤3暴击	147暴击2挖尘3基地爆炸5敌人爆炸6a核89易伤
13	31413 16612	   	269.80	橙橙2易伤3暴击	147暴击2挖尘3敌人爆炸5基地爆炸6a核89易伤
14	31513 16612	   	269.80	橙橙2易伤3暴击	147暴击2挖尘3低血量敌人5基地爆炸6a核89易伤
15	33315 16622	   	269.80	橙橙2易伤3暴击	147暴击2挖青38易伤59敌人爆炸6a核
16	36413 16312	   	269.80	橙橙2易伤3暴击	147暴击29易伤3敌人爆炸5基地爆炸6a核8挖尘
17	31113 16612	   	269.70	橙橙2易伤3暴击	147暴击2挖尘3挖青5基地爆炸6a核89易伤
18	21886 22142	   	266.54	橙3易伤2伤害2矿等1全技能	1随机矿2加一34a易伤5全技能6时间7a伤害8a矿等9核a序列升级
19	61142 32852	   	266.16	橙橙1易伤1伤害2时间1攻速	1技能2加一3最后敌人4攻速5伤害6易伤79时间8a核
20	13432 42124	   	264.95	橙橙1易伤1伤害1矿等1平台	1平台2立即金币3易伤4雷电5金币生成6伤害7a核8矿等9基地爆炸
21	21415 55313	 * 	264.90	橙橙3矿等1易伤	1随机矿2加一358矿等458金币生成58序列升级68多重对愈7a核9易伤
22	16531 13212	   	264.85	橙橙1易伤1伤害1矿等1平台	1平台2双倍秒伤3喷火对甲4伤害5低血量敌人6矿等7a核8易伤9敌人爆炸
23	13433 42124	   	264.85	橙橙1易伤1伤害1矿等1平台	1平台2立即金币3易伤4雷电5掉矿6伤害7a核8矿等9基地爆炸
24	16131 13212	   	264.75	橙橙1易伤1伤害1矿等1平台	1平台2双倍秒伤3爆破对冰4伤害5低血量敌人6矿等7a核8易伤9敌人爆炸
25	16531 13252	   	264.75	橙橙1易伤1伤害1矿等1平台	1平台2双倍秒伤3喷火对甲4伤害5低血量敌人6矿等7a核8易伤9挖尘
26	52331 47142	   	264.71	橙橙1易伤1伤害1攻速1暴击1卖塔	1低血量敌人2加一3攻速4易伤5卖塔6a核7伤害8最后敌人9暴击
27	16131 13252	   	264.65	橙橙1易伤1伤害1矿等1平台	1平台2双倍秒伤3爆破对冰4伤害5低血量敌人6矿等7a核8易伤9挖尘
28	61142 33882	 * 	263.76	橙橙1易伤2攻速1伤害	1技能2加一3最后敌人49攻速5伤害6易伤7低血量敌人8a核
29	36341 32132	 * 	263.23	紫橙3易伤3暴击	189暴击236易伤4a核56最后敌人6序列升级7敌人爆炸
30	36341 33132	   	263.13	紫橙3易伤3暴击	189暴击236易伤4a核56最后敌人6序列升级7挖尘
31	35615 33233	   	262.33	橙橙1易伤1矿等1攻速1暴击	1暴击2基础对冰3金币生成4矿等5低血量敌人6易伤7攻速8a核9导弹对毒
32	13214 31535	   	262.00	紫橙2易伤1伤害1矿等1平台1卖塔	1平台2立即金币3a核48易伤5卖塔6伤害7最后敌人9矿等
