0	Index      	 *	Score 	Summary	Detail	
1	62212 31625	 * 	282.14	橙橙2易伤1伤害1暴击	15等级27易伤3暴击4伤害6双倍秒伤8寒冰对黄9a核
2	33423 16513	 * 	280.20	橙橙3易伤	1激光对绿2基地爆炸3双倍物品4低血量敌人5时间68a易伤79核
3	33412 35162	   	276.02	橙橙1易伤1伤害1攻速1暴击	1激光对绿2基地爆炸3双倍物品4暴击5攻速6时间7伤害8易伤9a核
4	34513 63123	 * 	272.81	紫橙3易伤1伤害1全技能	1激光对绿268易伤3低血量敌人4伤害5a核7全技能9最后敌人
5	62214 11125	 * 	271.65	橙橙2伤害1易伤1暴击	1等级2易伤3暴击48伤害5基地爆炸6散射对绿7挖青9a核
6	62214 13125	   	271.65	橙橙2伤害1易伤1暴击	1等级2易伤3暴击48伤害5基地爆炸6散射对绿7挖尘9a核
7	34146 31113	   	271.64	橙橙3易伤1策反	1激光对绿249易伤3金币生成5双倍秒伤6赏金邻近7策反8a核
8	26515 32233	   	271.55	橙橙1易伤1伤害1矿等1攻速1策反	1策反2矿等3易伤4最后敌人5技能6a核7攻速8金币生成9伤害
9	26625 32233	   	271.55	橙橙1易伤1伤害1矿等1攻速1策反	1策反2矿等3最后敌人4易伤5技能6a核7攻速8金币生成9伤害
10	62232 51133	 * 	270.04	橙橙1易伤2暴击1伤害1平台	1等级2易伤39暴击4挖尘5掉矿6伤害7a核8平台
11	34412 11432	   	267.61	橙橙1易伤1伤害1攻速1暴击	1激光对绿2易伤3双倍物品4暴击5攻速6掉矿7a核8赏金塔9伤害
12	34513 13123	 * 	266.93	紫橙2易伤2伤害1全技能	1激光对绿28易伤3低血量敌人46伤害5a核7全技能9最后敌人
13	34523 63123	   	266.40	紫橙3易伤1攻速1全技能	1激光对绿268易伤3低血量敌人4攻速5a核7全技能9最后敌人
14	22312 36213	   	265.81	橙橙2易伤1矿等1策反	1策反23易伤4最后敌人5基地爆炸6矿等7基础对甲8赏金邻近9a核
15	22342 36213	   	265.81	橙橙2易伤1矿等1策反	1策反23易伤4低血量敌人5基地爆炸6矿等7基础对甲8赏金邻近9a核
16	26113 21113	   	265.81	橙橙2易伤1矿等1策反	1策反2矿等3电塔对黄4敌人爆炸5赏金邻近69易伤7低血量敌人8a核
17	26113 21513	   	265.81	橙橙2易伤1矿等1策反	1策反2矿等3电塔对黄4敌人爆炸5赏金邻近68易伤7低血量敌人9a核
18	26113 24113	   	265.81	橙橙2易伤1矿等1策反	1策反2矿等3电塔对黄4敌人爆炸5赏金邻近69易伤7基地爆炸8a核
19	26113 24513	   	265.81	橙橙2易伤1矿等1策反	1策反2矿等3电塔对黄4敌人爆炸5赏金邻近68易伤7基地爆炸9a核
20	22315 36213	   	265.71	橙橙2易伤1矿等1策反	1策反23易伤4最后敌人5挖尘6矿等7基础对甲8赏金邻近9a核
21	22345 36213	   	265.71	橙橙2易伤1矿等1策反	1策反23易伤4低血量敌人5挖尘6矿等7基础对甲8赏金邻近9a核
22	22315 33225	   	265.57	橙橙2易伤1矿等1卖塔1策反	1策反23易伤4最后敌人5挖尘6矿等7卖塔8寒冰对甲9a核
23	22345 33225	   	265.57	橙橙2易伤1矿等1卖塔1策反	1策反23易伤4低血量敌人5挖尘6矿等7卖塔8寒冰对甲9a核
24	34216 33643	 * 	264.14	橙3易伤3伤害1矿等1平台	18激光对绿268易伤3加一458伤害7平台8序列升级9矿等a核
25	62214 61113	   	263.82	橙橙1易伤1伤害1暴击1平台	1等级2易伤3暴击4伤害59基地爆炸6技能点7a核8平台
26	62214 61123	   	263.72	橙橙1易伤1伤害1暴击1平台	1等级2易伤3暴击4伤害5基地爆炸6技能点7a核8平台9激光减费
27	33423 16613	   	263.28	橙橙2易伤2时间	1激光对绿2基地爆炸3双倍物品4低血量敌人58时间6a易伤79核
28	33411 53226	   	261.98	橙橙2易伤1暴击	1激光对绿2基地爆炸3双倍物品4暴击5敌人爆炸6a核78易伤9掉矿
29	22232 61225	   	261.83	橙橙2易伤1暴击1策反	1策反27易伤3暴击4挖尘5掉矿6最后敌人8寒冰对甲9a核
30	22235 21225	   	261.83	橙橙2易伤1暴击1策反	1策反27易伤3暴击4挖尘5低血量敌人6技能点8寒冰对甲9a核
31	22235 61225	   	261.83	橙橙2易伤1暴击1策反	1策反27易伤3暴击4挖尘5低血量敌人6掉矿8寒冰对甲9a核
32	22234 61225	   	261.73	橙橙2易伤1暴击1策反	1策反27易伤3暴击4挖尘5挖青6掉矿8寒冰对甲9a核
33	22152 65213	 * 	261.55	橙橙1易伤2矿等1策反	1策反2易伤3时间4基础对甲5挖青67矿等8赏金邻近9a核
34	62153 11213	   	256.83	橙橙2易伤	1等级26易伤3时间4加农对毒5技能7低血量敌人8赏金邻近9a核
35	33423 16512	   	256.73	橙橙2易伤	1激光对绿2基地爆炸3双倍物品4低血量敌人5时间68易伤79核a敌人爆炸
36	62153 12213	   	256.73	橙橙2易伤	1等级26易伤3时间4加农对毒5技能7挖青8赏金邻近9a核
37	62153 13213	   	256.73	橙橙2易伤	1等级26易伤3时间4加农对毒5技能7挖尘8赏金邻近9a核
38	22516 11113	   	256.69	橙橙2易伤1策反	1策反29易伤3赏金塔4金币生成5激光对冰6时间7低血量敌人8a核
39	22516 14113	   	256.69	橙橙2易伤1策反	1策反29易伤3赏金塔4金币生成5激光对冰6时间7基地爆炸8a核
40	33423 16511	   	256.63	橙橙2易伤1策反	1激光对绿2基地爆炸3双倍物品4低血量敌人5时间68易伤79核a策反
41	22153 11213	   	256.59	橙橙2易伤1策反	1策反26易伤3时间4基础对甲5金币生成7低血量敌人8赏金邻近9a核
42	22154 11213	   	256.59	橙橙2易伤1策反	1策反26易伤3时间4基础对甲5等级7低血量敌人8赏金邻近9a核
43	22314 32333	   	256.59	橙橙2易伤1策反	1策反23易伤4最后敌人5金币生成6a核7赏金邻近8导弹对绿9时间
44	22344 32333	   	256.59	橙橙2易伤1策反	1策反23易伤4低血量敌人5金币生成6a核7赏金邻近8导弹对绿9时间
45	23133 21113	   	256.59	橙橙2易伤1策反	1策反2随机矿3机枪对壮4时间5赏金邻近69易伤7低血量敌人8a核
46	23133 24113	   	256.59	橙橙2易伤1策反	1策反2随机矿3机枪对壮4时间5赏金邻近69易伤7基地爆炸8a核
47	23142 11113	   	256.59	橙橙2易伤1策反	1策反2随机矿3机枪对壮4赏金邻近59易伤6时间7低血量敌人8a核
48	23142 14113	   	256.59	橙橙2易伤1策反	1策反2随机矿3机枪对壮4赏金邻近59易伤6时间7基地爆炸8a核
49	23516 21113	   	256.59	橙橙2易伤1策反	1策反2随机矿3赏金邻近4时间5电塔对黄69易伤7低血量敌人8a核
50	23516 24113	   	256.59	橙橙2易伤1策反	1策反2随机矿3赏金邻近4时间5电塔对黄69易伤7基地爆炸8a核
51	23566 11113	   	256.59	橙橙2易伤1策反	1策反2随机矿3赏金邻近49易伤5喷火对黄6时间7低血量敌人8a核
52	33126 31113	   	256.59	橙橙2易伤1策反	1激光对绿2基地爆炸3金币生成4赏金塔5时间69易伤7策反8a核
53	22153 12213	   	256.49	橙橙2易伤1策反	1策反26易伤3时间4基础对甲5金币生成7挖青8赏金邻近9a核
54	22153 13213	   	256.49	橙橙2易伤1策反	1策反26易伤3时间4基础对甲5金币生成7挖尘8赏金邻近9a核
55	22154 12213	   	256.49	橙橙2易伤1策反	1策反26易伤3时间4基础对甲5等级7挖青8赏金邻近9a核
56	22154 13213	   	256.49	橙橙2易伤1策反	1策反26易伤3时间4基础对甲5等级7挖尘8赏金邻近9a核
57	36231 11525	   	255.96	橙橙1易伤1攻速1暴击	1激光对绿2暴击3攻速4挖尘5立即金币6易伤7金币生成8时间9a核
58	36221 12425	   	255.86	橙橙1易伤1攻速1暴击	1激光对绿2暴击3攻速4金币生成5掉矿6易伤7时间8技能点9a核
59	62214 11325	   	254.06	橙橙1易伤1伤害1暴击	1等级2易伤3暴击4伤害5基地爆炸6散射对绿7挖青8立即金币9a核
60	62232 13525	   	253.86	橙橙1易伤1伤害1暴击	1等级2易伤3暴击4挖尘5掉矿6爆破对壮7技能点8伤害9a核
61	26111 15213	 * 	253.35	橙橙1易伤2矿等1策反	1策反27矿等3电塔对黄4敌人爆炸5低血量敌人6易伤8赏金邻近9a核
62	34513 62222	   	253.34	紫橙2易伤1伤害1暴击	1激光对绿26易伤3低血量敌人4伤害58核7赏金邻近9雷电a暴击
63	42341 15213	 * 	253.25	橙橙1易伤2矿等1策反	1立即金币2策反3爆破对壮47矿等5双倍秒伤6易伤8赏金邻近9a核
64	26151 15213	 * 	253.00	橙橙1易伤2矿等2策反	14策反27矿等3电塔对黄5双倍秒伤6易伤8赏金邻近9a核
