0	Index      	 *	Score 	Summary	Detail	
1	11655 21321	 * 	285.44	橙橙3易伤1攻速	1多重对甲2挖青345易伤6双倍物品7a核8攻速9赏金塔
2	31631 52313	 * 	282.34	橙橙2易伤1伤害1暴击	18易伤2最后敌人3伤害4赏金邻近5基地爆炸6雷电7a核9暴击
3	35631 52313	   	282.34	橙橙2易伤1伤害1暴击	18易伤2敌人爆炸3伤害4赏金邻近5基地爆炸6雷电7a核9暴击
4	31633 52313	   	282.24	橙橙2易伤1伤害1暴击	18易伤2最后敌人3伤害4赏金邻近5挖尘6雷电7a核9暴击
5	35633 52313	   	282.24	橙橙2易伤1伤害1暴击	18易伤2敌人爆炸3伤害4赏金邻近5挖尘6雷电7a核9暴击
6	36631 52313	   	282.24	橙橙2易伤1伤害1暴击	18易伤2挖尘3伤害4赏金邻近5敌人爆炸6雷电7a核9暴击
7	23116 66224	   	281.40	橙橙2易伤1暴击1全技能1平台	1金币生成23易伤4加一5加农对毒67核8暴击9平台a全技能
8	23116 66432	   	274.17	橙橙2易伤1矿等	1金币生成23易伤4加一5加农对毒67核8技能点9时间a矿等
9	23116 66343	   	271.89	橙橙3易伤	1金币生成23a易伤4加一5加农对毒67核8随机矿9雷电
10	23116 66223	   	271.74	橙橙2易伤1暴击1平台	1金币生成23易伤4加一5加农对毒67核8暴击9平台a最后敌人
11	34213 42113	   	271.70	橙橙1易伤1伤害1矿等1暴击	1易伤2掉矿3雷电4伤害5敌人爆炸6赏金塔7a核8矿等9暴击
12	35632 12113	   	271.70	橙橙1易伤1伤害1矿等1暴击	1易伤2敌人爆炸3伤害4赏金邻近5掉矿6雷电7a核8矿等9暴击
13	23116 66221	   	271.64	橙橙2易伤1暴击1平台	1金币生成23易伤4加一5加农对毒67核8暴击9平台a双倍秒伤
14	23116 66222	   	271.64	橙橙2易伤1暴击1平台	1金币生成23易伤4加一5加农对毒67核8暴击9平台a技能点
15	34212 42113	   	271.60	橙橙1易伤1伤害1矿等1暴击	1易伤2掉矿3雷电4伤害5挖尘6赏金塔7a核8矿等9暴击
16	36632 12113	   	271.60	橙橙1易伤1伤害1矿等1暴击	1易伤2挖尘3伤害4赏金邻近5掉矿6雷电7a核8矿等9暴击
17	23116 66214	   	270.38	橙橙2易伤1暴击	1金币生成23易伤4加一5加农对毒67核8暴击9低血量敌人a时间
18	23116 66234	   	270.38	橙橙2易伤1暴击	1金币生成23易伤4加一5加农对毒67核8暴击9立即金币a时间
19	23116 66212	 * 	268.39	橙橙2易伤2暴击	1金币生成23易伤4加一5加农对毒67核8a暴击9低血量敌人
20	23116 66342	   	265.96	橙橙2易伤1矿等	1金币生成23易伤4加一5加农对毒67核8随机矿9雷电a矿等
21	36232 23663	 * 	265.89	紫橙2易伤2攻速2暴击	19易伤2挖尘39暴击4低血量敌人5a核6赏金塔7雷电89攻速9序列升级
22	23116 66422	   	265.86	橙橙2易伤1矿等	1金币生成23易伤4加一5加农对毒67核8技能点9敌人爆炸a矿等
23	23116 66442	   	265.86	橙橙2易伤1矿等	1金币生成23易伤4加一5加农对毒67核8技能点9最后敌人a矿等
24	23116 66412	   	265.76	橙橙2易伤1矿等	1金币生成23易伤4加一5加农对毒67核8技能点9挖青a矿等
25	31163 51631	 * 	265.15	橙4易伤3矿等1攻速	1589易伤289最后敌人3低血量敌人4敌人爆炸689矿等7核89序列升级a攻速
26	23116 66434	   	263.18	橙橙2易伤2时间	1金币生成23易伤4加一5加农对毒67核8技能点9a时间
27	23214 12451	   	262.23	橙橙1易伤1伤害1攻速1卖塔	1金币生成2易伤3雷电4伤害5时间6攻速7多重对甲8a核9卖塔
28	23112 13511	   	262.08	橙橙2易伤1暴击	1金币生成23易伤4加一5雷电6防空对愈7敌人爆炸8a核9暴击
29	23112 18511	   	262.08	橙橙2易伤1暴击	1金币生成23易伤4加一5雷电6防空对愈7低血量敌人8a核9暴击
30	23116 66211	   	262.08	橙橙2易伤1暴击	1金币生成23易伤4加一5加农对毒67核8暴击9低血量敌人a最后敌人
31	23116 66213	   	262.08	橙橙2易伤1暴击	1金币生成23易伤4加一5加农对毒67核8暴击9a低血量敌人
32	23116 66231	   	262.08	橙橙2易伤1暴击	1金币生成23易伤4加一5加农对毒67核8暴击9立即金币a最后敌人
33	23116 66232	   	262.08	橙橙2易伤1暴击	1金币生成23易伤4加一5加农对毒67核8暴击9立即金币a额外掉落
34	23116 66233	   	262.08	橙橙2易伤1暴击	1金币生成23易伤4加一5加农对毒67核8暴击9立即金币a低血量敌人
35	43112 13511	   	262.08	橙橙2易伤1暴击	1等级23易伤4加一5雷电6防空对愈7敌人爆炸8a核9暴击
36	43112 18511	   	262.08	橙橙2易伤1暴击	1等级23易伤4加一5雷电6防空对愈7最后敌人8a核9暴击
37	43114 44243	   	262.08	橙橙2易伤1暴击	1等级23易伤4加一5基地爆炸6暴击7额外掉落8爆破对冰9a核
38	43116 74343	   	262.08	橙橙2易伤1暴击	1等级23易伤4加一5加农对毒6额外掉落7暴击8最后敌人9a核
39	11645 21321	   	261.98	橙橙2易伤1攻速	1多重对甲2挖青35易伤4立即金币6双倍物品7a核8攻速9赏金塔
40	23116 66242	   	261.98	橙橙2易伤1暴击	1金币生成23易伤4加一5加农对毒67核8暴击9导弹对绿a等级
41	23116 66243	   	261.98	橙橙2易伤1暴击	1金币生成23易伤4加一5加农对毒67核8暴击9导弹对绿a最后敌人
42	23116 66244	   	261.98	橙橙2易伤1暴击	1金币生成23易伤4加一5加农对毒67核8暴击9导弹对绿a技能
