0	Index      	 *	Score 	Summary	Detail	
1	13214 23441	 * 	288.55	橙橙2易伤1伤害2暴击	1敌人爆炸26易伤3伤害4低血量敌人56暴击6序列升级7掉矿8a核9技能点
2	13441 16111	 * 	285.21	紫橙3易伤1伤害1暴击	1敌人爆炸269易伤3暴击4a核5伤害7时间8基地爆炸
3	13441 16211	   	285.21	紫橙3易伤1伤害1暴击	1敌人爆炸269易伤3暴击4a核5伤害7时间8最后敌人
4	21422 23441	   	282.24	橙橙2易伤1伤害1暴击	1低血量敌人26敌人爆炸3暴击4伤害56易伤6序列升级7掉矿8a核9技能点
5	13422 23441	   	282.14	橙橙2易伤1伤害1暴击	1敌人爆炸25易伤3暴击4伤害6最后敌人7掉矿8a核9技能点
6	13433 23421	   	282.14	橙橙2易伤2暴击1攻速	1敌人爆炸26易伤36暴击4随机矿5挖青6序列升级7掉矿8a核9攻速
7	13446 13111	   	276.90	紫橙3易伤1伤害1暴击	1敌人爆炸279易伤3暴击4a核5低血量敌人6伤害8基地爆炸
8	13446 13211	   	276.90	紫橙3易伤1伤害1暴击	1敌人爆炸279易伤3暴击4a核5低血量敌人6伤害8最后敌人
9	21441 13111	   	276.90	紫橙3易伤1伤害1暴击	1低血量敌人2敌人爆炸3暴击4a核5伤害679易伤8基地爆炸
10	21441 13211	   	276.90	紫橙3易伤1伤害1暴击	1低血量敌人2敌人爆炸3暴击4a核5伤害679易伤8最后敌人
11	23441 13111	   	276.90	紫橙3易伤1伤害1暴击	1低血量敌人2最后敌人3暴击4a核5伤害679易伤8基地爆炸
12	13441 14311	   	276.80	紫橙3易伤1伤害1暴击	1敌人爆炸267易伤3暴击4a核5伤害8挖尘9低血量敌人
13	13441 43311	   	276.80	紫橙3易伤1伤害1暴击	1敌人爆炸279易伤3暴击4a核5伤害6基地爆炸8挖尘
14	23441 13311	   	276.80	紫橙3易伤1伤害1暴击	1低血量敌人2最后敌人3暴击4a核5伤害679易伤8挖尘
15	51441 13311	   	276.80	紫橙3易伤1伤害1暴击	1基地爆炸2敌人爆炸3暴击4a核5伤害679易伤8挖尘
16	53441 13311	   	276.80	紫橙3易伤1伤害1暴击	1基地爆炸2最后敌人3暴击4a核5伤害679易伤8挖尘
17	21431 42421	   	275.93	橙橙2易伤1攻速1暴击	1低血量敌人2敌人爆炸3暴击4随机矿5金币生成67易伤8a核9攻速
18	21432 23421	   	275.93	橙橙2易伤1攻速1暴击	16低血量敌人2敌人爆炸3暴击4随机矿56易伤6序列升级7掉矿8a核9攻速
19	11234 41421	   	275.83	橙橙2易伤1攻速1暴击	12敌人爆炸3低血量敌人4暴击56易伤7挖尘8a核9攻速
20	13431 41421	   	275.83	橙橙2易伤1攻速1暴击	1敌人爆炸26易伤3暴击4随机矿5金币生成7挖尘8a核9攻速
21	13432 23421	   	275.83	橙橙2易伤1攻速1暴击	1敌人爆炸25易伤3暴击4随机矿6最后敌人7掉矿8a核9攻速
22	13434 22421	   	275.83	橙橙2易伤1攻速1暴击	1敌人爆炸27易伤3暴击4随机矿5最后敌人6掉矿8a核9攻速
23	25432 23421	   	275.83	橙橙2易伤1攻速1暴击	16低血量敌人2挖尘3暴击4随机矿56易伤6序列升级7掉矿8a核9攻速
24	53432 22421	   	275.83	橙橙2易伤1攻速1暴击	1基地爆炸2最后敌人3暴击4随机矿57易伤6掉矿8a核9攻速
25	22631 42421	   	275.73	橙橙2易伤1攻速1暴击	1低血量敌人2技能点3金币生成4暴击5挖尘67易伤8a核9攻速
26	22632 42421	   	275.73	橙橙2易伤1攻速1暴击	1低血量敌人2技能点3金币生成4暴击5挖青67易伤8a核9攻速
27	12325 12613	   	271.84	橙橙2易伤1暴击1全技能	1敌人爆炸2双倍秒伤3暴击4全技能5金币生成6a易伤7赏金邻近89核
28	12326 62613	   	271.84	橙橙2易伤1暴击1全技能	1敌人爆炸2双倍秒伤3暴击4全技能5a易伤6金币生成7赏金邻近89核
29	13423 23441	 * 	271.65	橙橙2伤害1易伤1暴击	16敌人爆炸2易伤3暴击46伤害5挖青6序列升级7掉矿8a核9技能点
30	52532 61121	   	271.60	橙橙1易伤2暴击1矿等1攻速	1基地爆炸2技能点3矿等47暴击5低血量敌人6a核8易伤9攻速
31	52531 61121	   	271.50	橙橙1易伤2暴击1矿等1攻速	1基地爆炸2技能点3矿等47暴击5挖尘6a核8易伤9攻速
32	13443 63321	   	264.56	紫橙2易伤1矿等1攻速1暴击	1敌人爆炸27易伤3暴击4a核5矿等6基地爆炸8随机矿9攻速
33	16314 23421	   	262.03	橙橙2易伤1攻速1卖塔	1敌人爆炸2随机矿36易伤46低血量敌人5卖塔6序列升级7掉矿8a核9攻速
34	26334 23421	   	261.93	橙橙2易伤1攻速1卖塔	16低血量敌人2随机矿36易伤4挖青5卖塔6序列升级7掉矿8a核9攻速
35	13231 32522	 * 	261.76	橙3易伤3伤害2时间1平台	18敌人爆炸247易伤348伤害48序列升级58时间6平台9掉矿a核
36	23441 11211	   	261.74	紫橙2易伤1伤害1暴击	1低血量敌人28最后敌人3暴击4a核5伤害69易伤7时间
37	53441 11211	   	261.74	紫橙2易伤1伤害1暴击	1基地爆炸28最后敌人3暴击4a核5伤害69易伤7时间
38	22334 23421	   	261.73	橙橙2易伤1攻速1卖塔	1低血量敌人26技能点36易伤4挖青5卖塔6序列升级7掉矿8a核9攻速
39	31411 23615	   	261.29	橙橙1易伤1矿等1暴击1全技能	1赏金邻近2矿等3暴击4赏金塔5掉矿6随机矿7全技能89核a易伤
40	13233 26424	 * 	260.96	橙4易伤2伤害1全技能1平台	1敌人爆炸2467易伤34伤害4序列升级5低血量敌人8平台9全技能a核
41	23441 13631	 * 	259.75	紫橙2易伤1伤害2暴击	1低血量敌人2最后敌人38暴击4a核5伤害67易伤9基地爆炸
42	21441 13611	   	259.65	紫橙2易伤1伤害2暴击	1低血量敌人2敌人爆炸38暴击4a核5伤害67易伤9挖青
43	13231 35256	   	259.61	橙4易伤2伤害1平台	1敌人爆炸248a易伤34伤害4序列升级5时间6平台7基地爆炸9核
