0	Index      	 *	Score 	Summary	Detail	
1	23534 21122	 * 	277.14	橙橙1易伤1伤害1矿等1暴击	1加农对毒2时间3立即金币4暴击5伤害6矿等7金币生成8a核9易伤
2	65134 13122	 * 	265.73	橙橙1易伤1伤害2暴击	1技能点2掉矿3电塔对黄47暴击5伤害6时间8a核9易伤
3	23534 41122	   	259.51	橙橙1易伤1伤害1暴击	1加农对毒2时间3立即金币4暴击5伤害6掉矿7金币生成8a核9易伤
4	23534 61122	   	259.51	橙橙1易伤1伤害1暴击	1加农对毒2时间3立即金币4暴击5伤害6技能点7金币生成8a核9易伤
5	24536 13122	   	259.41	橙橙1易伤2暴击1攻速	1加农对毒2攻速3掉矿47暴击5金币生成6时间8a核9易伤
6	65134 11122	   	259.31	橙橙1易伤1伤害1暴击	1技能点27掉矿3电塔对黄4暴击5伤害6时间8a核9易伤
7	11215 21114	 * 	257.45	橙橙2易伤1暴击	16易伤2最后敌人3赏金邻近4额外掉落5暴击7基地爆炸8a核9双倍秒伤
8	11215 22114	   	257.45	橙橙2易伤1暴击	16易伤2最后敌人3赏金邻近4额外掉落5暴击7敌人爆炸8a核9双倍秒伤
9	11215 23114	   	257.35	橙橙2易伤1暴击	16易伤2最后敌人3赏金邻近4额外掉落5暴击7挖尘8a核9双倍秒伤
10	23536 21122	   	256.84	橙橙1易伤1矿等1暴击1策反	1加农对毒2时间3立即金币4暴击5策反6矿等7金币生成8a核9易伤
11	63134 41122	   	254.74	橙橙1易伤1伤害1矿等1卖塔	1技能点2矿等3电塔对黄4卖塔5伤害6掉矿7金币生成8a核9易伤
12	13232 26611	 * 	254.50	橙3易伤3伤害3策反1平台	19a易伤2敌人爆炸3赏金邻近4赏金塔59a伤害6平台7核89a策反9a序列升级
13	13532 26611	   	254.50	橙3易伤3伤害3策反1平台	19a易伤2敌人爆炸3赏金塔4赏金邻近59a伤害6平台7核89a策反9a序列升级
14	15423 35232	 * 	254.12	橙2易伤2矿等1伤害1攻速1暴击1平台	13易伤23矿等3序列升级4伤害5低血量敌人6攻速7平台8核9时间a暴击
15	24536 32122	   	253.10	橙橙1易伤1攻速1暴击	1加农对毒2攻速3掉矿4暴击56金币生成7时间8a核9易伤
16	24536 11122	   	253.00	橙橙1易伤1攻速1暴击	1加农对毒2攻速37掉矿4暴击5金币生成6时间8a核9易伤
17	41134 41122	   	251.21	橙橙1易伤1伤害1暴击	12最后敌人3爆破对壮4暴击5伤害6掉矿7金币生成8a核9易伤
18	41134 61122	   	251.21	橙橙1易伤1伤害1暴击	12最后敌人3爆破对壮4暴击5伤害6技能点7金币生成8a核9易伤
19	21434 41122	   	251.11	橙橙1易伤1伤害1暴击	12加农对毒2序列升级3最后敌人4暴击5伤害6掉矿7金币生成8a核9易伤
20	21434 61122	   	251.11	橙橙1易伤1伤害1暴击	12加农对毒2序列升级3最后敌人4暴击5伤害6技能点7金币生成8a核9易伤
21	21634 41122	   	251.11	橙橙1易伤1伤害1暴击	12加农对毒2序列升级3敌人爆炸4暴击5伤害6掉矿7金币生成8a核9易伤
22	21634 61122	   	251.11	橙橙1易伤1伤害1暴击	12加农对毒2序列升级3敌人爆炸4暴击5伤害6技能点7金币生成8a核9易伤
23	11215 61114	   	248.78	橙橙1易伤1矿等1暴击	1易伤2最后敌人3赏金邻近4额外掉落5暴击6金币生成7矿等8a核9双倍秒伤
24	21131 35122	   	248.43	橙橙1易伤1矿等1攻速1卖塔	12加农对毒2序列升级3矿等4卖塔5低血量敌人6金币生成7攻速8a核9易伤
25	21131 45122	   	248.33	橙橙1易伤1矿等1攻速1卖塔	12加农对毒2序列升级3矿等4卖塔5低血量敌人6掉矿7攻速8a核9易伤
26	15422 61123	 * 	248.29	橙2易伤2伤害2矿等1攻速	13易伤23矿等3序列升级4a伤害5赏金塔6攻速7时间8基础对冰9核
