0	Index      	 *	Score 	Summary	Detail	
1	33613 13256	 * 	208.24	紫3攻速1基础对甲1全技能1易伤	17敌人爆炸2立即金币3易伤4核5全技能689攻速a基础对甲
2	33613 11516	   	196.95	紫1基础对甲1攻速1全技能1基地爆炸1技能1易伤	1敌人爆炸2立即金币3易伤4核5全技能6攻速7随机矿8基地爆炸9技能a基础对甲
3	33613 31516	 * 	196.95	紫1基础对甲1伤害1全技能1基地爆炸1技能1易伤	1敌人爆炸2立即金币3易伤4核5全技能6伤害7随机矿8基地爆炸9技能a基础对甲
4	34613 43222	 * 	196.23	紫1基础对甲2易伤1攻速1全技能1技能	1敌人爆炸2技能3等级4核5全技能69易伤7立即金币8基础对甲a攻速
5	33611 15313	 * 	194.92	紫2伤害2攻速2易伤1基地爆炸	1敌人爆炸2立即金币3a易伤4核5掉矿6最后敌人7a伤害8基地爆炸9a攻速a序列升级
6	33611 25313	   	194.92	紫2伤害2攻速2易伤1基地爆炸	1敌人爆炸2立即金币3a易伤4核5掉矿6低血量敌人7a伤害8基地爆炸9a攻速a序列升级
7	42213 52251	   	192.48	紫1基础对甲2攻速1暴击1易伤	138挖尘28最后敌人4核5易伤6暴击78攻速8序列升级9基础对甲a立即金币
8	42213 52252	   	192.48	紫1基础对甲2攻速1暴击1易伤	138挖尘28最后敌人4核5易伤6暴击78攻速8序列升级9基础对甲a时间
9	42213 52253	   	192.48	紫1基础对甲2攻速1暴击1易伤	138挖尘28最后敌人4核5易伤6暴击78攻速8序列升级9基础对甲a金币生成
10	43615 31233	 * 	192.17	紫2攻速2基础对冰2易伤1伤害	1挖尘2立即金币3a易伤4核5矿等6伤害7a攻速8金币生成9a基础对冰a序列升级
11	43611 31233	   	192.07	紫2攻速2基础对冰2易伤1伤害	1挖尘2立即金币3a易伤4核5掉矿6伤害7a攻速8金币生成9a基础对冰a序列升级
12	43611 31533	   	191.97	紫2攻速2基础对冰2易伤1伤害	1挖尘2立即金币3a易伤4核5掉矿6伤害7a攻速8等级9a基础对冰a序列升级
