0	Index      	 *	Score 	Summary	Detail	
1	25131 15134	 * 	216.90	紫3易伤3伤害1全技能2暴击	18暴击2核36等级4挖青568伤害68序列升级789易伤a全技能
2	25131 15163	   	201.25	紫3伤害2易伤1全技能2暴击	18暴击2核36等级4挖青568伤害68序列升级78易伤9低血量敌人a全技能
3	25131 35134	   	201.15	紫3伤害2易伤1全技能2暴击	18暴击2核36等级4挖青589伤害78易伤8序列升级a全技能
4	25121 15122	 * 	199.84	紫3易伤3伤害3暴击	168暴击2核38等级4基地爆炸569伤害68序列升级78a易伤
5	25161 15122	   	199.84	紫3易伤3伤害3暴击	168暴击2核38等级4最后敌人569伤害68序列升级78a易伤
6	25131 15132	   	199.74	紫3易伤3伤害3暴击	18a暴击2核36等级4挖青568伤害68序列升级789易伤
7	25141 15122	   	199.74	紫3易伤3伤害3暴击	168暴击2核38等级4挖尘569伤害68序列升级78a易伤
8	25211 11442	   	196.09	紫3易伤2伤害2暴击1策反	16暴击2核3低血量敌人4攻速56伤害6序列升级7策反89a易伤
9	25131 15112	   	193.70	紫3易伤3伤害2暴击	18暴击2核36等级4挖青568伤害68序列升级78a易伤9金币生成
10	25131 15135	   	193.70	紫3易伤3伤害2暴击	18暴击2核36等级4挖青568伤害68序列升级789易伤a金币生成
11	25131 15136	   	193.70	紫3易伤3伤害2暴击	18暴击2核36等级4挖青568伤害68序列升级789易伤a基地爆炸
12	25131 15122	   	193.60	紫3伤害3易伤2暴击	18暴击2核36等级4挖青568伤害68序列升级78a易伤9掉矿
13	25131 15131	   	193.60	紫3易伤3伤害2暴击	18暴击2核36等级4挖青568伤害68序列升级789易伤a挖尘
14	25131 15142	   	193.60	紫3易伤3伤害2暴击	18暴击2核36等级4挖青568伤害68序列升级78a易伤9核弹
15	25121 11442	   	189.05	紫3易伤2伤害2暴击1策反	16暴击2核3等级4基地爆炸56伤害6序列升级7策反89a易伤
16	14622 21242	 * 	188.71	紫2全技能2易伤2伤害2时间	15时间2基地爆炸36全技能4核78易伤9a伤害
17	25113 32532	   	187.79	紫3易伤1全技能1伤害1暴击	1暴击2核3等级4全技能5额外掉落6伤害7时间89a易伤
18	25211 11241	   	187.37	紫2易伤2伤害2暴击1策反	16暴击2核3低血量敌人4攻速56伤害6序列升级7策反8时间9a易伤
19	25211 11461	   	187.37	紫2易伤2伤害2暴击1策反	16暴击2核3低血量敌人4攻速56伤害6序列升级7策反8a易伤9时间
20	25411 11241	   	187.37	紫2易伤2伤害2暴击1策反	16暴击2核3基地爆炸4攻速56伤害6序列升级7策反8时间9a易伤
21	25244 23121	 * 	187.14	紫4易伤1全技能3暴击	18a暴击2核39低血量敌人478a易伤5全技能68a最后敌人8a序列升级
22	25411 11422	   	187.05	紫2易伤2伤害2暴击2攻速1策反	16暴击2核3基地爆炸49攻速56伤害6序列升级7策反8a易伤
