0	Index      	 *	Score 	Summary	Detail	
1	21432 53214	 * 	218.45	DCR|2VULN|1AART|2CDMG|1DMG|3DUR|1ZMB	13aDUR|2AART|4LIT|5aCDMG|6DMG|7RCR|8ZMB|9aVULN|aBPWR
2	62636 43213	 * 	217.68	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG	1CDMG|23aVULN|4DMG|5MBVNT|6AART|7LWND|8RCR|9ASPD
3	62232 14162	 * 	216.61	DCR|3VULN|3DMG|2CDMG	13CDMG|29aVULN|468DMG|5VENFST|7RCR
4	62236 46223	 * 	216.46	DCR|3DMG|2VULN|1AART|2CDMG	13CDMG|28VULN|479DMG|5MBVNT|6AART|aRCR
5	21113 24212	 * 	216.32	DCR|2AART|1VULN|2CDMG|1ASPD|1DMG|1DUR	1DUR|26AART|3RMIN|47CDMG|5ASPD|8VULN|9RCR|aDMG
6	21113 24216	 * 	216.32	DCR|2AART|1VULN|2CDMG|1ASPD|1NUKE|1DUR	1DUR|26AART|3RMIN|47CDMG|5ASPD|8VULN|9RCR|aNUKE
7	21113 14212	 * 	214.46	DCR|2ASPD|1VULN|1AART|2CDMG|1DMG|1DUR	1DUR|2AART|3RMIN|47CDMG|56ASPD|8VULN|9RCR|aDMG
8	21113 14216	 * 	214.46	DCR|2ASPD|1VULN|1AART|2CDMG|1NUKE|1DUR	1DUR|2AART|3RMIN|47CDMG|56ASPD|8VULN|9RCR|aNUKE
9	62112 62353	   	214.36	DCR|3VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1CDMG|26aVULN|3ZMB|4SNIFST|5DUR|7ASPD|8AART|9RCR
10	21113 25212	   	214.13	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|2DUR	17DUR|26AART|3RMIN|4CDMG|5ASPD|8VULN|9RCR|aDMG
11	21113 25216	   	214.13	DCR|2AART|1VULN|1ASPD|1NUKE|1CDMG|2DUR	17DUR|26AART|3RMIN|4CDMG|5ASPD|8VULN|9RCR|aNUKE
12	21434 11242	 * 	213.86	DCR|3VULN|2DMG|1AART|3DUR	138DUR|2AART|49LIT|579VULN|69DMG|9BPWR|aRCR
13	21653 11242	   	213.86	DCR|3VULN|2DMG|1AART|3DUR	158DUR|2AART|379VULN|49LIT|69DMG|9BPWR|aRCR
14	11252 16313	   	213.50	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|2DUR	1LWND|27DUR|3DMG|4AART|5aVULN|6CDMG|8RCR|9ASPD
15	23252 16313	   	213.50	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|2DUR	17DUR|2LWND|3DMG|4AART|5aVULN|6CDMG|8RCR|9ASPD
16	25252 16313	   	213.50	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|2DUR	17DUR|2FEWX|3DMG|4AART|5aVULN|6CDMG|8RCR|9ASPD
17	21432 53433	 * 	212.71	DCR|2DMG|1AART|1VULN|1ASPD|1CDMG|2DUR	13DUR|2AART|4LIT|5CDMG|6aDMG|7RCR|8VULN|9ASPD
18	21113 15212	   	212.28	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|2DUR	17DUR|2AART|3RMIN|4CDMG|56ASPD|8VULN|9RCR|aDMG
19	21113 15216	   	212.28	DCR|2ASPD|1VULN|1AART|1NUKE|1CDMG|2DUR	17DUR|2AART|3RMIN|4CDMG|56ASPD|8VULN|9RCR|aNUKE
20	21262 12434	 * 	209.00	ACR|2VULN|2DMG|1AART|1ASPD|1CDMG|2DUR	1aDUR|2AART|3RCR|4ASPD|5aVULN|6CDMG|7LIT|8DMSP|9aDMG|aBPWR
21	41113 24212	   	208.01	DCR|2AART|1VULN|2CDMG|1ASPD|1DMG	1BEXP|26AART|3RMIN|47CDMG|5ASPD|8VULN|9RCR|aDMG
22	41113 24216	   	208.01	DCR|2AART|1VULN|2CDMG|1ASPD|1NUKE	1BEXP|26AART|3RMIN|47CDMG|5ASPD|8VULN|9RCR|aNUKE
23	51113 24212	   	208.01	DCR|2AART|1VULN|2CDMG|1ASPD|1DMG	1FEWX|26AART|3RMIN|47CDMG|5ASPD|8VULN|9RCR|aDMG
24	51113 24216	   	208.01	DCR|2AART|1VULN|2CDMG|1ASPD|1NUKE	1FEWX|26AART|3RMIN|47CDMG|5ASPD|8VULN|9RCR|aNUKE
25	62236 43213	 * 	207.28	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	13CDMG|2aVULN|4DMG|5MBVNT|6AART|7LWND|8RCR|9ASPD
26	62632 14132	   	207.09	DCR|3DMG|2VULN|2CDMG|1DUR	1aCDMG|23VULN|468DMG|5VENFST|7RCR|9DUR
27	33112 32265	 * 	206.78	DCR|4VULN|2DMG|2ZMB	1BELT|239aVULN|4TLV|5RPLT|69ZMB|7RCR|89DMG|9BPWR
28	41113 14212	   	206.16	DCR|2ASPD|1VULN|1AART|2CDMG|1DMG	1BEXP|2AART|3RMIN|47CDMG|56ASPD|8VULN|9RCR|aDMG
29	41113 14216	   	206.16	DCR|2ASPD|1VULN|1AART|2CDMG|1NUKE	1BEXP|2AART|3RMIN|47CDMG|56ASPD|8VULN|9RCR|aNUKE
30	51113 14212	   	206.16	DCR|2ASPD|1VULN|1AART|2CDMG|1DMG	1FEWX|2AART|3RMIN|47CDMG|56ASPD|8VULN|9RCR|aDMG
31	51113 14216	   	206.16	DCR|2ASPD|1VULN|1AART|2CDMG|1NUKE	1FEWX|2AART|3RMIN|47CDMG|56ASPD|8VULN|9RCR|aNUKE
32	62113 62353	   	205.95	DCR|3VULN|1AART|1ASPD|1CDMG|1ZMB	1CDMG|26aVULN|3ZMB|4SNIFST|5DUST|7ASPD|8AART|9RCR
33	11252 61622	 * 	205.72	DCR|2VULN|2AART|1MDPS|1DMG|1ZMB|1DUR	1LWND|2DUR|3DMG|47AART|58VULN|6ZMB|9RCR|aMDPS
34	23252 61622	   	205.72	DCR|2VULN|2AART|1MDPS|1DMG|1ZMB|1DUR	1DUR|2LWND|3DMG|47AART|58VULN|6ZMB|9RCR|aMDPS
35	21362 61622	 * 	205.62	DCR|2VULN|2AART|1MDPS|1ASPD|1ZMB|1DUR	1DUR|27AART|3LEGI|4ASPD|58VULN|6ZMB|9RCR|aMDPS
