0	Index      	 *	Score 	Summary	Detail	
1	32622 34124	 * 	230.66	DCR|4VULN|2DMG|1AART|2DUR	1aLIT|2459VULN|3aDUR|6AART|7RCR|8aDMG|aBPWR
2	32562 34123	 * 	228.06	DCR|3VULN|2DMG|1AART|1ASPD	1LIT|259VULN|38DMG|4RMIN|6AART|7RCR|aASPD
3	32562 34121	   	223.85	DCR|4VULN|2DMG|1AART	1LIT|259aVULN|38DMG|4RMIN|6AART|7RCR
4	35522 34112	 * 	221.92	DCR|2VULN|2DMG|2ASPD|1AART|1DUR	1aLIT|2AART|3DUR|4aASPD|5ERES|67VULN|8aDMG|9RCR|aBPWR
5	52522 34112	   	221.92	DCR|2VULN|2DMG|2ASPD|1AART|1DUR	1AART|2aLIT|3DUR|4aASPD|5ERES|67VULN|8aDMG|9RCR|aBPWR
6	32512 34123	   	221.12	DCR|3VULN|2DMG|1AART|1ASPD	1LIT|259VULN|38DMG|4MLV|6AART|7RCR|aASPD
7	32542 34123	   	221.12	DCR|3VULN|2DMG|1AART|1ASPD	1LIT|259VULN|38DMG|4CGEN|6AART|7RCR|aASPD
8	32612 34124	 * 	219.86	DCR|3VULN|2DMG|1AART|3DUR	1aLIT|259VULN|34aDUR|6AART|7RCR|8aDMG|aBPWR
9	32512 34223	 * 	219.61	DCR|3VULN|2AART|1ASPD|1DMG	1LIT|259VULN|3DMG|4MLV|68AART|7RCR|aASPD
10	32542 34223	   	219.61	DCR|3VULN|2AART|1ASPD|1DMG	1LIT|259VULN|3DMG|4CGEN|68AART|7RCR|aASPD
11	32512 34623	 * 	219.38	DCR|4VULN|1AART|1ASPD|1DMG	1LIT|2589VULN|3DMG|4MLV|6AART|7RCR|aASPD
12	32352 34124	   	216.91	DCR|4VULN|2DMG|1AART	1aLIT|2459VULN|3aDUST|6AART|7RCR|8aDMG|aBPWR
13	32512 34121	   	216.91	DCR|4VULN|2DMG|1AART	1LIT|259aVULN|38DMG|4MLV|6AART|7RCR
14	32542 34121	   	216.91	DCR|4VULN|2DMG|1AART	1LIT|259aVULN|38DMG|4CGEN|6AART|7RCR
15	32622 34134	   	215.56	DCR|3VULN|2DMG|1AART|2DUR	1aLIT|245VULN|3aDUR|6AART|7RCR|8aDMG|9RCVC|aBPWR
16	32512 34221	 * 	215.39	DCR|4VULN|2AART|1DMG	1LIT|259aVULN|3DMG|4MLV|68AART|7RCR
17	32542 34221	   	215.39	DCR|4VULN|2AART|1DMG	1LIT|259aVULN|3DMG|4CGEN|68AART|7RCR
18	35122 34112	   	213.61	DCR|2VULN|2DMG|2ASPD|1AART	1aLIT|2AART|3BEXP|4aASPD|5ERES|67VULN|8aDMG|9RCR|aBPWR
19	52122 34112	   	213.61	DCR|2VULN|2DMG|2ASPD|1AART	1AART|2aLIT|3BEXP|4aASPD|5ERES|67VULN|8aDMG|9RCR|aBPWR
20	32512 34621	 * 	213.58	DCR|5VULN|1AART|1DMG	1LIT|2589aVULN|3DMG|4MLV|6AART|7RCR
21	32612 34623	   	212.87	DCR|4VULN|1AART|1ASPD|2DUR	1LIT|2589VULN|34DUR|6AART|7RCR|aASPD
22	32562 34323	   	211.65	DCR|3VULN|1AART|1ASPD|1DMG	1LIT|259VULN|3DMG|4RMIN|6AART|7RCR|8RCVC|aASPD
23	34212 34122	   	211.39	DCR|3VULN|2DMG|1AART|1ZMB	1LIT|2ZMB|359VULN|4MLV|6AART|7RCR|8aDMG
24	34422 34122	   	211.39	DCR|3VULN|2DMG|1AART|1ZMB	1LIT|2ZMB|3AME|459VULN|6AART|7RCR|8aDMG
25	32562 34223	   	210.47	DCR|3VULN|1AART|1ASPD|1DMG	1LIT|259VULN|3DMG|4RMIN|6AART|7RCR|8DMSP|aASPD
26	34212 34623	   	209.65	DCR|4VULN|1AART|1ASPD|1ZMB	1LIT|2ZMB|3589VULN|4MLV|6AART|7RCR|aASPD
27	32622 34143	   	209.36	DCR|3VULN|2DMG|1AART|1DUR	1LIT|245VULN|3DUR|6AART|7RCR|89DMG|aLWND
28	32622 34141	   	209.26	DCR|3VULN|2DMG|1AART|1DUR	1LIT|245VULN|3DUR|6AART|7RCR|89DMG|aLEGI
29	32622 34142	   	209.26	DCR|3VULN|2DMG|1AART|1DUR	1LIT|245VULN|3DUR|6AART|7RCR|89DMG|aTLV
30	34212 34142	 * 	209.21	DCR|3DMG|2VULN|1AART|1ZMB	1LIT|2ZMB|35VULN|4MLV|6AART|7RCR|89aDMG
31	32524 23412	 * 	208.98	DCR|3DMG|2ASPD|1AART|1VULN	1aLIT|2VULN|36aDMG|4LWND|5CGEN|7aASPD|8AART|9RCR|aBPWR
32	32562 34122	   	208.00	DCR|3VULN|2DMG|1AART	1aLIT|259VULN|38DMG|4RMIN|6AART|7RCR
33	32562 34131	   	208.00	DCR|3VULN|2DMG|1AART	1LIT|25aVULN|38DMG|4RMIN|6AART|7RCR|9RPLT
34	32622 34123	   	207.62	DCR|4VULN|1AART|1DMG|1DUR	1LIT|2459VULN|3DUR|6AART|7RCR|8DMG|aLWND
35	32622 34125	   	207.62	DCR|4VULN|1AART|1DMG|1DUR	1LIT|2459VULN|3DUR|6AART|7RCR|8DMG|aCGEN
36	34212 31112	   	207.59	DCR|3VULN|2DMG|1AART|1ZMB	1aLIT|2ZMB|35aVULN|4MLV|6AART|7LWND|8aDMG|9RCR|aBPWR
37	34242 31112	   	207.59	DCR|3VULN|2DMG|1AART|1ZMB	1aLIT|2ZMB|35aVULN|4CGEN|6AART|7LWND|8aDMG|9RCR|aBPWR
38	32622 34121	   	207.52	DCR|4VULN|1AART|1DMG|1DUR	1LIT|2459VULN|3DUR|6AART|7RCR|8DMG|aLEGI
39	32622 34122	   	207.52	DCR|4VULN|1AART|1DMG|1DUR	1LIT|2459VULN|3DUR|6AART|7RCR|8DMG|aTLV
40	32622 34126	   	207.52	DCR|4VULN|1AART|1DMG|1DUR	1LIT|2459VULN|3DUR|6AART|7RCR|8DMG|aBASARM
41	32622 34612	   	207.52	DCR|4VULN|1AART|1DMG|1DUR	1LIT|2458VULN|3DUR|6AART|7RCR|9TLV|aDMG
42	35522 34113	   	207.50	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1LIT|2AART|3DUR|4ASPD|5ERES|67VULN|8aDMG|9RCR
