0	Index      	 *	Score 	Summary	Detail	
1	35151 11533	 * 	220.53	DCR|3DMG|2ASPD|1AART|1VULN|2ZMB	1DMSP|2AART|378DMG|4VULN|58ASPD|68ZMB|8BPWR|9RPLT|aRCR
2	51816 44324	 * 	217.21	DCR|3VULN|2DMG|1AART|1CDMG	1LWND|2MBVNT|3aDMG|456VULN|7RCR|8CDMG|9AART
3	31534 12324	 * 	213.66	DCR|3DMG|2ASPD|1VULN|1CDMG|1DUR	1DMSP|2DUR|35ASPD|458DMG|5BPWR|6FEWX|7RCR|9VULN|aCDMG
4	51416 64312	 * 	211.76	DCR|5VULN|1ASPD|1DMG	1LWND|2MBVNT|3579aVULN|4ASPD|6RCR|8DMG
5	51416 44315	 * 	211.75	DCR|4VULN|1ASPD|1DMG|1CDMG	1LWND|2MBVNT|3569VULN|4ASPD|7RCR|8DMG|aCDMG
6	51415 64312	 * 	211.72	DCR|4VULN|2ASPD|1DMG	1LWND|2MBVNT|379aVULN|45ASPD|6RCR|8DMG
7	51415 44315	 * 	210.12	DCR|3VULN|2ASPD|1DMG|1CDMG	1LWND|2MBVNT|369VULN|45ASPD|7RCR|8DMG|aCDMG
8	25313 43622	 * 	210.01	DCR|2VULN|2AART|1ASPD|1DMG|1ZMB	1LIT|2aVULN|3DMG|4ZMB|56AART|7ASPD|8RCR|9DUST
9	51416 44312	   	209.76	DCR|5VULN|1ASPD|1DMG	1LWND|2MBVNT|3569aVULN|4ASPD|7RCR|8DMG
10	51816 44112	   	209.76	DCR|5VULN|1ASPD|1DMG	1LWND|2MBVNT|3DMG|4569aVULN|7RCR|8ASPD
11	51415 44312	   	209.72	DCR|4VULN|2ASPD|1DMG	1LWND|2MBVNT|369aVULN|45ASPD|7RCR|8DMG
12	51816 44322	   	207.93	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1LWND|2MBVNT|3DMG|456VULN|7RCR|8CDMG|9AART|aDUR
13	51416 64331	 * 	207.55	DCR|3VULN|2DMG|1ASPD|1DUR	1LWND|2MBVNT|357VULN|4ASPD|6RCR|8aDMG|9DUR
14	51416 64332	   	205.81	DCR|4VULN|1ASPD|1DMG|1DUR	1LWND|2MBVNT|357aVULN|4ASPD|6RCR|8DMG|9DUR
15	51416 44331	   	205.55	DCR|3VULN|2DMG|1ASPD|1DUR	1LWND|2MBVNT|356VULN|4ASPD|7RCR|8aDMG|9DUR
16	51816 44131	   	205.55	DCR|3VULN|2DMG|1ASPD|1DUR	1LWND|2MBVNT|3aDMG|456VULN|7RCR|8ASPD|9DUR
17	51416 64324	 * 	205.43	DCR|3VULN|1AART|1ASPD|1DMG	1LWND|2MBVNT|357VULN|4ASPD|6RCR|8DMG|9CGEN|aAART
18	11135 36313	   	205.43	DCR|3VULN|1AART|1ASPD|1DMG	1RPLT|2AART|3DUST|49aVULN|5LWND|6RCR|7DMG|8ASPD
19	51415 44117	 * 	205.22	DCR|3ASPD|2VULN|1DMG|1CDMG	1LWND|2MBVNT|36VULN|458ASPD|7RCR|9CDMG|aDMG
20	31534 12321	   	204.18	DCR|3DMG|2ASPD|1VULN|1AAC|1DUR	1DMSP|2DUR|35ASPD|458DMG|5BPWR|6FEWX|7RCR|9VULN|aAAC
21	51415 64332	   	204.18	DCR|3VULN|2ASPD|1DMG|1DUR	1LWND|2MBVNT|37aVULN|45ASPD|6RCR|8DMG|9DUR
22	51415 64331	 * 	203.94	DCR|2VULN|2DMG|2ASPD|1DUR	1LWND|2MBVNT|37VULN|45ASPD|6RCR|8aDMG|9DUR
23	51416 44316	   	203.81	DCR|4VULN|1ASPD|1DMG|1DUR	1LWND|2MBVNT|3569VULN|4ASPD|7RCR|8DMG|aDUR
24	51416 44332	   	203.81	DCR|4VULN|1ASPD|1DMG|1DUR	1LWND|2MBVNT|356aVULN|4ASPD|7RCR|8DMG|9DUR
25	51816 44132	   	203.81	DCR|4VULN|1ASPD|1DMG|1DUR	1LWND|2MBVNT|3DMG|456aVULN|7RCR|8ASPD|9DUR
26	51416 44324	   	203.43	DCR|3VULN|1AART|1ASPD|1DMG	1LWND|2MBVNT|356VULN|4ASPD|7RCR|8DMG|9CGEN|aAART
27	51816 44124	   	203.43	DCR|3VULN|1AART|1ASPD|1DMG	1LWND|2MBVNT|3DMG|456VULN|7RCR|8ASPD|9CGEN|aAART
28	32613 32285	 * 	203.38	DCR|3DMG|2VULN|1MDPS|2ASPD	1DMSP|2MDPS|3MBVNT|49VULN|5FEWX|69ASPD|789DMG|9BPWR|aRCR
29	51416 44374	   	203.33	DCR|3VULN|1AART|1ASPD|1DMG	1LWND|2MBVNT|356VULN|4ASPD|7RCR|8DMG|9TLV|aAART
30	31534 12326	   	202.65	DCR|3DMG|2ASPD|1VULN|2DUR	1DMSP|2aDUR|35ASPD|458DMG|5BPWR|6FEWX|7RCR|9VULN
31	32214 24241	 * 	202.21	DCR|3VULN|1MDPS|1ASPD|1DMG|1CDMG|1DUR	1DMSP|2MDPS|3DMG|469VULN|5ASPD|7CDMG|8RCR|aDUR
