0	Index      	 *	Score 	Summary	Detail	
1	61313 16235	 * 	229.08	ACR|2SPLARM|4VULN|2DMG|1AART	126aVULN|346LIT|5RCR|6aBPWR|7AART|8aSPLARM|9aDMG
2	62124 43133	 * 	227.97	DCR|3VULN|1MDPS|1AART|2CDMG|1ASPD	137VULN|23CDMG|3BPWR|4AART|5MSLFST|6RCR|8FEWX|9ASPD|aMDPS
3	62125 43231	 * 	227.87	DCR|3VULN|2AART|1MDPS|2CDMG|1NUKE|1MSE	135VULN|23CDMG|3BPWR|49AART|6RCR|7MSE|8NUKE|aMDPS
4	61122 61411	 * 	226.88	DCR|3VULN|1MDPS|1AART|1DMG|1CDMG|1ZMB	124VULN|3DMG|5CDMG|6ZMB|7AART|8RCR|9MLV|aMDPS
5	61122 61431	   	226.78	DCR|3VULN|1MDPS|1AART|1DMG|1CDMG|1ZMB	124VULN|3DMG|5CDMG|6ZMB|7AART|8RCR|9TLV|aMDPS
6	61114 11226	 * 	225.84	DCR|2VULN|2DMG|2ASPD|2CDMG|1ZMB	12VULN|3aDMG|4LWND|5DUST|6aASPD|7ZMB|8RCR|9aCDMG|aBPWR
7	61313 16225	 * 	225.71	ACR|2SPLARM|4VULN|2ASPD|1AART	126aVULN|346LIT|5RCR|6aBPWR|7AART|8aSPLARM|9aASPD
8	62125 41231	 * 	224.09	DCR|3VULN|2AART|1MDPS|2CDMG	135VULN|23CDMG|3BPWR|49AART|6RCR|7RMIN|8LHND|aMDPS
9	62125 41331	   	224.09	DCR|3VULN|2AART|1MDPS|2CDMG	135VULN|23CDMG|3BPWR|49AART|6RCR|7RMIN|8LWND|aMDPS
10	62125 42111	   	224.09	DCR|3VULN|2AART|1MDPS|2CDMG	135VULN|23CDMG|3BPWR|48AART|6RCR|7LHND|9MLV|aMDPS
11	63124 24233	 * 	224.02	DCR|2VULN|2AART|1MDPS|2ASPD|2CDMG|1DUR	17VULN|2aAART|3MDPS|4LHND|57ASPD|67CDMG|7BPWR|8DUR|9RCR
12	62125 42131	   	223.99	DCR|3VULN|2AART|1MDPS|2CDMG	135VULN|23CDMG|3BPWR|48AART|6RCR|7LHND|9TLV|aMDPS
13	62125 42231	   	223.99	DCR|3VULN|2AART|1MDPS|2CDMG|1AAC	135VULN|23CDMG|3BPWR|49AART|6RCR|7LHND|8AAC|aMDPS
14	62142 23163	 * 	221.81	DCR|1SPLARM|2VULN|3CDMG|1ASPD|1DMG	13VULN|234CDMG|3BPWR|5RMIN|6ASPD|7RCR|8DUST|9DMG|aSPLARM
15	63263 13114	 * 	221.44	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	16VULN|2AART|3RMIN|45DMG|7RCR|8RCVC|9CDMG|aASPD
16	62121 51522	 * 	221.30	DCR|4VULN|1AART|2CDMG|1DMG	1379VULN|23CDMG|39BPWR|4AART|59BEXP|69LIT|8RCR|aDMG
17	21552 22531	   	221.10	DCR|4VULN|1AART|2CDMG|1DMG	1BEXP|256aVULN|36CDMG|4AART|6BPWR|7LHND|8RCR|9DMG
18	61122 31316	 * 	221.04	DCR|3VULN|1MDPS|1ASPD|1DMG|1CDMG|1DUR	124VULN|3DMG|5CDMG|6DUR|7ASPD|8RCR|9TLV|aMDPS
19	63311 42632	 * 	220.89	DCR|3VULN|3ASPD|2AART	138VULN|25AART|468CGEN|789ASPD|8BPWR|aRCR
