0	Index      	 *	Score 	Summary	Detail	
1	64633 33482	 * 	223.27	DCR|4VULN|3ASPD|1MDPS|1SELL	1MBVNT|2789VULN|357ASPD|4SELL|6RCR|7BPWR|aMDPS
2	66223 31841	 * 	222.04	DCR|3VULN|3DMG|1NUKE	1MBVNT|2RMIN|348DMG|589VULN|6RCR|78LWND|8BPWR|aNUKE
3	64653 42112	 * 	221.67	DCR|3VULN|2DMG|2ASPD|2ZMB	1MBVNT|279VULN|36ASPD|49DMG|5RCVC|89ZMB|9BPWR|aRCR
4	66223 34742	 * 	220.43	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1MBVNT|2RMIN|34DMG|59VULN|6RCR|7DUR|8AART|aASPD
5	64353 42317	 * 	219.49	DCR|3DMG|2VULN|2ASPD|2ZMB	1MBVNT|29VULN|37ZMB|489DMG|5RCVC|69ASPD|9BPWR|aRCR
6	52613 35233	 * 	215.03	DCR|2VULN|2DMG|1ASPD|1CDMG|1ZMB	1AME|2RMIN|39DMG|4ASPD|57VULN|6RCR|8ZMB|aCDMG
7	42613 35233	   	214.93	DCR|2VULN|2DMG|1ASPD|1CDMG|1ZMB	1TLV|2RMIN|39DMG|4ASPD|57VULN|6RCR|8ZMB|aCDMG
8	52613 35231	   	214.44	DCR|3DMG|2VULN|1ASPD|1ZMB	1AME|2RMIN|39aDMG|4ASPD|57VULN|6RCR|8ZMB
9	66223 36234	   	214.34	DCR|3DMG|2VULN|1ASPD|1ZMB	1MBVNT|2RMIN|349DMG|57VULN|6RCR|8ZMB|aASPD
10	42613 35231	   	214.34	DCR|3DMG|2VULN|1ASPD|1ZMB	1TLV|2RMIN|39aDMG|4ASPD|57VULN|6RCR|8ZMB
11	31531 43112	 * 	213.27	DCR|3VULN|1AART|1ASPD|1CDMG|2ZMB	1LIT|23ZMB|458VULN|6ASPD|7RCR|9CDMG|aAART
12	31531 63112	 * 	213.27	DCR|3VULN|1AART|1DMG|1CDMG|2ZMB	1LIT|23ZMB|458VULN|6DMG|7RCR|9CDMG|aAART
13	66223 31842	 * 	211.34	DCR|3VULN|3DMG|1MDPS	1MBVNT|2RMIN|348DMG|589VULN|6RCR|78LWND|8BPWR|aMDPS
14	64653 42233	 * 	211.21	DCR|3ASPD|2VULN|1AART|1DMG	1MBVNT|27VULN|36aASPD|4DMG|5RCVC|8AART|9RCR
15	31531 52236	 * 	210.81	DCR|3VULN|2DMG|1AART|2ZMB	18aLIT|23ZMB|45aVULN|6AART|7aDMG|9RCR|aBPWR
16	64443 33564	 * 	210.30	DCR|3VULN|2DMG|2CDMG|1DUR	1MBVNT|247VULN|3FEWX|57DMG|67CDMG|7BPWR|8SPLREG|9DUR|aRCR
17	21541 35212	   	210.23	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	15LHND|28VULN|3aASPD|4DMG|6RCR|7AART|9DUR
18	22616 35212	   	210.23	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	12LHND|3DMG|4aASPD|58VULN|6RCR|7AART|9DUR
19	12413 32312	 * 	210.16	DCR|2VULN|2DMG|3CDMG|1AART	178CDMG|2CGEN|37DMG|4LIT|5FEWX|67VULN|7BPWR|9RCR|aAART
20	64633 23482	 * 	210.09	DCR|4VULN|3ASPD|2DUR|1SELL	1MBVNT|2789VULN|357ASPD|4SELL|67DUR|7BPWR|aRCR
21	52613 31135	 * 	208.10	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1AME|2RMIN|39DMG|4ASPD|5VULN|6RCR|7LHND|8CDMG|aAART
